,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
83,21.0,23.0,25.0,3,,,,,,,,,,,,,,,5
84,21.0,23.0,25.0,4,,,,,,,,,,,,,,,5
85,21.0,23.0,25.0,5,,,,,,,,,,,,,,,5
86,21.0,23.0,25.0,6,,,,,,,,,,,,,,,5
87,21.0,23.0,25.0,7,,,,,,,,,,,,,,,5
88,21.0,23.0,25.0,8,,,,,,,,,,,,,,,5
89,21.0,23.0,25.0,9,,,,,,,,,,,,,,,5
90,21.0,23.0,25.0,10,,,,,,,,,,,,,,,5
91,21.0,23.0,25.0,11,,,,,,,,,,,,,,,5
92,21.0,23.0,25.0,12,,,,,,,,,,,,,,,5
93,21.0,23.0,25.0,13,,,,,,,,,,,,,,,5
94,21.0,23.0,25.0,14,,,,,,,,,,,,,,,5
95,21.0,23.0,25.0,15,,,,,,,,,,,,,,,5
96,21.0,23.0,25.0,16,,,,,,,,,,,,,,,5
97,21.0,23.0,25.0,17,,,,,,,,,,,,,,,5
98,21.0,23.0,25.0,18,,,,,,,,,,,,,,,5
99,21.0,23.0,25.0,19,,,,,,,,,,,,,,,5
100,22.0,24.0,26.0,0,,,,,,,,,,,,,,,5
101,22.0,24.0,26.0,1,,,,,,,,,,,,,,,5
102,22.0,24.0,26.0,2,,,,,,,,,,,,,,,5
103,22.0,24.0,26.0,3,,,,,,,,,,,,,,,5
104,22.0,24.0,26.0,4,,,,,,,,,,,,,,,5
105,22.0,24.0,26.0,5,,,,,,,,,,,,,,,5
106,22.0,24.0,26.0,6,,,,,,,,,,,,,,,5
107,22.0,24.0,26.0,7,,,,,,,,,,,,,,,5
108,22.0,24.0,26.0,8,,,,,,,,,,,,,,,5
109,22.0,24.0,26.0,9,,,,,,,,,,,,,,,5
110,22.0,24.0,26.0,10,,,,,,,,,,,,,,,5
111,22.0,24.0,26.0,11,,,,,,,,,,,,,,,5
112,22.0,24.0,26.0,12,,,,,,,,,,,,,,,5
113,22.0,24.0,26.0,13,,,,,,,,,,,,,,,5
114,22.0,24.0,26.0,14,,,,,,,,,,,,,,,5
115,22.0,24.0,26.0,15,,,,,,,,,,,,,,,5
116,22.0,24.0,26.0,16,,,,,,,,,,,,,,,5
117,22.0,24.0,26.0,17,,,,,,,,,,,,,,,5
118,22.0,24.0,26.0,18,,,,,,,,,,,,,,,5
119,22.0,24.0,26.0,19,,,,,,,,,,,,,,,5
120,23.0,25.0,27.0,0,,,,,,,,,,,,,,,5
121,23.0,25.0,27.0,1,,,,,,,,,,,,,,,5
122,23.0,25.0,27.0,2,,,,,,,,,,,,,,,5
123,23.0,25.0,27.0,3,,,,,,,,,,,,,,,5
124,23.0,25.0,27.0,4,,,,,,,,,,,,,,,5
125,23.0,25.0,27.0,5,,,,,,,,,,,,,,,5
126,23.0,25.0,27.0,6,,,,,,,,,,,,,,,5
127,23.0,25.0,27.0,7,,,,,,,,,,,,,,,5
128,23.0,25.0,27.0,8,,,,,,,,,,,,,,,5
129,23.0,25.0,27.0,9,,,,,,,,,,,,,,,5
130,23.0,25.0,27.0,10,,,,,,,,,,,,,,,5
131,23.0,25.0,27.0,11,,,,,,,,,,,,,,,5
132,23.0,25.0,27.0,12,,,,,,,,,,,,,,,5
133,23.0,25.0,27.0,13,,,,,,,,,,,,,,,5
134,23.0,25.0,27.0,14,,,,,,,,,,,,,,,5
135,23.0,25.0,27.0,15,,,,,,,,,,,,,,,5
136,23.0,25.0,27.0,16,,,,,,,,,,,,,,,5
137,23.0,25.0,27.0,17,,,,,,,,,,,,,,,5
138,23.0,25.0,27.0,18,,,,,,,,,,,,,,,5
139,23.0,25.0,27.0,19,,,,,,,,,,,,,,,5
140,24.0,26.0,28.0,0,,,,,,,,,,,,,,,5
141,24.0,26.0,28.0,1,,,,,,,,,,,,,,,5
142,24.0,26.0,28.0,2,,,,,,,,,,,,,,,5
143,24.0,26.0,28.0,3,,,,,,,,,,,,,,,5
144,24.0,26.0,28.0,4,,,,,,,,,,,,,,,5
145,24.0,26.0,28.0,5,,,,,,,,,,,,,,,5
146,24.0,26.0,28.0,6,,,,,,,,,,,,,,,5
147,24.0,26.0,28.0,7,,,,,,,,,,,,,,,5
148,24.0,26.0,28.0,8,,,,,,,,,,,,,,,5
149,24.0,26.0,28.0,9,,,,,,,,,,,,,,,5
150,24.0,26.0,28.0,10,,,,,,,,,,,,,,,5
151,24.0,26.0,28.0,11,,,,,,,,,,,,,,,5
152,24.0,26.0,28.0,12,,,,,,,,,,,,,,,5
153,24.0,26.0,28.0,13,,,,,,,,,,,,,,,5
154,24.0,26.0,28.0,14,,,,,,,,,,,,,,,5
155,24.0,26.0,28.0,15,,,,,,,,,,,,,,,5
156,24.0,26.0,28.0,16,,,,,,,,,,,,,,,5
157,24.0,26.0,28.0,17,,,,,,,,,,,,,,,5
158,24.0,26.0,28.0,18,,,,,,,,,,,,,,,5
159,24.0,26.0,28.0,19,,,,,,,,,,,,,,,5
160,25.0,27.0,29.0,0,,,,,,,,,,,,,,,5
161,25.0,27.0,29.0,1,,,,,,,,,,,,,,,5
162,25.0,27.0,29.0,2,,,,,,,,,,,,,,,5
163,25.0,27.0,29.0,3,,,,,,,,,,,,,,,5
164,25.0,27.0,29.0,4,,,,,,,,,,,,,,,5
165,25.0,27.0,29.0,5,,,,,,,,,,,,,,,5
166,25.0,27.0,29.0,6,,,,,,,,,,,,,,,5
167,25.0,27.0,29.0,7,,,,,,,,,,,,,,,5
168,25.0,27.0,29.0,8,,,,,,,,,,,,,,,5
169,25.0,27.0,29.0,9,,,,,,,,,,,,,,,5
170,25.0,27.0,29.0,10,,,,,,,,,,,,,,,5
171,25.0,27.0,29.0,11,,,,,,,,,,,,,,,5
172,25.0,27.0,29.0,12,,,,,,,,,,,,,,,5
173,25.0,27.0,29.0,13,,,,,,,,,,,,,,,5
174,25.0,27.0,29.0,14,,,,,,,,,,,,,,,5
175,25.0,27.0,29.0,15,,,,,,,,,,,,,,,5
176,25.0,27.0,29.0,16,,,,,,,,,,,,,,,5
177,25.0,27.0,29.0,17,,,,,,,,,,,,,,,5
178,25.0,27.0,29.0,18,,,,,,,,,,,,,,,5
179,25.0,27.0,29.0,19,,,,,,,,,,,,,,,5
180,26.0,28.0,30.0,0,,,,,,,,,,,,,,,5
181,26.0,28.0,30.0,1,,,,,,,,,,,,,,,5
182,26.0,28.0,30.0,2,,,,,,,,,,,,,,,5
183,26.0,28.0,30.0,3,,,,,,,,,,,,,,,5
184,26.0,28.0,30.0,4,,,,,,,,,,,,,,,5
185,26.0,28.0,30.0,5,,,,,,,,,,,,,,,5
