,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
2019,37.0,41.0,45.0,19,8.32075344075427,1.0,1.0,2.701581321283974,1.0,1.0,1.0,1.0,1.0,300.043550808217,8.369617869479125,1.2068994627173752,0.0,1.910256589404143,0.6023013670490668,0.3292309224590793,0.7564409537176124,0.08914111460547051,0.0,344.6304207814905,347.14887385643215,542.1522536152922,9,1
2020,37.0,41.0,45.0,20,13.076403263697769,1.0,1.0,1.6313210355567627,1.0,1.231164963985784,1.0,2.4706842813056005,1.0,449.6202259907176,12.998568516929621,0.17451854947705858,0.0,1.298958562059894,1.2331374400552628,0.9303346315765724,0.0,0.7612477269780906,0.0,478.27523851147146,349.49431180169364,893.5569857214138,9,1
2021,37.0,41.0,45.0,21,6.555240618908126,2.0890105447545997,1.0,2.866374417730768,1.0,1.0,1.1707003328292696,1.0,1.0,273.5624116665456,6.7420969662226335,3.7399221439591566,0.0,2.0285294684669855,1.1637295261586917,2.0794667652437737,1.3807065736427664,1.092827582048151,0.0,343.9762288718432,207.24567789528552,526.085182349571,9,1
2022,37.0,41.0,45.0,22,8.026792313627665,1.0,1.0,1.5255539590933331,1.0,1.0,1.0,1.0,1.0,353.9095747179998,7.458258203576119,0.0,1.0002126623106182,2.049392022274371,2.2827536499565397,0.0,7.506870164256964e-09,0.07506152821545946,0.0,496.2761660331604,374.2532456870884,870.9452259347536,9,1
2023,37.0,41.0,45.0,23,9.55953899717164,1.0,1.0,1.486262634206455,5.33762438444027,1.0,1.0,1.0,1.0,310.62656654081644,8.775770910209673,0.5696573858801084,0.0,1.6425836786246668,4.58146441749411,0.0,4.003272816253612,0.355953910458652,0.0,416.780017069948,267.84367578712363,644.3882152809252,9,1
2024,37.0,41.0,45.0,24,9.50867327542471,1.7081911540964476,1.0,1.9299237603619175,1.0,1.0,1.0,1.1968271718317574,1.0,360.8134428480026,9.509942427013995,2.55689701933564,0.0,1.8372535547281401,1.5636423892914502,0.0,0.9174683998545325,0.7923371456471503,1.1319278962153396,513.180194544797,309.19106721324016,784.8696321566867,9,1
2025,37.0,41.0,45.0,25,8.359454069948088,1.0,1.0,1.7869391922998308,1.0,1.0,1.0,1.0,1.0,276.7711372732689,7.684552982353898,1.021249503963319,2.7566437706323117,1.9233575770919922,4.295754605641617,0.0,1.9798220692633655,0.0,0.0,464.05782086751503,291.1962825943657,739.1905635087745,9,1
2026,37.0,41.0,45.0,26,10.851168927835571,1.0,2.1465964897261474,1.6090544345977678,1.0,1.0,2.4321622005128174,1.0,1.0,520.8018079070604,9.172349095283137,0.0,2.575762400505274,1.8832555056431979,0.19129887946017038,0.36646961982320314,4.479968987551317,0.15542442789439223,0.0,623.7372597584226,406.9885619923707,1147.9164569015586,9,1
2027,37.0,41.0,45.0,27,9.22631172800458,1.831119968732314,1.0,5.469013610431218,1.0,1.0,3.9886303541569204,1.0,1.0,344.53292295334336,9.347594262965448,4.419067828381755,0.0,3.996665451055035,1.0910905712888528,0.0,3.402914041331587,0.0,0.0,351.4925272129259,202.52970484352488,1152.1660578419028,9,1
2028,37.0,41.0,45.0,28,10.616055710448935,1.0,1.0,1.7958770880795902,1.0,1.0,2.5938866729803394,1.532319697469989,1.0,360.29513106581646,10.587332741336303,0.0,0.0,1.2940695426579356,1.808295606152839,0.0,2.577671815673335,0.450846187745885,0.6625418915450974,350.1534005977927,404.29250330560524,1265.0157518463232,9,1
2029,37.0,41.0,45.0,29,6.654326685309376,1.2644162863656492,1.0,1.1339439307670258,1.0,1.0,1.0,1.5091482693986937,1.0,277.3302556824791,6.758757573480481,3.9992097762626266,1.0331180570277005,1.1436303595772257,1.9592683432616838,1.1832979827702619,0.0,1.3874943435505842,0.0,462.7961372705268,273.0497209896109,898.4969451367537,9,1
2030,37.0,41.0,45.0,30,6.2952585591152195,1.0,1.0,3.082808929099629,1.0,1.0,1.0,1.0,1.0,313.72215475144753,6.120396480121658,1.240451814244028,0.617138630621682,2.763707758803324,0.3453834497734205,0.0,0.0,0.17328935692295078,0.5600525192936694,422.38050251923994,309.34060505975515,641.6302791794942,9,1
2031,37.0,41.0,45.0,31,7.750504665567393,1.0,1.0,1.1014727600880514,1.0,1.0,1.616319816016683,2.010430527841176,1.0,311.41507909265823,6.902669397298247,0.994851195743291,0.0,1.252304027409848,1.9614708078113723,1.0793871886125666,3.135996148019743,1.3862613427522401,0.0,417.74018908317055,230.8014544684517,759.4748715414866,9,1
2032,37.0,41.0,45.0,32,9.022705692037267,1.0,1.0,2.046421495798708,4.381789251973312,1.0,1.0,1.2350044322675637,4.914131064938154,379.3902940080596,8.124303734131274,0.32840742920837196,3.9299386713430216,3.247770484510884,4.6812911264417165,0.4340249930492475,0.0,1.3370159895576972,4.9447802742684095,660.524656837103,439.2488967966734,1354.7647140755441,9,1
2033,37.0,41.0,45.0,33,5.6684658847321225,1.0,1.0,2.217398824350217,1.0,1.0,1.0,1.0,1.0,394.5494201071702,5.340763683895647,1.6514047048376317,0.1343360221682223,2.4293275127861347,1.144853363265836,0.0,1.4558210412843242,0.0,0.0,573.5997960911313,418.942537846861,931.8790533418995,9,1
2034,37.0,41.0,45.0,34,6.64174600558516,1.0,2.7581428331083657,1.4734579261194352,1.0,1.0,1.0,1.0,1.0,302.5103635102987,5.5474031770243935,0.12057264414941203,3.5865060496055783,1.6945859738522078,0.4328892972584427,1.0096110313847837,1.2179332168539254,0.0,0.0,383.26182462690457,264.67715577223066,717.574671240636,9,1
2035,37.0,41.0,45.0,35,10.220755616153436,1.0,1.0,1.8265778527817809,1.0,1.0,1.0,1.4842948531339062,7.722304802149356,445.43209259147386,9.982559528430064,0.0,0.15664986865172056,1.8462259745876746,1.4299955244214777,1.5775975994222118,0.0,0.565122550299707,7.491365826922461,482.6110185720067,494.4906744137791,1786.175192085391,9,1
