,18,19,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9981851179673321,0.9976689976689976,0.9975845410628019,1.0,0.9976114649681529,0.9723756906077348,0.9466101694915254,0.8666241225271218,0.8059508408796895,0.6637168141592921,0.5316901408450704,0.3284907183212268,0.2289044289044289,0.13297297297297297,0.07329842931937172,0.06328182487122884,0.04007455731593663,0.032490974729241874,0.014285714285714285
