,18,19,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,4,1,1,6,35,24,21,26,22,79,71,52,45,117,289,425,592,439,151,551,429,414,713,1256,362,1180,1567,773,452,284,1239,2145,925,1910,1359,1073,1385,210
