,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
5325,70.0,74.0,78.0,25,4.356865679761492,4.440661865203279,1.0,1.0,6.073384098369328,2.8196846804564046,1.0,1.0,3.270346878021768,1648.954153746971,6.6272096674171275,5.239891139514529,4.0281712693909535,1.0,7.488577188222087,2.4695798518599434,7.0395942043878845,1.0,1.1748858091025005,1396.0719321922961,7230.954572789998,8837.83336674333,9,1
5326,70.0,74.0,78.0,26,1.0,3.322395987201859,1.0,1.0,1.0,18.94464830735531,15.689827808526559,1.0,1.0,292.8064292390167,1.0,4.408832127334367,1.0,4.854813266886151,1.0,17.696206259786507,14.496119254508361,1.0,1.0,264.62880652163346,156.13099584776378,513.7643880460603,9,1
5327,70.0,74.0,78.0,27,1.025811305045865,1.886364041325414,3.3974824680871794,6.32423920952395,6.280781156700368,1.0,1.0,1.0,1.0,223.8128425883483,1.0,2.1262638109340393,3.0234981160896996,1.0,1.0,1.0,1.0,1.0,1.0,337.30937443398767,199.01253091605275,654.8702940400026,9,1
5328,70.0,74.0,78.0,28,1.0,2.653451957009738,1.0,15.379725006112016,1.0,1.0,1.6339006500335727,13.099337742335505,63.15795715174269,421.707233863783,1.0,2.6535366602223522,1.0002998918445976,15.379669148313713,1.0,1.0000838456049472,1.633848461028262,13.099318925468847,63.157943454387905,297.6742153894026,164.46500400264495,534.5062705863506,9,1
5329,70.0,74.0,78.0,29,1.0,3.1009218878223064,4.190739463033392,11.92676059564146,7.828236092752093,27.98016725763483,8.35462993802126,1.0,15.941458637985384,594.5673642617791,1.834861211582119,2.2411200950941645,4.293217682345106,4.476118174281697,1.0,25.972393566658315,1.0,1.0,7.545026267238807,430.1167154709251,253.7688621278458,835.0513839249629,9,1
5330,70.0,74.0,78.0,30,1.5539474465179592,2.9942520318436823,2.231988737441138,1.0,1.0,3.1390387239705335,1.0,1.0,1.0,377.208862761981,2.8229677328131304,2.8766428136271744,1.0,1.4042353536456915,1.0,3.10012989791731,1.0,1.0,1.0,330.9320241029323,203.5231948233034,1476.883919120735,9,1
5331,70.0,74.0,78.0,31,1.0,1.7609363692865818,1.0,35.83287908984651,1.0,5.690297915998037,1.0,1.0,1.0,215.67989710383205,1.0,1.0000082293333141,6.472426093402157,18.55325355511606,1.0,1.0,1.0,1.0,1.0,331.38668652939543,195.5181450523433,643.3716738901896,9,1
5332,70.0,74.0,78.0,32,1.0,3.2130201423571227,2.5298052902254278,16.377853418448403,5.274176614571961,3.0516288789739097,1.0,1.0,1.0,616.2845327421846,1.0,3.2130345879851063,2.5297994360205793,16.37784583123327,5.274161515589661,3.051606121443376,1.0,1.0,1.0,533.9110839963696,281.638096808085,926.7578399240404,9,1
5333,70.0,74.0,78.0,33,1.0,2.230539039401043,8.077884827851907,6.980834623000618,1.0,8.314327559318151,1.0,1.0,34.55955971650364,381.44919657155305,1.0,2.2305405534292815,8.077884165789653,6.980834087798772,1.0,8.314327850314031,1.0,1.0,34.55955937104754,381.27343808971847,190.05014452472125,677.4935707594229,9,1
5334,70.0,74.0,78.0,34,1.0,6.237140969067167,1.0,15.94504325223579,1.0,36.33951699307636,1.0,1.0,1.0,637.8843898013146,1.0,6.237088532259487,1.0002076336516998,15.945035526276088,1.0000379084537974,36.33950043340713,1.0,1.0,1.0,492.8358616938042,290.7731583993445,956.817657980749,9,1
5335,70.0,74.0,78.0,35,1.0,2.761528830012912,1.0,1.0,1.0,1.0013929594024644,1.0,1.0,1.0,174.26568328018877,1.0,3.040524392380199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,290.9023261759818,171.63237244382924,564.7731913749936,9,1
5336,70.0,74.0,78.0,36,1.0,3.5579381258650327,4.247590506872573,18.010204454905438,1.0,9.741001185790735,1.0,1.0,1.0,286.0535342454236,1.0,3.557925548674181,4.247600062849496,18.01019300096411,1.0,9.741007048276158,1.0,1.0,1.0,271.62892845570605,163.65642939456285,416.97009403735973,9,1
5337,70.0,74.0,78.0,37,1.0,3.476244630403394,1.0,21.078807106611432,1.0,26.562545567312696,29.85105537967206,1.0,56.78101614013202,591.1051456514184,1.0,3.476232632950691,1.0007808034984802,21.078742328570765,1.0001554683850369,26.56249440153549,29.85100066373482,1.0,56.780989878804114,333.1869220724181,204.90995707453712,520.1560448815173,9,1
5338,70.0,74.0,78.0,38,1.0,1.0,1.0,30.964467942856324,7.437848363021327,27.053612812318942,1.0,1.0,1.0,309.66746135195416,1.0,1.0,3.5536712053057564,30.54067879621641,7.217618936931366,26.56524050257669,1.0,1.0,1.0,327.4752567922065,153.6214543258183,554.9586029100406,9,1
5339,70.0,74.0,78.0,39,1.0,9.157717445609556,1.0,22.7886251002915,24.049064326727436,1.0,1.0,1.0,1.0,438.04495542353897,1.0,3.3095755274023353,2.1393792079835063,1.0,1.0,8.347454579952503,1.0,1.0,1.0,290.03458369849534,171.1204043821123,563.0885101462668,9,1
5340,70.0,74.0,78.0,40,1.0,3.877078670817891,1.0,4.353102163221921,7.614517445927162,1.0,3.407374719406918,1.3653130905856208,1.0,942.752835080716,1.0,3.1577281700920836,3.018934486291417,10.07939610338597,7.626992342686453,1.7136946082758264,9.345904117282274,8.350133053793835,1.0,1114.344498641505,727.1097853635819,2290.131697001223,9,1
5341,70.0,74.0,78.0,41,4.6174516237361605,7.8801009541886025,5.372916147115582,28.530111643322847,34.09842124972367,1.0,1.0,1.0,1.0,448.4392195430229,4.617351124218271,7.87997980995153,5.373199514121105,28.530073129036886,34.09839407233251,1.0,1.0,1.0,1.0,313.9516925513621,48.60213701997047,617.7871638982915,9,1
5342,70.0,74.0,78.0,42,5.243835103963134,1.9376011205346235,3.963717796484614,15.81297581886578,1.0,1.0,1.0,1.0,1.0,160.51754579101865,4.354323857577115,1.1949131049170905,3.764466369084666,15.57326491084344,1.0,1.0,1.0,1.0,1.0,275.1751488476812,158.91364845953592,522.9209799736866,9,1
