,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,2,28,3,2,10,48,104,40,76,12,107,67,33,97,128,14,58,84,178,188,316,53,163,149,173,130,197,226,145,31,11,87,31,24,27,34,17,6,1
