,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
2,12-Jun-20,24.0,0.8,1.0,1.0,0.0,31 May 2020 to 13 June 2020,33000,12000,74000,14-day weighted estimates,0.9,2020-06-10,7857.142857142857,19821.42857142857,2571.428571428571,True,12285.714285714286,31166.666666666668,642.8571428571429,14796.50734752776,246875.6200396825,462.8624615869513,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
3,19-Jun-20,25.0,0.7,0.9,1.0,0.0,08 June 2020 to 21 June 2020,51000,21000,105000,14-day weighted estimates,0.8,2020-06-17,13660.714285714284,32142.857142857145,5000.0,True,16428.57142857143,37285.71428571429,2571.428571428572,23879.26599211113,295119.89052180643,1259.8917117867556,False,0.0,1.36,1.19,1.53,0.0,0.0,0.0,False,,,,False
4,26-Jun-20,26.0,0.7,0.9,1.0,0.0,14 June 2020 to 27 June 2020,25000,12000,44000,14-day weighted estimates,0.8,2020-06-24,6696.428571428571,13469.38775510204,2857.142857142857,True,5690.476190476191,15380.952380952382,-3142.8571428571427,10091.842808551992,89951.46698135037,424.5074653237919,False,0.0,1.36,1.19,1.53,0.0,0.0,0.0,False,,,,False
5,03-Jul-20,27.0,0.8,0.9,1.0,0.0,22 June 2020 to 05 July 2020,14000,5000,31000,14-day weighted estimates,0.8500000000000001,2020-07-01,3529.411764705882,8303.571428571428,1190.4761904761904,True,4566.666666666667,11897.61904761905,-383.33333333333314,6207.462985194077,98582.44928328476,163.69901006997785,False,0.0,1.445,1.36,1.53,0.0,0.0,0.0,False,,,,False
6,10-Jul-20,28.0,0.8,1.0,1.0,0.0,06 July 2020 to 12 July 2020,23600,15300,33900,modelled weekly estimates,0.9,2020-07-08,5619.047619047619,9080.35714285714,3278.5714285714284,True,8845.238095238095,13792.857142857143,4207.142857142857,10620.394219700256,39821.57952466701,2405.3642379834355,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
7,17-Jul-20,29.0,0.8,1.0,1.0,0.0,13 July 2020 to 19 July 2020,27700,18500,39900,modelled weekly estimates,0.9,2020-07-15,6595.238095238095,10687.499999999998,3964.285714285714,True,10097.61904761905,16007.142857142857,5438.095238095239,12280.041307107913,45254.951097234254,3077.5102235666905,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
8,24-Jul-20,30.0,0.8,1.0,1.0,0.0,20 July 2020 to 26 July 2020,35700,23700,53200,modelled weekly estimates,0.9,2020-07-22,8500.0,14249.999999999998,5078.571428571428,True,11942.857142857143,19326.19047619048,6400.0,15138.334245262731,59449.00887193333,3649.3421052631575,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
9,31-Jul-20,31.0,0.8,1.0,1.0,0.0,27 July 2020 to 02 August 2020,28300,18900,40800,modelled weekly estimates,0.9,2020-07-29,6738.095238095238,10928.571428571428,4050.0,True,8904.761904761906,14814.285714285714,3857.142857142857,11645.585633434486,43834.30804294506,2719.997641913909,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
10,07-Aug-20,32.0,0.8,1.0,1.0,0.0,03 August 2020 to 09 August 2020,28300,19000,40700,modelled weekly estimates,0.9,2020-08-05,6738.095238095238,10901.785714285712,4071.428571428571,True,9169.04761904762,14630.952380952382,4626.190476190476,11811.623165728235,43160.44583716945,2938.909493246228,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
11,14-Aug-20,33.0,0.8,1.0,1.0,0.0,07 August 2020 to 13 August 2020,24600,16900,33800,modelled weekly estimates,0.9,2020-08-12,5857.142857142857,9053.571428571428,3621.428571428571,True,8192.857142857143,12616.666666666668,4161.904761904762,10408.163759115729,34147.933396731474,2812.365800081656,False,0.0,1.53,1.36,1.7,0.0,0.0,0.0,False,,,,False
12,21-Aug-20,34.0,0.9,1.0,1.0,0.0,14 August 2020 to 20 August 2020,28200,20100,37900,modelled weekly estimates,0.95,2020-08-19,6360.902255639097,9023.809523809525,4307.142857142857,True,9578.57142857143,14047.61904761905,5664.285714285715,11415.937123529622,31965.827111070288,3753.100744632568,True,0.0,1.615,1.53,1.7,0.0,0.0,0.0,False,,,,False
13,28-Aug-20,35.0,0.9,1.1,1.0,0.0,19 August 2020 to 25 August 2020,27100,19300,36700,modelled weekly estimates,1.0,2020-08-26,5807.142857142857,8738.095238095239,3759.7402597402593,True,11290.476190476193,16169.04761904762,7076.190476190476,11653.890317328827,34482.31182019645,3692.8240067037823,True,0.0,1.7,1.53,1.87,0.0,0.0,0.0,False,,,,False
14,11-Sep-20,37.0,1.0,1.2,1.0,0.0,04 September 2020 to 10 September 2020,59800,46900,75200,modelled weekly estimates,1.1,2020-09-09,11649.350649350648,16114.285714285714,8375.0,True,25397.61904761905,32502.380952380958,19126.19047619048,23645.813831982865,52999.40388126008,10352.05601443338,True,0.0,1.87,1.7,2.04,0.0,0.0,0.0,False,,,,False
15,18-Sep-20,38.0,1.2,1.4,1.0,0.0,13 September 2020 to 19 September 2020,103600,85600,123400,modelled weekly estimates,1.2999999999999998,2020-09-16,17076.923076923078,22035.714285714283,13102.040816326533,True,38590.4761904762,47290.4761904762,30376.19047619048,32168.52356794049,60779.45315030775,16683.52060335926,True,0.0,2.2099999999999995,2.04,2.38,0.0,0.0,0.0,False,inf,inf,inf,False
16,25-Sep-20,39.0,1.2,1.5,1.0,0.0,18 September 2020 to 24 September 2020,116600,101000,133100,modelled weekly estimates,1.35,2020-09-23,18507.936507936505,23767.85714285714,14428.57142857143,True,47495.2380952381,55802.38095238096,39409.52380952381,36656.657090491,63090.71698988412,21160.066949036423,True,0.0009021199819576,2.2926877515595043,2.0379446680528925,2.5474308350661157,9.831304810388747,12.625343087869515,7.66437055972845,True,25.75962134840627,42.96907584366488,15.500274528221047,True
17,02-Oct-20,40.0,1.2,1.6,1.0,0.0,25 September 2020 to 01 October 2020,224400,203800,245700,modelled weekly estimates,1.4,2020-09-30,34346.93877551021,43874.99999999999,27294.64285714285,True,90507.14285714286,100542.85714285714,80726.19047619049,67640.58484015128,105043.56172231966,44127.83068795428,True,0.0018726591760299,2.374954237567298,2.03567506077197,2.7142334143626266,37.91574282514706,48.43381319442248,30.13068110202473,True,67.22717399332753,104.06973977498033,44.031085373859895,True
18,09-Oct-20,41.0,1.2,1.5,1.0,0.0,02 October 2020 to 08 October 2020,336500,312200,362000,modelled weekly estimates,1.35,2020-10-07,53412.69841269841,64642.85714285714,44600.0,True,127088.09523809524,138916.6666666667,115623.80952380954,101376.88249557075,143519.21098222546,72230.94396032552,True,0.000281690140845,2.2944537285429125,2.039514425371478,2.549393031714347,8.852595707065364,10.71387697385548,7.3919831850556506,True,17.82976533123479,26.575227171750566,11.924063869660996,True
19,16-Oct-20,42.0,1.2,1.4,1.0,0.0,10 October 2020 to 16 October 2020,433300,407500,459300,modelled weekly estimates,1.2999999999999998,2020-10-14,71423.07692307692,82017.85714285713,62372.44897959184,True,160976.1904761905,173685.7142857143,148297.61904761905,134350.05207932484,175578.84070543206,102944.25190251878,True,0.001232741617357,2.20804424822478,2.038194690669028,2.3778938057805328,51.837756088276244,59.52728245009013,45.268951382684946,True,166.26277658725388,215.2400655943924,128.838678527033,True
20,23-Oct-20,43.0,1.2,1.4,1.0,0.0,17 October 2020 to 23 October 2020,568100,536500,600400,modelled weekly estimates,1.2999999999999998,2020-10-21,93642.85714285714,107214.28571428572,82117.34693877552,True,202609.52380952385,217811.9047619048,187676.1904761905,172348.11142908488,222830.0895666704,133694.32831835098,True,0.0061900958466453,2.1985101185008507,2.0293939555392475,2.367626281462455,342.7574579016464,392.43245180043556,300.57106270714814,True,860.7010654150766,1105.1026515499066,672.854805192627,True
21,30-Oct-20,44.0,1.1,1.3,1.0,0.0,25 October 2020 to 31 October 2020,618700,583100,655000,modelled weekly estimates,1.2000000000000002,2020-10-28,110482.14285714284,127597.4025974026,96115.3846153846,True,212369.04761904763,229283.3333333333,195723.80952380956,199345.33293034663,261240.41908043367,152646.554722216,True,0.0208613728129205,1.9862884788641448,1.8207644389587996,2.15181251876949,1392.4316810000525,1608.1392087015904,1211.3641454530677,True,2906.756459127097,3779.4346736184857,2245.8340991377822,True
22,06-Nov-20,45.0,1.1,1.3,1.0,0.0,31 October 2020 to 06 November 2020,654000,619400,689800,modelled weekly estimates,1.2000000000000002,2020-11-04,116785.71428571426,134376.62337662338,102098.90109890109,True,221285.7142857143,238369.04761904763,204559.52380952385,209186.62124089475,270946.4692343815,162232.71362532632,True,0.0361836183618361,1.9727362814806628,1.8083415913572742,2.1371309716040514,2570.4782269165985,2957.6578497532437,2247.2183680340736,True,5607.446413635786,7226.102238380723,4372.501718361509,True
