,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
15,18-Sep-20,38.0,1.2,1.4,1.0,0.0,13 September 2020 to 19 September 2020,103600,85600,123400,modelled weekly estimates,1.2999999999999998,2020-09-16,17076.923076923078,22035.714285714283,13102.040816326533,True,38590.4761904762,47290.4761904762,30376.19047619048,32168.52356794049,60779.45315030775,16683.52060335926,True,0.0,2.5609999999999995,2.364,2.758,0.0,0.0,0.0,False,,,,False
16,25-Sep-20,39.0,1.2,1.5,1.0,0.0,18 September 2020 to 24 September 2020,116600,101000,133100,modelled weekly estimates,1.35,2020-09-23,18507.936507936505,23767.85714285714,14428.57142857143,True,47495.2380952381,55802.38095238096,39409.52380952381,36656.657090491,63090.71698988412,21160.066949036423,True,0.0,2.6568205121013078,2.36161823297894,2.9520227912236754,0.0,0.0,0.0,False,,,,False
17,02-Oct-20,40.0,1.2,1.6,1.0,0.0,25 September 2020 to 01 October 2020,224400,203800,245700,modelled weekly estimates,1.4,2020-09-30,34346.93877551021,43874.99999999999,27294.64285714285,True,90507.14285714286,100542.85714285714,80726.19047619049,67640.58484015128,105043.56172231966,44127.83068795428,True,0.0,2.752152851769163,2.3589881586592827,3.1453175448790436,0.0,0.0,0.0,False,,,,False
18,09-Oct-20,41.0,1.2,1.5,1.0,0.0,02 October 2020 to 08 October 2020,336500,312200,362000,modelled weekly estimates,1.35,2020-10-07,53412.69841269841,64642.85714285714,44600.0,True,127088.09523809524,138916.6666666667,115623.80952380954,101376.88249557075,143519.21098222546,72230.94396032552,True,0.0,2.658866967782081,2.363437304695183,2.954296630868979,0.0,0.0,0.0,False,,,,False
19,16-Oct-20,42.0,1.2,1.4,1.0,0.0,10 October 2020 to 16 October 2020,433300,407500,459300,modelled weekly estimates,1.2999999999999998,2020-10-14,71423.07692307692,82017.85714285713,62372.44897959184,True,160976.1904761905,173685.7142857143,148297.61904761905,134350.05207932484,175578.84070543206,102944.25190251878,True,0.0,2.5587336288251863,2.361907965069403,2.7555592925809704,0.0,0.0,0.0,False,,,,False
20,23-Oct-20,43.0,1.2,1.4,1.0,0.0,17 October 2020 to 23 October 2020,568100,536500,600400,modelled weekly estimates,1.2999999999999998,2020-10-21,93642.85714285714,107214.28571428572,82117.34693877552,True,202609.52380952385,217811.9047619048,187676.1904761905,172348.11142908488,222830.0895666704,133694.32831835098,True,0.0,2.5476852549686333,2.3517094661248925,2.7436610438123745,0.0,0.0,0.0,False,inf,inf,inf,False
21,30-Oct-20,44.0,1.1,1.3,1.0,0.0,25 October 2020 to 31 October 2020,618700,583100,655000,modelled weekly estimates,1.2000000000000002,2020-10-28,110482.14285714284,127597.4025974026,96115.3846153846,True,212369.04761904763,229283.3333333333,195723.80952380956,199345.33293034663,261240.41908043367,152646.554722216,True,0.0006729475100942,2.301757825507274,2.109944673381668,2.4935709776328796,38.76099324873186,44.765623952720865,33.72063283560153,True,68.90843244218999,89.39647078345904,53.36726312180291,True
22,06-Nov-20,45.0,1.1,1.3,1.0,0.0,31 October 2020 to 06 November 2020,654000,619400,689800,modelled weekly estimates,1.2000000000000002,2020-11-04,116785.71428571426,134376.62337662338,102098.90109890109,True,221285.7142857143,238369.04761904763,204559.52380952385,209186.62124089475,270946.4692343815,162232.71362532632,True,0.0,2.2860532203040624,2.095548785278724,2.4765576553294006,0.0,0.0,0.0,False,inf,inf,inf,False
23,13-Nov-20,46.0,1.1,1.2,1.0,0.0,08 November 2020 to 14 November 2020,664700,628300,701200,modelled weekly estimates,1.15,2020-11-11,123857.14285714288,136597.4025974026,112196.42857142857,True,220066.6666666667,237219.04761904763,202961.9047619048,219445.7653182479,273040.5202662638,175972.91233100143,True,0.0001666944490748,2.094835717028241,2.003755903244405,2.185915530812078,11.334178966126856,12.500041351129521,10.267105888721888,True,20.149651495336638,24.8006903861553,16.35500444922092,True
24,20-Nov-20,47.0,1.0,1.1,1.0,0.0,15 November 2020 to 21 November 2020,633000,599200,668200,modelled weekly estimates,1.05,2020-11-18,129183.67346938777,143185.7142857143,116727.27272727272,True,200757.14285714287,217326.1904761905,184690.4761904762,224119.34528333048,280429.8471840815,179145.06077447793,True,0.0,1.8740510219333704,1.7848104970794,1.9632915467873404,0.0,0.0,0.0,False,inf,inf,inf,False
25,27-Nov-20,48.0,0.9,1.0,1.0,0.0,22 November 2020 to 28 November 2020,521300,490600,552600,modelled weekly estimates,0.95,2020-11-25,117586.46616541353,131571.42857142858,105128.57142857142,True,162945.2380952381,178085.7142857143,148004.76190476192,202584.1465693815,259110.133879421,158141.787625034,True,0.0,1.559347517249314,1.4772765952888238,1.6414184392098043,0.0,0.0,0.0,False,,,,False
