,lineage,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
0,0,16.0,19.0,42.0,10.0,20.0,32.0,41.0,10.0,44.0,32.0,54.0,51.0,21.0,35.0,54.0,35.0,31.0,30.0,52.0,42.0
1,1,34.0,12.0,19.0,34.0,27.0,5.0,7.0,28.0,21.0,21.0,12.0,25.0,5.0,11.0,5.0,0.0,8.0,18.0,17.0,18.0
2,2,19.0,29.0,28.0,27.0,20.0,8.0,47.0,18.0,10.0,42.0,8.0,22.0,7.0,25.0,2.0,21.0,25.0,11.0,9.0,19.0
3,3,42.0,51.0,40.0,34.0,20.0,29.0,27.0,6.0,14.0,34.0,27.0,14.0,20.0,36.0,19.0,15.0,19.0,16.0,14.0,12.0
4,4,32.0,22.0,21.0,10.0,11.0,33.0,31.0,15.0,8.0,26.0,26.0,31.0,11.0,9.0,33.0,32.0,38.0,26.0,12.0,33.0
5,5,7.0,15.0,40.0,8.0,15.0,6.0,17.0,6.0,8.0,20.0,26.0,14.0,1.0,20.0,38.0,16.0,12.0,5.0,4.0,1.0
6,6,25.0,23.0,6.0,9.0,7.0,26.0,16.0,33.0,8.0,17.0,16.0,14.0,10.0,20.0,16.0,33.0,24.0,14.0,18.0,6.0
7,7,46.0,34.0,2.0,27.0,22.0,26.0,6.0,40.0,10.0,8.0,23.0,12.0,8.0,21.0,3.0,16.0,18.0,16.0,18.0,12.0
8,8,34.0,26.0,37.0,17.0,13.0,23.0,42.0,13.0,11.0,22.0,35.0,10.0,15.0,6.0,25.0,24.0,18.0,3.0,16.0,8.0
9,9,9.0,15.0,56.0,13.0,16.0,10.0,30.0,19.0,71.0,12.0,28.0,36.0,44.0,43.0,49.0,13.0,30.0,29.0,54.0,28.0
10,10,13.0,19.0,8.0,28.0,11.0,28.0,14.0,4.0,16.0,7.0,16.0,16.0,14.0,6.0,43.0,21.0,21.0,7.0,10.0,29.0
11,11,11.0,11.0,10.0,34.0,19.0,10.0,32.0,15.0,15.0,37.0,33.0,28.0,37.0,13.0,29.0,21.0,21.0,12.0,17.0,9.0
12,12,13.0,30.0,19.0,9.0,14.0,10.0,3.0,5.0,23.0,40.0,27.0,8.0,7.0,14.0,15.0,10.0,25.0,17.0,4.0,14.0
13,13,17.0,18.0,13.0,13.0,14.0,11.0,17.0,4.0,5.0,2.0,8.0,2.0,4.0,14.0,10.0,18.0,13.0,17.0,9.0,23.0
14,14,35.0,30.0,33.0,8.0,18.0,22.0,23.0,30.0,16.0,22.0,35.0,27.0,23.0,5.0,28.0,21.0,30.0,26.0,9.0,22.0
15,15,9.0,13.0,13.0,17.0,11.0,31.0,13.0,7.0,19.0,5.0,8.0,1.0,6.0,14.0,8.0,34.0,7.0,33.0,18.0,1.0
16,16,24.0,6.0,37.0,15.0,19.0,27.0,11.0,26.0,51.0,39.0,29.0,11.0,19.0,27.0,29.0,27.0,24.0,25.0,13.0,15.0
17,17,14.0,14.0,42.0,16.0,44.0,33.0,21.0,21.0,22.0,42.0,30.0,46.0,30.0,41.0,53.0,24.0,28.0,68.0,37.0,18.0
18,18,41.0,23.0,19.0,35.0,44.0,20.0,11.0,8.0,10.0,22.0,13.0,18.0,28.0,13.0,23.0,15.0,27.0,4.0,38.0,33.0
19,19,24.0,24.0,32.0,17.0,9.0,5.0,14.0,15.0,4.0,3.0,5.0,9.0,15.0,30.0,24.0,19.0,0.0,23.0,9.0,27.0
20,20,11.0,4.0,28.0,42.0,11.0,24.0,13.0,35.0,19.0,18.0,36.0,34.0,25.0,23.0,8.0,18.0,17.0,17.0,13.0,24.0
21,21,18.0,28.0,39.0,39.0,33.0,23.0,29.0,27.0,23.0,21.0,46.0,39.0,28.0,30.0,28.0,18.0,31.0,48.0,26.0,11.0
22,22,18.0,20.0,25.0,6.0,18.0,26.0,9.0,10.0,16.0,16.0,7.0,7.0,12.0,14.0,2.0,13.0,1.0,6.0,19.0,13.0
