,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
0,1,26,254,21,45,47,253,1908,1573,849,974,125,463,282,151,67,141,676,1055,1264,1443,1492,2217,1068,3550,4056,5008,1486,5555,5999,3769,2158,1067,4000,5425,2402,4639,5290,8404,8604,13031,6147,8528,8897,7207,6302,6700,7055,8802,5625,3730,3595,3640,4236,4713,5161,6649,9438,14458,14515,11439,12596,14095,11578,10305,14077,14946,16733,15570,17025,18431,19586,21223,22706,21259,22189,20653,19816,22494,19166,26439,30032,27561,35467,39290,37973,43672,21372,32105,28597,3503
