,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,52,1,1,52,655,544,270,286,9,86,48,26,69,128,26,58,111,236,169,277,188,420,322,221,218,399,376,115,65,9,64,28,25,19,11,24,14,2
