,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
0,0.0,4.0,8.0,0,657.1250378370618,439.7929971094083,977.0444754330541,9,1
1,0.0,4.0,8.0,1,542.1929600623679,361.80964017218696,811.7934981617485,9,1
2,0.0,4.0,8.0,2,547.3407918656188,374.88604188520657,786.9454012751859,9,1
3,0.0,4.0,8.0,3,532.0925946678747,356.15108837953846,795.7922310475595,9,1
4,0.0,4.0,8.0,4,461.6113900797529,323.4920348499898,671.002917983079,9,1
5,0.0,4.0,8.0,5,432.65349035431376,289.65402054644727,653.5971033474984,9,1
6,0.0,4.0,8.0,6,512.5857409840712,349.7998344191091,750.1890299806503,9,1
7,0.0,4.0,8.0,7,567.3514272986241,372.1133021071418,878.2109161707846,9,1
8,0.0,4.0,8.0,8,417.80355833580114,289.2731648574798,607.552912543382,9,1
9,0.0,4.0,8.0,9,498.9948057862721,343.5786318226788,719.4528484020368,9,1
10,0.0,4.0,8.0,10,405.9067571819928,277.18257552317107,580.8171351811459,9,1
11,0.0,4.0,8.0,11,434.41162433205574,306.81027567149374,623.147734540008,9,1
12,0.0,4.0,8.0,12,382.4908095688503,270.678688455914,557.3462339732092,9,1
13,0.0,4.0,8.0,13,567.1946081694533,406.7243210869981,809.6096823700144,9,1
14,0.0,4.0,8.0,14,407.2095945711892,283.40008714869526,580.7647153357733,9,1
15,0.0,4.0,8.0,15,510.6375368814009,357.2341560578885,757.7016580429745,9,1
16,0.0,4.0,8.0,16,366.02079107840314,251.97718865481417,537.7205036008988,9,1
17,0.0,4.0,8.0,17,426.88248191425953,287.48626331610035,635.3711435328784,9,1
18,0.0,4.0,8.0,18,482.1321457981511,316.05520522105354,729.6969806412616,9,1
19,0.0,4.0,8.0,19,385.90494763061645,268.9206314729959,556.5573488581142,9,1
20,0.0,4.0,8.0,20,483.9164574313621,338.7003866046088,709.0970393143873,9,1
21,0.0,4.0,8.0,21,378.46000135724836,267.4886105118341,536.2462298139161,9,1
22,0.0,4.0,8.0,22,460.3668842890732,314.55681172674764,660.6747885509806,9,1
23,0.0,4.0,8.0,23,427.93400673126797,299.4517678240542,622.6576183435735,9,1
24,0.0,4.0,8.0,24,476.8322125825758,322.8558529126172,706.4523873084244,9,1
25,0.0,4.0,8.0,25,426.6795031145817,296.8514677845074,611.0925582322167,9,1
26,0.0,4.0,8.0,26,550.1801038778128,362.9430357611315,811.0309052943123,9,1
27,0.0,4.0,8.0,27,504.0502904864206,357.2717527210122,739.1454473392926,9,1
28,0.0,4.0,8.0,28,608.6995784699459,404.18923437290476,923.1446435775939,9,1
29,0.0,4.0,8.0,29,423.36328507601564,286.70947212321676,627.8664672422319,9,1
30,0.0,4.0,8.0,30,365.986181783822,251.74345625238698,526.2845441996035,9,1
31,0.0,4.0,8.0,31,398.3587168661501,274.41630619726055,570.608306726542,9,1
32,0.0,4.0,8.0,32,502.74672841231074,331.75683453564943,753.9715061745069,9,1
33,0.0,4.0,8.0,33,352.84620883438515,248.33699092764016,508.0754180083565,9,1
34,0.0,4.0,8.0,34,508.3274965644122,334.76455590429424,777.8295182957373,9,1
35,0.0,4.0,8.0,35,516.8264258555569,352.2644360821375,733.5896468017984,9,1
36,0.0,4.0,8.0,36,390.4315345444826,273.5422457299185,554.0332641791947,9,1
37,0.0,4.0,8.0,37,534.203324223306,359.8772348818171,779.0838451847853,9,1
38,0.0,4.0,8.0,38,547.7110850919838,375.4958869636712,804.5720469687637,9,1
39,0.0,4.0,8.0,39,449.0233995369312,304.66301392950567,659.8890129927207,9,1
40,0.0,4.0,8.0,40,473.5616166674181,316.3558949691085,724.5434999323521,9,1
41,0.0,4.0,8.0,41,444.36471283992915,321.07118232673133,635.9410481844527,9,1
42,0.0,4.0,8.0,42,488.9392480077321,336.45390368260155,722.862162275736,9,1
43,0.0,4.0,8.0,43,482.8299534527033,322.1372373349556,732.715008216578,9,1
44,0.0,4.0,8.0,44,469.33024336996374,314.8534952425655,709.5501201915101,9,1
45,0.0,4.0,8.0,45,499.0217512440321,336.7418101831586,745.1314198839484,9,1
46,0.0,4.0,8.0,46,539.8945099277261,376.8627348352896,790.6862221333623,9,1
47,0.0,4.0,8.0,47,511.4265210876964,347.375541223609,758.6518718158391,9,1
