,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,T,delta_t
37,41.0,2288.131285168055,1784.4877660273487,2888.3653198634747,9,1
38,42.0,1877.477360276852,1478.958055057216,2384.8018080453785,9,1
39,43.0,2598.4325439170825,2026.906858601895,3400.1119544324265,9,1
40,44.0,2506.9206749001046,1948.3534138725804,3223.3400848368537,9,1
41,45.0,2619.905611472769,2018.608039830296,3359.547238563864,9,1
42,46.0,3222.870593973306,2470.525707837202,4114.214512489613,9,1
43,47.0,3571.000152548861,2789.37080026207,4653.612140388458,9,1
44,48.0,3892.294229120158,3009.281776480658,5126.846729565169,9,1
45,49.0,3701.627730802594,2880.021711791729,4718.328166743077,9,1
46,50.0,8227.581158287694,6179.273720359049,10844.909974987637,9,1
47,51.0,7929.217839889472,5978.540977077587,10210.112149640176,9,1
48,52.0,7932.610081737937,6059.101652147951,10616.72684003962,9,1
49,53.0,7638.38171990232,5932.581247611864,9985.523776363902,9,1
50,54.0,4632.973078879267,3636.616324093769,5834.454772167093,9,1
51,55.0,3668.8104006146314,2902.095866554026,4587.073985895539,9,1
52,56.0,3786.124630318948,2979.7092521727704,4645.693029573399,9,1
53,57.0,3173.2684017798283,2561.910076496292,3802.3024721586416,9,1
54,58.0,3782.082276868133,3025.6643978565726,4645.325930928335,9,1
55,59.0,3362.5812025637824,2854.234414345656,4002.504586263649,9,1
56,60.0,2548.3506739946224,2097.147443618926,3086.122149315423,9,1
57,61.0,2452.396083074503,2024.8266051447472,2958.7728627146944,9,1
58,62.0,2320.0510301558265,1921.779275257248,2812.9518006817507,9,1
59,63.0,2178.5381553416846,1801.967387720854,2649.532376589949,9,1
60,64.0,2047.32786901972,1697.7546930001515,2466.981198994283,9,1
61,65.0,1807.530458330724,1505.7563994985403,2115.2178895082857,9,1
62,66.0,1867.202875133368,1593.0755967014836,2192.989250386732,9,1
63,67.0,1520.685331579141,1300.6136178781196,1781.110561768434,9,1
64,68.0,1506.6538836311506,1300.6136178781196,1775.1202739073933,9,1
65,69.0,1815.4493504067489,1553.1928190609042,2188.474756829971,9,1
66,70.0,1370.2307204759743,1162.8158428233144,1623.6247082349655,9,1
67,71.0,1182.5345851676157,1009.3416319263288,1378.520814842279,9,1
68,72.0,1019.6813513087482,866.9062234627871,1214.6914981781658,9,1
69,73.0,973.2772631368844,824.0434253671497,1140.192232094229,9,1
70,74.0,887.6205901491833,763.6899328786728,1050.763426845151,9,1
71,75.0,715.6909953681443,607.8801564627129,849.4471133925169,9,1
72,76.0,777.6403726580241,672.7628638431008,915.3372712289124,9,1
73,77.0,656.3007239881586,556.5024424846071,776.0133715560298,9,1
74,78.0,636.2823614741563,549.2548778782033,738.809879836002,9,1
75,79.0,671.0390802114663,577.8244898777749,788.4546288736802,9,1
76,80.0,638.5115208739787,549.2548778782033,754.2048486038791,9,1
77,81.0,643.8236040230353,549.2548778782033,748.2304094558785,9,1
78,82.0,576.8206448070015,496.2835481067476,678.0899165114836,9,1
79,83.0,580.6313372914683,489.76346117057466,664.3371429696684,9,1
80,84.0,624.486917300513,530.1022745554284,731.0187657090197,9,1
