,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
22,18.0,22.0,26.0,22,,,,,,,,,,,,,,,,,,,,,,,9,1
23,18.0,22.0,26.0,23,,,,,,,,,,,,,,,,,,,,,,,9,1
24,18.0,22.0,26.0,24,,,,,,,,,,,,,,,,,,,,,,,9,1
25,18.0,22.0,26.0,25,,,,,,,,,,,,,,,,,,,,,,,9,1
26,18.0,22.0,26.0,26,,,,,,,,,,,,,,,,,,,,,,,9,1
27,18.0,22.0,26.0,27,,,,,,,,,,,,,,,,,,,,,,,9,1
28,18.0,22.0,26.0,28,,,,,,,,,,,,,,,,,,,,,,,9,1
29,18.0,22.0,26.0,29,,,,,,,,,,,,,,,,,,,,,,,9,1
30,18.0,22.0,26.0,30,,,,,,,,,,,,,,,,,,,,,,,9,1
31,18.0,22.0,26.0,31,,,,,,,,,,,,,,,,,,,,,,,9,1
32,18.0,22.0,26.0,32,,,,,,,,,,,,,,,,,,,,,,,9,1
33,18.0,22.0,26.0,33,,,,,,,,,,,,,,,,,,,,,,,9,1
34,18.0,22.0,26.0,34,,,,,,,,,,,,,,,,,,,,,,,9,1
35,18.0,22.0,26.0,35,,,,,,,,,,,,,,,,,,,,,,,9,1
36,18.0,22.0,26.0,36,,,,,,,,,,,,,,,,,,,,,,,9,1
37,18.0,22.0,26.0,37,,,,,,,,,,,,,,,,,,,,,,,9,1
38,18.0,22.0,26.0,38,,,,,,,,,,,,,,,,,,,,,,,9,1
39,18.0,22.0,26.0,39,,,,,,,,,,,,,,,,,,,,,,,9,1
40,18.0,22.0,26.0,40,,,,,,,,,,,,,,,,,,,,,,,9,1
41,18.0,22.0,26.0,41,,,,,,,,,,,,,,,,,,,,,,,9,1
42,18.0,22.0,26.0,42,,,,,,,,,,,,,,,,,,,,,,,9,1
43,18.0,22.0,26.0,43,,,,,,,,,,,,,,,,,,,,,,,9,1
44,18.0,22.0,26.0,44,,,,,,,,,,,,,,,,,,,,,,,9,1
45,18.0,22.0,26.0,45,,,,,,,,,,,,,,,,,,,,,,,9,1
46,18.0,22.0,26.0,46,,,,,,,,,,,,,,,,,,,,,,,9,1
47,18.0,22.0,26.0,47,,,,,,,,,,,,,,,,,,,,,,,9,1
48,18.0,22.0,26.0,48,,,,,,,,,,,,,,,,,,,,,,,9,1
49,18.0,22.0,26.0,49,,,,,,,,,,,,,,,,,,,,,,,9,1
50,18.0,22.0,26.0,50,,,,,,,,,,,,,,,,,,,,,,,9,1
51,18.0,22.0,26.0,51,,,,,,,,,,,,,,,,,,,,,,,9,1
52,18.0,22.0,26.0,52,,,,,,,,,,,,,,,,,,,,,,,9,1
53,18.0,22.0,26.0,53,,,,,,,,,,,,,,,,,,,,,,,9,1
54,18.0,22.0,26.0,54,,,,,,,,,,,,,,,,,,,,,,,9,1
55,18.0,22.0,26.0,55,,,,,,,,,,,,,,,,,,,,,,,9,1
56,18.0,22.0,26.0,56,,,,,,,,,,,,,,,,,,,,,,,9,1
57,18.0,22.0,26.0,57,,,,,,,,,,,,,,,,,,,,,,,9,1
58,18.0,22.0,26.0,58,,,,,,,,,,,,,,,,,,,,,,,9,1
59,18.0,22.0,26.0,59,,,,,,,,,,,,,,,,,,,,,,,9,1
60,18.0,22.0,26.0,60,,,,,,,,,,,,,,,,,,,,,,,9,1
61,18.0,22.0,26.0,61,,,,,,,,,,,,,,,,,,,,,,,9,1
62,18.0,22.0,26.0,62,,,,,,,,,,,,,,,,,,,,,,,9,1
63,18.0,22.0,26.0,63,,,,,,,,,,,,,,,,,,,,,,,9,1
64,18.0,22.0,26.0,64,,,,,,,,,,,,,,,,,,,,,,,9,1
65,18.0,22.0,26.0,65,,,,,,,,,,,,,,,,,,,,,,,9,1
66,18.0,22.0,26.0,66,,,,,,,,,,,,,,,,,,,,,,,9,1
67,18.0,22.0,26.0,67,,,,,,,,,,,,,,,,,,,,,,,9,1
68,18.0,22.0,26.0,68,,,,,,,,,,,,,,,,,,,,,,,9,1
69,18.0,22.0,26.0,69,,,,,,,,,,,,,,,,,,,,,,,9,1
70,18.0,22.0,26.0,70,,,,,,,,,,,,,,,,,,,,,,,9,1
71,18.0,22.0,26.0,71,,,,,,,,,,,,,,,,,,,,,,,9,1
72,18.0,22.0,26.0,72,,,,,,,,,,,,,,,,,,,,,,,9,1
73,18.0,22.0,26.0,73,,,,,,,,,,,,,,,,,,,,,,,9,1
74,18.0,22.0,26.0,74,,,,,,,,,,,,,,,,,,,,,,,9,1
75,18.0,22.0,26.0,75,,,,,,,,,,,,,,,,,,,,,,,9,1
76,18.0,22.0,26.0,76,,,,,,,,,,,,,,,,,,,,,,,9,1
