,lineage,s
0,0,-0.0078679
1,1,-0.11463
2,2,-0.36175
3,3,-0.68885
4,4,-0.1292
5,5,-0.20284
6,6,-0.1152
7,7,-0.36829
8,8,-0.27662
9,9,-0.13216
10,10,-0.054938
11,11,-0.033421
12,12,-0.1155
13,13,-0.18612
14,14,-0.40693
15,15,-0.24066
16,16,-0.094947
17,17,-0.092994
18,18,-0.20602
19,19,-0.082698
20,20,-0.34434
21,21,-0.1095
22,22,-0.27511
23,23,-0.13886
24,24,-0.30839
25,25,-0.37579
26,26,-0.11191
27,27,-0.0042756
28,28,-0.39527
29,29,-0.24657
30,30,-0.68081
31,31,-0.64444
32,32,-0.066178
33,33,-0.5228
34,34,-0.18773
35,35,-0.43443
36,36,-0.3214
37,37,-0.12689
38,38,-0.33815
39,39,-0.021567
40,40,-0.53026
41,41,-1.5603
42,42,-3.8511
43,43,-3.375
44,44,-1.3465
45,45,-2.9282
46,46,-0.55082
47,47,-1.5018
48,48,-1.0665
49,49,-0.26635
50,50,-4.0995
51,51,-5.7599
52,52,-3.814
53,53,-3.8038
54,54,-3.3793
55,55,-3.8997
56,56,-7.0497
57,57,-0.89507
58,58,-0.60282
59,59,-0.82486
60,60,-2.9487
61,61,-1.0814
62,62,-2.9282
63,63,-1.9987
64,64,-2.5873
65,65,-2.9282
66,66,-1.3187
67,67,-1.035
68,68,-3.4659
69,69,-1.7754
70,70,-1.3187
71,71,-3.8511
72,72,-2.9282
73,73,-3.3889
74,74,-3.2285
75,75,-2.9282
76,76,-0.98145
77,77,-1.2429
78,78,-2.9487
79,79,-3.7431
80,80,-5.4119
81,81,-0.21105
82,82,-4.3132
83,83,-1.8123
84,84,-3.3793
85,85,-0.82715
86,86,-1.7016
87,87,-1.8501
88,88,-0.91627
89,89,-2.9282
90,90,-3.7431
91,91,-3.2285
92,92,-0.75927
93,93,-2.4334
94,94,-3.7431
95,95,-1.9358
96,96,-1.0523
97,97,-3.7431
98,98,-1.7669
99,99,-2.9282
100,100,-3.7431
101,101,-0.20251
102,102,-0.18773
103,103,-0.54176
104,104,-3.6408
105,105,-3.2285
106,106,-2.787
107,107,-3.2285
108,108,-5.4119
109,109,-2.2508
110,110,-0.1155
111,111,-1.6949
112,112,-0.13216
113,113,-1.3914
114,114,-1.0028
115,115,-4.3132
116,116,-3.3793
117,117,-5.3529
118,118,-0.042064
119,119,-1.8123
120,120,-2.9282
121,121,-2.5874
122,122,-4.0051
123,123,-2.6445
124,124,-0.38405
125,125,-2.9487
126,126,-3.2285
127,127,-2.9282
128,128,-2.4458
129,129,-4.3772
130,130,-2.9282
131,131,-3.8511
132,132,-1.7442
133,133,-3.3793
134,134,-0.55082
135,135,-1.3695
136,136,-0.46349
137,137,-1.4334
138,138,-3.8997
139,139,-0.70784
140,140,-3.2285
141,141,-0.99758
142,142,-3.2285
143,143,-1.3471
144,144,-0.69637
145,145,-1.7972
146,146,-1.2388
147,147,-0.40392
148,148,-1.7669
149,149,-0.54613
150,150,-2.6244
151,151,-0.93211
152,152,-0.65775
153,153,-1.5459
154,154,-2.5422
155,155,-2.5256
156,156,-0.85517
157,157,-0.10661
158,158,-3.2285
159,159,-3.9993
160,160,-2.9487
161,161,-7.0497
162,162,-3.3793
163,163,-4.9983
164,164,-3.8038
165,165,-2.0314
166,166,-0.22011
167,167,-3.1302
168,168,-4.9983
169,169,-3.6408
170,170,-1.6756
171,171,-0.36321
172,172,-0.32547
173,173,-2.4334
174,174,-0.66829
175,175,-2.9282
176,176,-1.9538
177,177,-3.293
178,178,-1.3393
179,179,-1.1781
180,180,-5.4119
181,181,-0.48744
182,182,-0.053677
183,183,-0.81439
184,184,-5.7599
185,185,-3.814
186,186,-0.61603
187,187,-0.30625
188,188,-3.3793
189,189,-1.3452
190,190,-0.24934
191,191,-0.60511
192,192,-0.17712
193,193,-4.1052
194,194,-1.7235
195,195,-3.8038
196,196,-2.6445
197,197,-2.9487
198,198,-3.293
199,199,-1.4032
200,200,-4.643
201,201,-4.643
202,202,-2.9282
203,203,-2.9487
204,204,-1.5732
205,205,-1.0871
206,206,-0.15369
207,207,-1.0507
208,208,-0.85322
209,209,-1.8757
210,210,-0.75149
211,211,-1.9538
