,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper
153,7.0,11.0,15.0,13,,,
154,7.0,11.0,15.0,14,,,
155,7.0,11.0,15.0,15,,,
156,7.0,11.0,15.0,16,,,
157,7.0,11.0,15.0,17,,,
158,7.0,11.0,15.0,18,,,
159,7.0,11.0,15.0,19,,,
160,8.0,12.0,16.0,0,,,
161,8.0,12.0,16.0,1,,,
162,8.0,12.0,16.0,2,,,
163,8.0,12.0,16.0,3,,,
164,8.0,12.0,16.0,4,,,
165,8.0,12.0,16.0,5,,,
166,8.0,12.0,16.0,6,,,
167,8.0,12.0,16.0,7,,,
168,8.0,12.0,16.0,8,,,
169,8.0,12.0,16.0,9,,,
170,8.0,12.0,16.0,10,,,
171,8.0,12.0,16.0,11,,,
172,8.0,12.0,16.0,12,,,
173,8.0,12.0,16.0,13,,,
174,8.0,12.0,16.0,14,,,
175,8.0,12.0,16.0,15,,,
176,8.0,12.0,16.0,16,,,
177,8.0,12.0,16.0,17,,,
178,8.0,12.0,16.0,18,,,
179,8.0,12.0,16.0,19,,,
180,9.0,13.0,17.0,0,,,
181,9.0,13.0,17.0,1,,,
182,9.0,13.0,17.0,2,,,
183,9.0,13.0,17.0,3,,,
184,9.0,13.0,17.0,4,,,
185,9.0,13.0,17.0,5,,,
186,9.0,13.0,17.0,6,,,
187,9.0,13.0,17.0,7,,,
188,9.0,13.0,17.0,8,,,
189,9.0,13.0,17.0,9,,,
190,9.0,13.0,17.0,10,,,
191,9.0,13.0,17.0,11,,,
192,9.0,13.0,17.0,12,,,
193,9.0,13.0,17.0,13,,,
194,9.0,13.0,17.0,14,,,
195,9.0,13.0,17.0,15,,,
196,9.0,13.0,17.0,16,,,
197,9.0,13.0,17.0,17,,,
198,9.0,13.0,17.0,18,,,
199,9.0,13.0,17.0,19,,,
200,10.0,14.0,18.0,0,,,
201,10.0,14.0,18.0,1,,,
202,10.0,14.0,18.0,2,,,
203,10.0,14.0,18.0,3,,,
204,10.0,14.0,18.0,4,,,
205,10.0,14.0,18.0,5,,,
206,10.0,14.0,18.0,6,,,
207,10.0,14.0,18.0,7,,,
208,10.0,14.0,18.0,8,,,
209,10.0,14.0,18.0,9,,,
210,10.0,14.0,18.0,10,,,
211,10.0,14.0,18.0,11,,,
212,10.0,14.0,18.0,12,,,
213,10.0,14.0,18.0,13,,,
214,10.0,14.0,18.0,14,,,
215,10.0,14.0,18.0,15,,,
216,10.0,14.0,18.0,16,,,
217,10.0,14.0,18.0,17,,,
218,10.0,14.0,18.0,18,,,
219,10.0,14.0,18.0,19,,,
220,11.0,15.0,19.0,0,4382.475148872887,3793.2550736786807,5027.532332417879
221,11.0,15.0,19.0,1,4333.523601544689,3758.973100712899,4968.3893006133485
222,11.0,15.0,19.0,2,4762.799526621291,4109.7236051139735,5443.63782067705
223,11.0,15.0,19.0,3,4418.1467166726325,3803.0366386610854,5055.082267502842
224,11.0,15.0,19.0,4,4476.105769390008,3880.9740314009305,5039.310466648237
225,11.0,15.0,19.0,5,4149.662335509127,3605.7545023817547,4694.707664658143
226,11.0,15.0,19.0,6,5614.3610857146,4894.682879973562,6479.823036255107
227,11.0,15.0,19.0,7,4578.511099915497,3968.5584527389246,5174.3728252812025
228,11.0,15.0,19.0,8,4964.983916909223,4305.230025618289,5584.717777920385
229,11.0,15.0,19.0,9,4147.435625129529,3607.0248908537487,4825.004734502733
230,11.0,15.0,19.0,10,4938.247595873433,4299.5078423064115,5564.80866077546
231,11.0,15.0,19.0,11,4699.960414871627,4074.8315376719697,5279.17289548591
232,11.0,15.0,19.0,12,4166.90100603826,3604.012098575513,4762.812329804243
233,11.0,15.0,19.0,13,4685.579419705034,4077.3290915403813,5307.573310717089
234,11.0,15.0,19.0,14,4533.515360816826,3906.327883014677,5174.61747410986
235,11.0,15.0,19.0,15,5095.142931000037,4405.479694285903,5720.4324249137435
236,11.0,15.0,19.0,16,4798.839983757125,4137.289575797554,5411.106328445456
237,11.0,15.0,19.0,17,4013.4962712195866,3496.050733482106,4555.672891653484
238,11.0,15.0,19.0,18,6111.943824599457,5336.064453537057,7015.262997248852
239,11.0,15.0,19.0,19,4694.341091405585,4080.044162567214,5307.7659496623655
