,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
1379,85.0,89.0,93.0,19,4.1543857377770275,2.4564805454051353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3199.112411227647,3.2668595847030395,1.052945959333233,1.0,1.0,1.0,1.0,1.1520447733900365,1.0,1.0,3607.3455218583945,2512.9538553031953,5371.485093968465,9
1380,86.0,90.0,94.0,0,3.5830272417686175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3562.397065438177,2.866518085114384,1.0,1.0,1.0000000071987651,1.0000000013195152,1.7958818113874733,1.9541795750108453,1.6991028526962295,1.7902289359841408,4472.8924338571815,2861.6483166980115,7531.965438211202,9
1381,86.0,90.0,94.0,1,4.6532607117364915,1.0,1.0,1.0942001801739312,1.0,1.0,1.0,1.0,1.0,3565.8985429456898,3.7632024968760827,1.0,1.0,1.0087250858863028,1.0941409877212709,1.9828579427717354,1.261337573517101,1.0000000566996115,1.0035899366634307,4108.886628876565,2727.664540620481,6192.654058253121,9
1382,86.0,90.0,94.0,2,1.9004577266821603,1.0,1.0,1.0,1.0,1.0,1.0,1.176840347166123,1.0,3366.688115516603,1.2040316759485998,1.0,1.0,1.0,1.0000001101662637,1.0,2.167353040554554,1.0400696993214351,1.000000060177462,4052.7043186142296,2879.8223992312046,6182.554954062192,9
1383,86.0,90.0,94.0,3,3.9769452665900866,1.0,1.0,1.6809093471371344,1.0,1.0,1.0,1.0,1.0,3548.1054303168926,3.2574079592302105,1.0,1.0,1.3522223442587606,1.0,1.2345101712964355,1.998408245208589,1.0,1.0,4614.617463784556,3122.4810674596333,6961.356249834392,9
1384,86.0,90.0,94.0,4,2.672695684191802,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8883819102549917,3835.9758012517127,1.8086543400514459,1.0,1.0,1.00000004074354,1.0000000022974602,1.0,1.9449983806310085,1.3032423987145265,2.021056329294232,4636.660756873587,3247.6064140660874,8303.927256817715,9
1385,86.0,90.0,94.0,5,2.371324831454786,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3368.9022146058783,1.610241647149236,1.0,1.0,1.0,1.0,1.0,1.9735429420649178,1.000000014056908,1.0,4113.549591905432,2819.4917524136063,6171.081163124328,9
1386,86.0,90.0,94.0,6,3.0555804724429922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.222140570240308,3283.524876743535,1.9063310709245667,1.0,1.0,1.0000000178032131,1.5285354057942755,1.0,1.7068342949307502,1.0000000207645263,1.543266444463809,3786.82770293138,2157.0542962236777,5803.415134246079,9
1387,86.0,90.0,94.0,7,2.692769332079312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0002040841528455,3214.469076571407,1.6571386772926642,1.0,1.0,1.0,1.0,1.0000005739797944,1.000000135313754,1.0000001228714979,1.3017137478070935,3704.5102037610764,2288.460068690948,5735.0127298489,9
1388,86.0,90.0,94.0,8,1.6258300246108406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3422.9634388627196,1.0500302672166248,1.0,1.0,1.0894317368988062,1.0,1.2679812632378167,1.5518823720030286,1.5465060115888016,1.2042598873205836,4224.082154073787,3049.4871191833354,6539.909335505043,9
1389,86.0,90.0,94.0,9,4.300118343987617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3075.382625438442,3.204593860547592,1.0,1.0,1.0,1.0000000299173641,1.0000000473664097,2.372642066288133,1.0,1.0,3855.4005839795786,2826.3985729597025,5053.0844780163125,9
1390,86.0,90.0,94.0,10,1.8124464745843922,1.2366042554038805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3453.200943517962,1.0243232006176632,1.007083563226663,1.0,1.0,1.0,1.0,1.8595035698602083,1.0,1.0,3818.521177756639,2703.4279228186706,5730.768993569932,9
1391,86.0,90.0,94.0,11,4.541636366182983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3231.153170761946,2.2792543851388034,1.0,1.0,1.0000000093699735,2.0769805355751294,1.0000000248979075,1.555946337975434,1.0,1.0,4130.482606237986,2911.6283477710263,5591.044074100659,9
1392,86.0,90.0,94.0,12,2.684175382927692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2015297015576034,3240.433363949854,1.833632831855034,1.0,1.0,1.0,1.0,1.0,1.0812089632051591,1.6065296809955245,1.1011841248092467,4107.263023437787,2966.120579728407,6357.709766139179,9
1393,86.0,90.0,94.0,13,3.185492721188023,1.0,1.0,1.0,1.2636373849760243,1.0,1.0,1.0148038124689425,1.0,3415.317304746661,1.8725776077522813,1.0,1.0,1.0,1.9314362052112057,1.0000004583384774,1.0,1.306515576862453,1.0000002383715259,4146.569809557517,2207.973804444041,6516.783315992819,9
1394,86.0,90.0,94.0,14,4.292469994839194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3325.8884729628758,2.072381425262571,1.0,1.0,1.0,1.3247412819911062,1.0,1.0000001220736807,1.000000086852488,1.0000000490807062,3802.771585200835,2703.059522692632,5744.398632014738,9
1395,86.0,90.0,94.0,15,2.6374908497314626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3003.6573137516675,1.0905002814435998,1.0,1.0,1.0,1.0,1.0,1.0,1.5745588607034107,1.299362206779612,3747.422275304338,2685.3942402625175,5448.120744254562,9
1396,86.0,90.0,94.0,16,2.785431156616378,1.0,1.0,1.0017027670418244,1.0,1.0,1.0,1.0,1.0,3112.7695105145353,1.3914269447281968,1.0,1.0,1.000200224367951,1.0,1.0,1.0000000500325195,1.6444202763483355,1.0000000292537923,3627.9031256556887,2606.5525481506124,5457.069314853211,9
1397,86.0,90.0,94.0,17,2.6711295393128736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3574.136003027316,1.2946939366109353,1.0,1.0,1.0,1.0,1.0,1.9082732388873143,1.0000000294632154,1.0337859746053484,4298.537786226622,3041.472100572932,6363.5864539166905,9
