,lineage,42,43,44,45,46,47,48,49,50
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,29.85749954923666,20.80024453089228,7.908577878618127,2.7274667483191366,0.9252463109364388,0.3129612566064108,0.1057802074745836,0.0357563430678441,0.0120590863277522
7,7,28.9292642752633,48.932093891641074,27.73685462135292,34.72130553655976,41.906833075222,18.933848220969843,6.711787668366932,2.287805772284752,0.7744798141499051
8,8,200.74094145002272,166.46730798905028,211.2595626397029,174.1069678302788,159.1173074154648,101.2085857724374,109.41671773861884,146.9920786651771,135.9728645133685
9,9,13.256210429187352,4.638743713202927,1.5776148994459671,0.5337741839386834,0.18043795632874,0.0609699827855042,0.0205435328656991,0.0069164418000683,0.0022996593318791
10,10,828.4114788423404,787.3756537401399,797.8093065530868,784.1402282071081,782.2095249278816,864.8838561328587,895.1783066961177,866.3284056267596,818.2636848365817
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,917.1721990969191,1074.0023512786229,1096.0262869305836,1140.4509372557106,1213.070425317938,1050.9161945398375,995.9909418221084,944.0750230988458,912.4914865236924
13,13,0.0009966418902461,0.0002968623056834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,906.2424520357608,845.576666140875,765.3145913820113,709.8478213540736,831.3100266991136,787.2816034624923,852.0273975668665,933.5963291408794,857.6424279574753
16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,0.0009405428530884,0.0003179169926981,7.099626809293855e-05,0.0,0.0,0.0,0.0,0.0,0.0
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,27,478.9923558953285,443.09383992201634,394.8824075176123,327.3486254901184,320.8821222333597,418.3435421607398,433.2500227474625,447.54127246729695,400.5306953110309
28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,29,293.45692780037126,252.8767329002188,279.68333928389825,374.8774576317527,444.0587323921294,395.8518944644768,345.92304715241727,366.83956169884607,338.67069585126944
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,26.698462789791414,28.33157789139356,12.469026971014992,4.400770410863155,1.498808560874905,0.5070986409352143,0.1714325967393481,0.0578751910785268,0.0195392918180677
32,32,82.25882407983107,78.40407913826918,91.76489186457088,166.78561710898674,201.5429526055559,178.09568652080847,116.29149073318538,79.48184955314508,67.29933431376386
33,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,76.76425525528872,76.02613838157748,86.454942256634,111.09080563195332,157.66575335808156,144.71112422710246,162.39524842187413,147.399713480299,172.13478179832853
35,35,0.1398132747584519,0.0472613549826617,0.0158559339578348,0.0053283212521175,0.0017688377613181,0.0005489455312268,0.0001855514748343,6.271905902860224e-05,0.0
36,36,0.1048614745635517,0.0354450082010515,0.0119000986878753,0.004022406953801,0.0012524901712998,0.0004233596573362,0.0,0.0,0.0
37,37,382.45642651553794,392.7375796232676,461.5072601807285,397.331629299099,424.2469771152006,339.59642295702776,304.5993084927524,316.8088513802854,288.45738754802204
38,38,175.15461995583792,121.5940981786158,97.46897213014944,152.48628038531496,146.5510226008225,132.45573486046297,197.60309491903556,211.4370944097715,254.96532820951228
39,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,68.04309370301553,45.88696087678234,54.98668020029352,53.34522708479078,59.640932032678585,53.3944391751762,41.02905055038747,19.25114629756387,25.843377639388773
41,41,170.62025745558202,169.27024985203224,140.84050031512666,128.75019397170777,106.87601414770032,146.04766033322178,191.10014070217852,172.99555817024003,161.3017374046649
42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,12.520062689433388,26.787555825275533,39.74326944220893,49.22369225644758,43.46075092782745,27.47113365822296,52.63676770768138,54.82504990302484,49.65705548704415
47,47,431.08035048627136,415.200488976512,365.821844423954,350.6757057859388,315.97938715862426,367.0833573167955,437.9936120916416,330.7839895329297,272.46975338531706
48,48,14.821497247438836,25.57885014440594,12.52688609946631,4.489877424974824,1.5332572964168614,0.5191568182431205,0.1754786811729328,0.0591585629615019,0.0199968072238507
49,49,909.8357274819944,935.4911091910336,1001.3082775600884,1181.897186583656,1197.5006278588005,1074.584263515139,1196.136233139987,1162.4728559396913,1294.1057443800732
50,50,21.88559764233695,28.74209971596708,30.96052953912843,53.196831576378045,56.6093452000099,53.9172974921541,38.99461910488742,25.74590710388446,49.1665020117226
51,51,0.2340134878203071,0.0791064128676344,0.0267396117011045,0.0090041440488848,0.0029945868821654,0.001012213720562,0.0002776076044298,9.383535257822862e-05,0.0
52,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,165.57580313223815,143.24739176884674,133.09671158464874,208.49506349202184,211.49747932443972,156.53344776770822,165.15716355825492,174.33784502321672,142.9381282188565
56,56,196.0595943099165,192.91012079278545,253.37117702396705,298.205814661757,257.44265700495095,205.9986793722866,151.02139417362923,110.86460857942264,145.52794028147557
57,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,0.0004793762370992,0.000136105115314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,375.1920122652942,398.0528234724276,384.1729910215908,395.5728937262405,363.4028352785119,412.80515563223366,398.5266017121938,429.9430384384045,347.2785761434084
63,63,229.04946123321977,203.1900070502128,257.69557731701616,226.6022864501204,255.90618883164512,233.16515846149773,154.8876182576535,192.703814788308,161.62517123098704
64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,283.7415405886167,379.2821107305197,369.08401563200255,404.0377846623355,381.4550270346448,316.0258701633103,305.8054249620183,273.63761542130106,174.7583603952156
66,66,203.54556536392911,145.18845315993715,96.23022322400529,89.77575006714943,97.26403687407026,151.43364489705232,155.38511177155775,114.9065291059472,139.83787987638533
67,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,39.03834205174152,35.65492714084611,26.18106503153229,10.173298137175642,3.5211292413688247,1.1952708202742526,0.4043080371232997,0.1366303333431961,0.0461509122463976
69,69,23.577751729129,24.83588511117072,20.81579362190883,9.787594005008124,22.23729486356545,17.290876442681196,6.619949513001466,2.285400705796441,0.7754004462520373
70,70,407.6979858375205,404.6023477313266,375.6080097365973,421.23058309432736,384.4822560387914,320.1949525323004,341.49927164871144,340.0903888727583,381.0794781901173
71,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,94.15184133517968,95.44041717771084,64.4799289242216,83.24913536068877,84.56095120307715,41.692647290092935,24.14731498729528,26.53532158968144,14.095395972987497
73,73,0.1387991942461529,0.0469176119750363,0.0158589513143277,0.0053312114917382,0.0018020270655221,0.0006091110929859,0.0001470692706738,0.0,0.0
74,74,199.4472439379436,176.19199741454594,165.12914668539648,199.68415689804456,229.55571611356757,294.6389530423909,223.26921452594385,177.87003340935985,133.88102286079263
75,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,193.9642511522621,131.23486950105547,120.65766995168627,96.0338625787344,115.3213378839731,106.30392769718944,83.84019523320313,81.5545513298646,61.216473744291775
79,79,109.671700179437,50.05999700146269,33.31472642652653,51.85165167372527,49.79664968184992,41.109695784300655,55.70656056135849,53.78563685514824,61.48802510816768
80,80,67.03657275047131,113.6413230884596,131.98899567287216,181.1786010604396,140.81456963089036,89.04045371046409,107.03507045645244,88.53819055778305,57.901792255306205
81,81,267.3643855172481,297.48719925728875,337.11529028754643,306.75679208257355,201.4859498852521,214.9258469453557,242.6712992060219,191.08504464212712,223.75519730562965
82,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,128.05690184046463,101.1131550857506,109.6519366964426,73.73639914335841,45.4377432902666,33.05213609115441,32.98992984636504,15.386803421891385,5.481641938587396
85,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,0.0002036298301599,6.882980260344471e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,9.982786519816656,22.572604908120287,10.515700355691411,3.7401438791415673,1.2756129263597409,0.4318900896250472,0.1460323666411929,0.0493644471665027,0.0166861653496489
95,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,125.2958719035008,160.89545529263367,179.0273925420423,189.1623884936011,183.2475863470251,143.93871434663694,162.02220587260086,184.06257054587027,153.00922094375147
97,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,249.7808122427116,194.37434782265325,260.3033968452035,291.5601319521224,334.2433076901097,277.5185754826645,292.73482525495,254.6813270314422,265.8765794620557
102,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,0.1579867971041249,0.0533795193212112,0.0177835637591347,0.0059527816069445,0.0019789006411064,0.0005840462543343,0.0001974160249311,6.672944724545979e-05,0.0
105,105,0.003593734161794,0.0012147341006091,0.0003890665821792,8.550460409251736e-05,0.0,0.0,0.0,0.0,0.0
106,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,15.951450737000885,24.224113571919624,10.868784583999064,3.845460733051048,1.3103294626316,0.4435476393064873,0.149943867406369,0.050645715455743,0.0171192346441374
112,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114,75.33886011077784,76.38015946745473,69.40172552912846,120.69967811065077,178.55227135852346,168.41960553389276,178.8544863732268,210.36789985020252,190.42642345879483
115,115,52.489139557307006,49.42029181484582,48.94258740537229,38.46267261893316,26.41455667545711,10.148259564403176,3.5060668247675864,1.1895969510837476,0.4023323462155846
116,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,238.85530448970405,208.5758264400454,184.6136128579236,212.50757329600543,226.92751849616377,199.18344252605743,184.3736258160873,177.74856741915852,156.07233849276452
118,118,75.87227037762594,45.8455223770749,40.72514304158874,63.90450800506636,55.392335328584345,22.30261173182197,7.763747543518937,2.638089941677551,0.8925622992274581
119,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,93.95586803135107,85.6104230642393,89.52392908722008,93.43583668304308,92.36252053951556,66.36612661842446,63.18892366584469,91.29988164583796,53.030666593399154
125,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,73.64143266235192,52.50437806469955,79.25259762090288,39.121566547572456,39.5481831613966,68.0340629753723,33.227868431948714,11.912448495611518,5.713803021293517
132,132,533.5426745790588,446.1517334264572,407.825839363758,383.07210484004446,308.53474762356416,289.9736400009213,289.7287156703326,320.6113391329655,244.78340834655936
133,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,134,38.06266351089189,71.0732616831169,81.28163846525139,143.74338912809358,158.48705000700633,129.02370221791557,135.45894187100313,129.01558228483816,118.43837937133526
135,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,37.063616928362144,33.3311120522265,49.48993402811625,36.1065616627466,27.04514726660355,10.691328662865113,11.065127404483572,23.3313078873628,15.142058161590548
137,137,325.76778340542484,283.001208323916,300.88379592537007,358.1990698466201,471.2597655774021,595.6655401222936,655.1060559832049,592.6828740406963,561.8639675139215
138,138,25.005526656161248,40.89242305334503,34.61433583767519,37.72706243520486,58.210996969070735,39.48708904398991,27.345419480576908,25.308797426602386,10.321671699613963
139,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,140,108.05214015458994,71.651139518169,74.3018924021022,69.95817367464869,60.85444738135849,63.03384704287064,34.06228560781155,33.84722897962688,32.70130941230485
141,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,186.56351335559347,185.675818558777,255.4006722489651,250.31010573568983,219.1055749382256,189.2298518118393,137.76911216360173,115.55521689648243,84.2606284347905
143,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,144,0.8129393697922328,0.2749931793830298,0.0929679711807975,0.031327264651312,0.0105891678953208,0.0035793001691106,0.0012098557221054,0.0004089486720958,0.0001382305213563
145,145,72.88632432779097,106.30521430331488,85.76749400162274,79.1725073592416,137.1945996453043,125.43608642125086,160.2576988120123,172.6646235049521,211.20551547476677
146,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,148,261.33050720239214,297.15012547688514,271.6914689456144,275.0971429284582,284.020408433657,362.3876256425266,305.11089081757154,297.18973438134066,377.3346300734438
149,149,276.43642187484005,271.762851248786,282.1872942746616,292.96997511097885,308.54806754056347,320.35837542559364,346.1108789459398,350.80026679527737,345.14978695469875
150,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,154,324.23560261196684,490.3709671683639,439.1187297840928,418.71119663570136,516.8914606578946,571.9361543383139,479.8810999247178,385.5530263441941,402.67778247112784
155,155,0.0008384069839725,0.0002305034251685,7.79134635130621e-05,0.0,0.0,0.0,0.0,0.0,0.0
156,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,158,125.49731492993531,80.55784154785779,78.38724769905238,79.23535590808187,65.74321393218756,52.49042215368919,31.02030743194704,30.90404491689922,33.345370472045886
159,159,341.25498953165487,387.85797345853103,358.2851373337079,393.4532623908439,432.9327931478316,492.5071144966589,487.8124361414553,456.2870015592326,588.5287469623588
160,160,34.51760212404609,32.52318300150418,54.79387748156386,61.80953467103083,66.05409431038014,84.66217389594662,89.45014914820182,104.75426538769035,174.1924198549748
161,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,163,510.392803750469,501.35922176611984,531.3480289623548,569.9325098862446,577.2653262971759,554.2114098939203,582.2380127523635,525.8028624285369,535.8336148962198
164,164,0.411411734676843,0.1390091092867067,0.0469094759784275,0.0158561868538947,0.0053274160373314,0.0018007440459611,0.000608677404046,0.0002057416955755,0.0
