,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,64,111,41,3,75,426,380,192,226,2,117,112,84,175,269,103,212,128,623,837,1069,387,1106,1498,911,610,1728,1417,554,618,115,561,325,304,333,521,855,335,101
