,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I,I_lower,I_upper,I_method,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
0,19.0,,,,,,,1.0,1.0,7.331351128053615,1.987178893113513,1.0,7.291539203067382,9,pre-B.1.177,260,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20.0,,,,,,,4.818353498929056,1.0,19.23122466997148,5.374390946106864,1.0,17.81779486817055,9,pre-B.1.177,167,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21.0,,,,,,,2.02233228431359,1.0,7.685408952859071,1.7485820255746878,1.0,6.211477657798501,9,pre-B.1.177,113,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22.0,,,,,,,2.948439608474472,1.0,9.340896541632972,2.218931278776532,1.0,7.838702425282517,9,pre-B.1.177,53,53,29-May-20,0.7,0.9,1.0,0.0,17 May 2020 to 30 May 2020,53000.0,25000.0,99000.0,14-day weighted estimates,0.8,2020-05-27,26026.78571428571,55561.22448979592,10912.698412698412,True,,,,,,,False,1.0,0.8,0.7,0.9,26026.78571428571,55561.22448979592,10912.698412698412,True,,,,False,,,,,,,
4,23.0,295.91319419586034,150.0205848558261,576.3542359792091,268.25020480060255,157.03962107863077,718.6897329285473,1.454343931813788,1.0,5.096595395874676,1.0,1.0,4.75676546339386,9,pre-B.1.177,262,262,05-Jun-20,0.7,1.0,1.0,0.0,25 May 2020 to 07 June 2020,33000.0,14000.0,68000.0,14-day weighted estimates,0.85,2020-06-03,15252.100840336136,38163.26530612245,5500.0,True,13714.285714285714,47590.90909090909,-11006.493506493509,30563.368204424623,535618.9537503313,51.77095188724838,False,1.0,0.85,0.7,1.0,15252.100840336136,38163.26530612245,5500.0,True,30563.368204424623,535618.9537503313,51.77095188724838,False,,,,,,,
5,24.0,901.028997591071,376.47887934393214,2481.53535155401,685.6749754528516,216.57898363320348,21276.90423511234,1.0,1.0,8.581333537396931,1.0,1.0,8.903191567255428,9,pre-B.1.177,2005,2005,12-Jun-20,0.8,1.0,1.0,0.0,31 May 2020 to 13 June 2020,33000.0,12000.0,74000.0,14-day weighted estimates,0.9,2020-06-10,14404.761904761905,36339.28571428571,4714.285714285715,True,21857.14285714285,59863.63636363636,-3525.974025974026,39805.636540330415,733311.772862554,381.2260030372275,False,1.0,0.9,0.8,1.0,14404.761904761905,36339.28571428571,4714.285714285715,True,39805.636540330415,733311.772862554,381.2260030372275,False,,,,,,,
6,25.0,1239.0852532097454,377.8929856242041,2280.786019949191,1159.0697642255714,357.6118496343125,6946.289342081054,1.0,1.0,3.911882764680002,1.0,1.0,3.615011074861562,9,pre-B.1.177,1688,1688,19-Jun-20,0.7,0.9,1.0,0.0,08 June 2020 to 21 June 2020,51000.0,21000.0,105000.0,14-day weighted estimates,0.8,2020-06-17,25044.64285714285,58928.57142857143,9166.666666666666,True,26103.8961038961,64129.87012987013,-1831.1688311688308,57243.62634664254,764465.6041584405,1527.5453409564198,False,1.0,0.8,0.7,0.9,25044.64285714285,58928.57142857143,9166.666666666666,True,57243.62634664254,764465.6041584405,1527.5453409564198,False,,,,,,,
7,26.0,1521.0006414924114,576.961597416474,3250.606393989297,1317.7814520615514,356.7002762960632,30429.894152561727,1.4020125124266647,1.0,5.477368956334765,1.0239739672648167,1.0,5.710479009272986,9,pre-B.1.177,873,873,26-Jun-20,0.7,0.9,1.0,0.0,14 June 2020 to 27 June 2020,25000.0,12000.0,44000.0,14-day weighted estimates,0.8,2020-06-24,12276.785714285714,24693.87755102041,5238.095238095238,True,5707.792207792207,26142.85714285714,-14883.116883116882,18522.595580439964,230102.99527974456,82.46391827096828,False,1.0,0.8,0.7,0.9,12276.785714285714,24693.87755102041,5238.095238095238,True,18518.89143335137,230058.3877560148,82.52666382537124,False,,,,,,,
8,27.0,455.7549001117047,201.5343497583448,881.7040364031709,441.75242992729306,207.6788628963918,1350.9048312619543,1.4905659050688262,1.0,7.192434194365193,1.1095387028936434,1.0,7.770248208285009,9,pre-B.1.177,976,977,03-Jul-20,0.8,0.9,1.0,0.0,22 June 2020 to 05 July 2020,14000.0,5000.0,31000.0,14-day weighted estimates,0.8500000000000001,2020-07-01,6470.588235294116,15223.214285714284,2182.5396825396824,True,7336.363636363635,21601.94805194805,-3422.7272727272725,15028.945214449412,271755.4850665916,35.030314667411446,False,0.9989764585465712,0.8500000000000001,0.8,0.9,6463.965320007224,15207.632694838429,2180.3057627008498,True,15013.12989078327,271526.9648999893,34.71541136450932,False,,,,,,,
9,28.0,336.41885484172855,200.9000827297637,599.3659404751583,297.365974918155,199.2567052171611,431.3783596009216,4.200226055581842,1.0,9.283999033962155,3.8320258865977785,1.0,9.09270273936494,9,pre-B.1.177,149,149,10-Jul-20,0.8,1.0,1.0,0.0,06 July 2020 to 12 July 2020,23600.0,15300.0,33900.0,modelled weekly estimates,0.9,2020-07-08,10301.5873015873,16647.321428571428,6010.714285714286,True,15808.441558441556,25969.48051948052,5666.883116883117,28724.90907774438,115044.06417599504,5094.513341769302,False,1.0,0.9,0.8,1.0,10301.5873015873,16647.321428571428,6010.714285714286,True,28717.11205862336,115001.6741278023,5095.084912244397,False,,,,,,,
