,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
7,17-Jul-20,29,0.7,1.0,1,0,Interpolated,Interpolated,2305.6245785,288.2030723,9510.701388,0.85,2020-07-15,1065.6248051890757,5337.638534081632,113.22263554642856,False,1751.6758162402596,8028.514158974024,-954.4387459285716,3299.905183084172,599043.4699165152,18.334871657343943,False,0.0,0.85,0.7,1.0,0.0,0.0,0.0,False,,,,False
8,24-Jul-20,30,0.7,1.0,1,0,16 July 2020 to 29 July 2020,Non-overlapping 14-day weighted estimates,3458.436868,576.4061446,13257.34133,0.85,2020-07-22,1598.4372078991596,7440.344623979592,226.44527109285715,False,2009.935712211039,9392.800131812335,-1600.0884862714283,3996.244667685148,499516.5127488702,31.05336296378797,False,0.0,0.85,0.7,1.0,0.0,0.0,0.0,False,,,,False
9,31-Jul-20,31,0.7,0.9,1,0,Interpolated,Interpolated,2882.030723,576.4061446,10375.310605,0.8,2020-07-29,1415.282944330357,5822.878400765306,251.60585676984124,False,1077.9543482142856,6523.869546942856,-2526.4555048285715,2671.97972270962,278060.4898016272,159.9860980304479,False,0.0,0.8,0.7,0.9,0.0,0.0,0.0,False,inf,inf,,False
10,21-Aug-20,34,0.8,1.0,1,0,13 August 2020 to 26 August 2020,Non-overlapping 14-day weighted estimates,1152.812289,0.0,4611.249157,0.9,2020-08-19,503.2117134523809,2264.452711026785,0.0,False,1246.3847151623374,6035.4214815662335,-1852.7340366428568,2179.542630012382,inf,292.44366974189404,False,0.5,0.9,0.8,1.0,251.60585672619047,1132.2263555133927,0.0,False,964.748189577633,inf,0.8677834653488752,False
11,11-Sep-20,37,0.9,1.1,1,0,Interpolated,Interpolated,5764.061446,1729.218434,17003.981265000002,1.0,2020-09-09,2264.4527109285714,7422.372774404763,617.578012142857,False,4502.705142642857,12609.820136103895,696.1788501233765,7184.11753900063,221376.03613261,123.55408952585688,False,0.1925925925925926,1.0,0.9,1.1,436.11681840105825,1429.4940158112877,118.94095048677246,False,1356.311601360331,44402.71555067485,3.910408252992871,False
12,18-Sep-20,38,1.2,1.5,1,0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,7493.27988,3458.436868,15562.9659,1.35,2020-09-16,2180.584092063492,5095.018598214286,905.7810844761904,True,6495.797817837663,13676.54579183766,651.2640856753238,7599.886315318823,80930.79126127667,284.2310184575492,False,0.2276785714285714,1.35,1.2,1.5,496.47227096088426,1160.026555843431,206.22694334056118,True,1854.3788845156878,19085.3966942745,90.91372751425597,False
13,25-Sep-20,39,1.2,1.5,1,0,Interpolated,Interpolated,17003.981265000002,11239.919819,25938.276505,1.35,2020-09-23,4948.248516269841,8491.697665327383,2943.7885240238093,True,13350.913751103895,21188.54015848052,6871.958970818181,15769.130159936663,64688.39924640026,3312.297107631962,False,0.2465753424657534,1.35,1.2,1.5,1220.1160725048924,2093.843259943738,725.8656634579256,True,5094.714764384789,20196.481146241196,1143.3538020156711,False
14,02-Oct-20,40,1.2,1.5,1,0,24 September 2020 to 07 October 2020,Non-overlapping 14-day weighted estimates,26514.68265,19021.40277,36313.58711,1.35,2020-09-30,7715.91294047619,11888.376732440478,4981.795963571429,True,20823.60769665584,29812.1749471948,12845.622650746753,24594.59015901915,75257.92609728305,7324.151128726175,True,0.4318181818181818,1.35,1.2,1.5,3331.8714970238093,5133.617225372024,2151.2300751785715,True,11771.393332178972,34690.73536010578,3815.7154058684005,True
15,09-Oct-20,41,1.2,1.5,1,0,Interpolated,Interpolated,46688.897710000005,37466.3994,57928.817535,1.35,2020-10-07,13586.716264814817,18964.791454910715,9812.628414285717,True,34112.76364675325,44566.67509227272,24635.748337402594,40693.76243131332,91795.4137292538,17436.606681717265,True,0.4722222222222222,1.35,1.2,1.5,6415.949347273663,8955.59596481895,4633.741195634921,True,21444.07709352568,47848.18636284722,9348.045643330723,True
16,16-Oct-20,42,1.2,1.5,1,0,08 October 2020 to 21 October 2020,Non-overlapping 14-day weighted estimates,66863.11277,55911.39603,79544.04796,1.35,2020-10-14,19457.51958915344,26041.206177380955,14643.460865,True,42584.81110363636,54504.06674113636,31608.7655287013,52134.99664384391,105214.23267488302,25220.397536769644,True,0.6063218390804598,1.35,1.2,1.5,11797.519061239587,15789.35202134305,8878.65012216954,True,33411.93389400478,66486.68139161663,16527.983731469645,True
17,23-Oct-20,43,1.1,1.3,1,0,Interpolated,Interpolated,75221.00187000001,63116.472835,89342.952415,1.2000000000000002,2020-10-21,24625.92323125,31908.19729107143,19073.659373214286,True,44611.589855064936,57996.18967909091,32450.917360909087,62497.72357617573,122838.78755038344,30892.31495713025,True,0.6387665198237885,1.2000000000000002,1.1,1.3,15730.215279873346,20381.888137468533,12183.615018132474,True,42391.26661164959,82867.1022897764,21130.18695675968,True
18,30-Oct-20,44,1.2,1.4,1,0,22 October 2020 to 04 November 2020,Non-overlapping 14-day weighted estimates,83578.89097,70321.54964,99141.85687,1.2999999999999998,2020-10-28,25257.35716126374,32457.15552291667,19733.087909183672,True,49417.46965470778,63835.10906025974,36195.68585133116,63954.956990456994,123656.63731117063,32113.625777452267,True,0.7430340557275542,1.3026369168356995,1.2024340770791073,1.4028397565922919,18729.086495034695,24067.952529245693,14632.675457907351,True,48664.32299073896,93134.11417122076,24821.347344923917,True
19,06-Nov-20,45,1.1,1.3,1,0,Interpolated,Interpolated,93089.592335,79255.84487999999,108652.558235,1.2000000000000002,2020-11-04,30475.759395386896,38804.48508392857,23950.94213406593,True,54852.15614435064,69516.82675597403,40883.66439720778,76972.17768780871,143046.36637806834,40144.2226432577,True,0.7231182795698925,1.195449579021788,1.0958287807699725,1.2950703772736036,22121.463679575074,28167.042410719252,17385.28939136276,True,56312.35711495071,104795.11872352904,29304.28327097679,True
20,13-Nov-20,46,1.1,1.3,1,0,05 November 2020 to 18 November 2020,Non-overlapping 14-day weighted estimates,102600.2937,88190.14012,118163.2596,1.2000000000000002,2020-11-11,33589.381866071424,42201.16414285714,26650.86651978022,True,55222.70294863636,69825.61575525974,41186.83906237013,79477.71531583086,143115.3560819539,42807.79438688976,True,0.758485639686684,1.1956482500617858,1.0960108958899701,1.2952856042336012,25569.791573785304,32125.478688666517,20287.87266430442,True,61073.62354860492,109613.33679054464,33055.79825712542,True
21,20-Nov-20,47,1.0,1.2,1,0,Interpolated,Interpolated,89631.15546499999,76373.81416,104329.51215,1.1,2020-11-18,32011.126951785707,40986.59405892857,25003.332016666667,True,43331.51906201299,57401.06903727272,30171.493072987007,70443.74854790258,134547.1392291473,35621.71980898792,True,0.7511210762331838,1.094423002749416,0.994930002499469,1.1939160029993627,24166.757527723854,30942.774429693087,18876.232103357754,True,53238.29315532632,101768.56956353091,26889.099991176943,True
22,27-Nov-20,48,0.9,1.1,1,0,19 November 2020 to 02 December 2020,Non-overlapping 14-day weighted estimates,76662.01723,64557.4882,90495.7647,1.0,2020-11-25,30117.221054642858,39502.11951190476,23056.245785714284,True,37677.87308503247,50967.02903142857,25455.442796103896,66996.1665530695,135310.02714394356,31975.95479179591,True,0.7642276422764228,1.0098034481093352,0.9088231032984017,1.1107837929202689,22792.963206455082,29895.53235931892,17449.158437270784,True,51553.11488082738,103894.43721394082,24689.186755763614,True
23,04-Dec-20,49,0.8,0.9,1,0,Interpolated,Interpolated,70321.54964,58793.42675,83867.09404,0.8500000000000001,2020-12-02,32501.55655630252,41184.73368035714,25663.797390873013,True,35639.86564168831,48463.03091103896,24040.627706493506,73794.29640619925,146262.6165344099,35712.34657222293,True,0.7959183673469388,0.8252366625082558,0.7766933294195347,0.8737799955969766,26644.838935191572,33763.32433804872,21039.230744553406,True,58587.404927127776,115821.56162415298,28457.929134584967,True
24,11-Dec-20,50,0.8,1.0,1,0,03 December 2020 to 16 December 2020,Non-overlapping 14-day weighted estimates,63981.08205,53029.3653,77238.42338,0.9,2020-12-09,27928.250101190475,37929.58290982142,20832.964939285717,True,37307.32627441559,50282.07887493506,25590.1870800974,69993.87810957701,150587.2723578596,31438.54130291455,True,0.6600985221674877,0.8103844509657078,0.7203417341917403,0.9004271677396752,20474.056402360486,27805.98200746526,15272.539369631064,True,46022.957176817545,101446.21556803885,19885.49000858846,True
25,18-Dec-20,51,1.0,1.2,1,0,Interpolated,Interpolated,81561.46946,68304.12813499999,96836.23229,1.1,2020-12-16,29129.09623571428,38042.8055425,22361.470520386905,True,55048.65825448052,69617.88500298701,41518.08544704545,81718.93944235168,159359.06967191803,40775.18221426245,True,0.5746753246753247,0.9012402065839863,0.8193092787127148,0.9831711344552577,20431.567506545438,26683.771555774463,15684.657388125364,True,42395.92796511538,84753.36851855132,20383.082030187838,True
26,15-Jan-21,55,1.2,1.4,1,0,Interpolated,Interpolated,113263.8074,97124.435365,131420.601,1.2999999999999998,2021-01-13,34228.073664835174,43024.60151785715,27254.30584221939,True,68511.85890467532,85208.92265288961,52976.964744545454,88160.01096041272,158183.13927425825,48107.48528813932,True,0.1701807228915662,0.8405677663619368,0.7759087074110186,0.9052268253128549,9008.727336859436,11323.947343540058,7173.252356885509,True,12169.438758381408,26198.82441562749,4904.124433834215,True
27,22-Jan-21,56,0.9,1.2,1,0,14 January 2021 to 27 January 2021,Non-overlapping 14-day weighted estimates,112975.6043,96836.23229,131420.601,1.05,2021-01-20,42269.78392176871,57366.135357142855,31702.337952083337,True,58102.8622201948,75142.4010528896,42320.93685477272,96928.47484586516,192335.44839375373,48239.31471138295,True,0.1097804391217564,0.6506299619052562,0.5576828244902197,0.7435770993202928,7488.765500855797,10163.324614459476,5616.574127547586,True,12765.975535085408,26790.992890404417,5833.0064963922605,True
28,29-Jan-21,57,0.8,1.1,1,0,Interpolated,Interpolated,96836.23227,82426.078675,113263.80743,0.95,2021-01-27,40045.0584575188,55620.61972008928,29437.885241071424,True,45902.88932922078,61409.71179175324,31372.963004415586,87008.00377143502,181775.0061660856,40834.57328829719,True,0.0557122708039492,0.5903612833193432,0.49714634384786804,0.6835762227908185,3590.091599793357,4986.460934854774,2639.1447182369684,True,4990.868957688417,11788.1955437007,1909.900155197181,True
29,05-Feb-21,58,0.7,0.9,1,0,28 January 2021 to 10 February 2021,Non-overlapping 14-day weighted estimates,80696.86024,68015.92506,95107.01386,0.8,2021-02-03,39627.92243928571,53376.385329591845,29689.491097619044,True,37099.59549146104,50826.670394902605,24192.21503084415,84440.82668827818,175726.4349516132,39022.77253788937,True,0.0393811533052039,0.49495301079011483,0.43308388444135043,0.5568221371388792,2522.4104183255668,3397.5324003977544,1889.8059007296347,True,4317.889229937515,9469.313943783913,1831.4527397106983,True
