,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
20,39.0,672.8649847936451,209.30767456422345,1476.2867118620247,1679.7969011941543,497.99808574711983,11237.192938164868,1.0,1.0,3.756988789138357,1.0,1.0,6.098369199677992,9,pre-B.1.177,465,1069,25-Sep-20,1.2,1.5,1.0,0.0,Interpolated,Interpolated,75085.640595,62689.426335,89252.742595,1.35,2020-09-23,21850.318691666667,29219.6478733631,16418.659278214283,True,54313.35727733766,67808.90184487012,41935.54185136363,64894.190736995486,128824.77497541122,32121.25480407502,True,0.4349859681945743,1.35,1.2,1.5,9504.582031454627,12710.13682049938,7141.886402590871,True,26816.324865452785,53956.78369303905,13001.022172038696,True,,,,,,,
21,40.0,663.3054633212587,190.48791827839955,1511.4205420441576,2829.453626720491,450.5081857128746,17085.519498850674,1.814525553560311,1.0,5.7408577584292,1.8976487315224664,1.0,5.948319258374937,9,pre-B.1.177,159,387,02-Oct-20,1.2,1.5,1.0,0.0,24 September 2020 to 07 October 2020,Non-overlapping 14-day weighted estimates,106253.265,92794.51808,121837.0772,1.35,2020-09-30,30920.2623015873,39887.13836904762,24303.32616380952,True,71617.46043613636,86341.12715970779,58052.92022892857,86649.79784148179,152897.92921554824,48914.74586984368,True,0.4108527131782946,1.35,1.2,1.5,12703.67365879168,16387.739019841272,9985.087493658177,True,32453.710599779784,57656.06571231063,18158.074783938675,True,,,,,,,
22,41.0,788.0262956444853,399.25658397434535,1451.2202078280586,985.59356622477,525.6901770523409,2941.5539247428164,4.809901003369891,1.0,9.887341305280192,4.173634705416073,1.0,9.60908745361681,9,pre-B.1.177,346,1106,09-Oct-20,1.2,1.4,1.0,0.0,Interpolated,Interpolated,138837.5996,123962.14249,155483.94445,1.2999999999999998,2020-10-07,41956.41746153846,50902.4818139881,34785.29508647959,True,89694.3146103896,105452.91573545456,74749.86187831168,113678.39147179258,179818.84284375492,71263.84922703815,True,0.3128390596745027,1.2999999999999998,1.2,1.4,13125.60618597858,15924.284545786511,10882.199005354374,True,31821.31277877851,51202.38707739971,19492.17373009737,True,,,,,,,
23,42.0,674.3813653038653,352.768850451305,1290.6418462695576,816.8887281914467,400.0744596459313,3571.9161012140185,1.0,1.0,2.3742037427268743,1.0,1.0,2.490089378875583,9,pre-B.1.177,402,1498,16-Oct-20,1.3,1.5,1.0,0.0,08 October 2020 to 21 October 2020,Non-overlapping 14-day weighted estimates,171421.9342,155129.7669,189130.8117,1.4,2020-10-14,48103.093780612246,57154.91562362637,40629.224664285706,True,102306.71515714284,119024.35549012986,86210.03546590908,122653.72324924986,184984.3851786585,80656.43341509147,True,0.2683578104138852,1.4,1.3,1.5,12908.84092109888,15337.968011146728,10903.169769721531,True,31462.064447202047,47822.52311557813,20478.882304817464,True,,,,,,,
24,43.0,449.56024898780527,118.83847504589444,976.0195843630338,756.8986502590435,266.85324446711127,8946.702687008408,1.852253183600748,1.0,4.23225478594733,1.0091074881532345,1.0,4.217921598766184,9,pre-B.1.177,237,911,23-Oct-20,1.1,1.3,1.0,0.0,Interpolated,Interpolated,179922.1954,162921.673,197985.25045,1.2000000000000002,2020-10-21,58903.0996845238,70709.01801785713,49234.571510989015,True,101782.3483948052,119072.65242662336,84919.81724805196,144396.4014556973,220363.81024931069,93757.60130043796,True,0.2601536772777168,1.2000000000000002,1.1,1.3,15323.857985984789,18395.21105404187,12808.554827776506,True,35277.34642626378,54000.003591857705,22818.737373898213,True,,,,,,,
25,44.0,1392.891644320384,365.1765724061844,3007.285323025215,3380.8204811542564,502.9591109378004,26026.669748645287,1.0,1.0,2.315330089814604,1.0,1.0,1.817429459806289,9,pre-B.1.177,129,610,30-Oct-20,1.0,1.2,1.0,0.0,22 October 2020 to 04 November 2020,Non-overlapping 14-day weighted estimates,188422.4566,170713.5791,206839.6892,1.1,2020-10-28,67293.73449999999,81258.44932857143,55888.37411011905,True,102092.8287146104,119652.21569025972,84919.81724805194,159973.2183208613,245307.83619501573,103431.94975013495,True,0.2114754098360655,1.1,1.0,1.2,14230.970082786878,17184.163874402802,11819.01682000878,True,31892.074806304357,49501.05411150692,20297.9547731334,True,,,,,,,
26,45.0,,,,,,,1.0,1.0,2.6251858737072866,1.0,1.0,2.0887345903018937,9,pre-B.1.177,370,1730,06-Nov-20,1.0,1.1,1.0,0.0,Interpolated,Interpolated,176734.59745,159734.07504999998,194797.6525,1.05,2020-11-04,66125.18952210883,76527.64919642857,57047.88394642856,True,91391.60702532469,108833.70143571428,74680.86625714284,152195.67133563166,226741.134266827,100746.23590686388,True,0.2138728323699422,1.0500278270581944,1.000026501960185,1.1000291521562036,14142.00678319194,16366.751337261214,12200.66917868563,True,31919.41885450701,47545.46851809223,21132.482392226342,True,,,,,,,
27,46.0,1801.1377778077992,512.522970942126,4306.289647377691,1195.100766032088,661.5572188082045,26133.500063398293,1.1858548732053271,1.0,5.7933714103041245,1.0,1.0,5.039319710110576,9,pre-B.1.177,278,1423,13-Nov-20,0.9,1.1,1.0,0.0,05 November 2020 to 18 November 2020,Non-overlapping 14-day weighted estimates,165046.7383,148754.571,182755.6158,1.0,2020-11-11,64839.79004642857,79774.27673809523,53126.63249999999,True,82663.66025746752,99457.1957775974,66718.77094480518,146054.91754307805,233708.91302151087,90731.55052606387,True,0.1953619114546732,1.0028689898052483,0.9025820908247234,1.103155888785773,12630.987148430908,15540.27031137422,10349.228642881351,True,27202.58959416232,43810.08530446099,16757.349778744912,True,,,,,,,
28,47.0,,,,,,,3.036978571834096,1.0,9.20630683994385,1.7504213851808763,1.0,8.776151371414311,9,pre-B.1.177,102,557,20-Nov-20,0.8,1.0,1.0,0.0,Interpolated,Interpolated,142379.3751,127503.918,158671.5424,0.9,2020-11-18,62149.72722619047,77919.06099999999,50090.82492857144,True,67946.8930987013,83512.30646493507,53154.23075064935,135622.60888942215,225897.5341984935,80807.32336837765,True,0.1831238779174147,0.8963150602969246,0.7967244980417109,0.9959056225521384,11427.889152793388,14327.502818427529,9210.537526131986,True,23504.19521706916,39380.80196010198,13893.617559502962,True,,,,,,,
29,48.0,1031.8872071564886,254.8353973718715,1422.8656013216864,,,,1.0,1.0,4.980987389506609,1.0,1.0,2.7675950230190045,9,pre-B.1.177,97,621,27-Nov-20,0.7,0.9,1.0,0.0,19 November 2020 to 02 December 2020,Non-overlapping 14-day weighted estimates,119712.0119,106253.265,134587.469,0.8,2020-11-25,58787.14870089285,75533.78362244899,46380.39345238095,True,55810.56237457792,69996.06320727273,42397.81255899351,126378.41280095,221072.98478264493,71667.72883068006,True,0.1561996779388083,0.7906634036766276,0.691830478217049,0.889496329136206,9290.966195041805,11937.674232006377,7330.150844214439,True,19106.71540418212,33885.93224339813,10632.825033673798,True,,,,,,,
