,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,variant,sequences_analyzed,sequences_total,Rt_date,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,frac_assigned
0,22.0,,,,,,,1.0,1.0,1.9736798452312856,1.0,1.0,1.0,9,pre-B.1.177,42,42,29-May-20,,,1.0,0.0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,18768.21479,5630.464438,45043.7155,,2020-05-27,,,,False,,,,,,,False,1.0,,,,,,,False,,,,False,,,,,,,
1,23.0,,,,,,,1.0,1.0,1.4154997935737974,1.0,1.0,2.954002608291195,9,pre-B.1.177,71,71,05-Jun-20,,,1.0,0.0,Interpolated,Interpolated,12668.544984,3753.6429585,31436.759775,,2020-06-03,,,,False,4295.971243246753,19761.46771620779,-7202.607105058441,,,,False,1.0,,,,,,,False,,,,False,,,,,,,
2,24.0,,,,,,,1.0,1.0,18.49244324074829,1.0,1.0,1.732189986184396,9,pre-B.1.177,581,581,12-Jun-20,0.8,1.0,1.0,0.0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,6568.875178,1876.821479,17829.80405,0.9,2020-06-10,2867.366149126984,8755.70734598214,737.3227238928571,True,1722.9586799707797,11685.95581577922,-5511.639700879869,4568.801798985772,227944.77335139576,291.10755499944025,False,1.0,0.9,0.8,1.0,2867.366149126984,8755.70734598214,737.3227238928571,True,4568.801798985772,227944.77335139576,291.10755499944025,False,,,,,,,
3,25.0,,,,,,,1.0,1.0,13.080916804739244,1.0,1.0,10.478442024204028,9,pre-B.1.177,451,451,19-Jun-20,0.8,1.0,1.0,0.0,Interpolated,Interpolated,3988.2456435,938.4107395,12903.1476685,0.9,2020-06-17,1740.9008761309524,6336.367158638392,368.6613619464285,False,1069.422628422078,8345.15264816883,-3308.8118930649343,2799.696322214172,236265.3801249333,171.073478417121,False,1.0,0.9,0.8,1.0,1740.9008761309524,6336.367158638392,368.6613619464285,False,2799.696322214172,236265.3801249333,171.073478417121,False,,,,,,,
4,26.0,,,,,,,1.0,1.0,10.225408376498894,1.0,1.0,8.936900759650227,9,pre-B.1.177,273,273,26-Jun-20,0.7,0.9,1.0,0.0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,1407.616109,0.0,7976.491287,0.8,2020-06-24,691.2400535267857,4476.602252908164,0.0,False,466.158581444805,6411.965590129869,-2714.688210771428,1224.8846030587392,inf,403.2925162540212,False,1.0,0.8,0.7,0.9,691.2400535267857,4476.602252908164,0.0,False,1224.8846030587397,inf,403.2925162540212,False,,,,,,,
5,27.0,,,,,,,1.0,1.0,14.367347824148728,1.0,1.0,9.572348237029502,9,pre-B.1.177,255,255,03-Jul-20,0.8,1.0,1.0,0.0,Interpolated,Interpolated,2580.629534,234.6026849,10557.1208235,0.9,2020-07-01,1126.4652727777775,5184.300404397321,92.16534049642858,False,1910.3361487402592,8573.661760090907,-1480.7390242597403,3411.504543726181,766085.3563712613,57.785687379632535,False,1.0,0.9,0.8,1.0,1126.4652727777775,5184.300404397321,92.16534049642858,False,3411.504543726183,766085.3563712613,57.785687379632535,False,,,,,,,
6,28.0,,,,,,,1.5410122483293434,1.0,6.171810608306041,1.0,1.0,5.40043694278912,9,pre-B.1.177,41,41,10-Jul-20,0.7,0.9,1.0,0.0,02 July 2020 to 15 July 2020,Non-overlapping 14-day weighted estimates,3753.642959,469.2053698,13137.75036,0.8,2020-07-08,1843.306810223214,7373.227242857143,204.81186776984129,False,2198.257625785714,9729.917851287662,-1905.765966940909,4634.5016711006765,625485.7282548816,68.56761434709351,False,1.0,0.8,0.7,0.9,1843.306810223214,7373.227242857143,204.81186776984129,False,4634.5016711006765,625485.7282548816,68.56761434709351,False,,,,,,,
7,29.0,475.26162650122336,130.93396756345433,1155.4845448167346,496.9708702232882,260.98453771403285,8941.426977410365,1.0,1.0,6.670784388503338,1.0,1.0,3.3295500682452364,9,pre-B.1.177,93,93,17-Jul-20,0.7,1.0,1.0,0.0,Interpolated,Interpolated,3284.437589,469.2053698,12199.33962,0.85,2020-07-15,1518.017373067227,6846.568154081632,184.3306809928572,False,1590.4233964675327,8966.69742802987,-2458.7580104766234,3344.0994583476645,535861.7326371631,127.47035661221128,False,1.0,0.85,0.7,1.0,1518.017373067227,6846.568154081633,184.3306809928572,False,3308.9724203652936,530675.0696555526,128.0191878343897,False,,,,,,,
8,30.0,358.8516645082059,113.79173994141318,1118.32993481473,1738.300161056124,79.67382221946971,3142.1113542894377,1.968191048272738,1.0,9.437400304208362,1.0,1.0,6.814898280532736,9,pre-B.1.177,45,47,24-Jul-20,0.7,1.0,1.0,0.0,16 July 2020 to 29 July 2020,Non-overlapping 14-day weighted estimates,2815.232219,469.2053698,11260.92888,0.85,2020-07-22,1301.157748277311,6319.909065306122,184.3306809928572,False,1183.6771829493505,7399.124941786363,-2307.94199866948,2625.33442877499,416485.0571423122,117.9504204636692,False,0.9574468085106383,0.85,0.7,1.0,1245.789333457,6050.976764654798,176.48682222720367,False,2493.9944412632594,401153.205219981,127.36208012401238,False,,,,,,,
9,31.0,177.97718974269426,53.82720481203351,542.8955362503526,387.8742757791037,66.11325603731976,4160.353675097339,1.0,1.0,4.646549572490724,1.0,1.0,1.8233452291148928,9,pre-B.1.177,24,24,31-Jul-20,0.7,0.9,1.0,0.0,Interpolated,Interpolated,1642.2187944,234.6026849,6334.2724945,0.8,2020-07-29,806.446729392857,3554.9488489540818,102.40593388492064,False,594.1236824649351,5063.761849387013,-2285.0910877168826,1495.5132816490277,310787.51088572433,289.7410546965441,False,1.0,0.8,0.7,0.9,806.446729392857,3554.9488489540818,102.40593388492064,False,1476.624945083858,298827.23837544874,261.4486636428733,False,,,,,,,
