,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
0,29-May-20,22,,,1,0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,0.0,0.0,8855.773225,,2020-05-27,,,,False,,,,,,,False
1,05-Jun-20,23,,,1,0,Interpolated,Interpolated,1328.365984,0.0,9741.3505475,,2020-06-03,,,,False,1293.8629714285714,7590.662764285715,-1897.6656910714287,,,,False
2,12-Jun-20,24,0.8,1.0,1,0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,2656.731968,0.0,10626.92787,0.9,2020-06-10,1159.684589206349,5218.580650446428,0.0,False,1733.7763817142857,7883.938371087661,-2087.432260178571,3167.189271548429,inf,161.08373946531063,False
3,19-Jun-20,25,0.7,0.9,1,0,Interpolated,Interpolated,2656.731968,0.0,9741.3505475,0.8,2020-06-17,1304.6451628571426,5467.084490943877,0.0,False,1449.1265279999998,7211.129626071428,-2277.198829285714,3116.0533228571417,inf,232.36722747813403,False
4,26-Jun-20,26,0.7,0.9,1,0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,2656.731968,0.0,8855.773225,0.8,2020-06-24,1304.6451628571426,4970.076809948981,0.0,False,1449.1265279999998,6822.97073476948,-1992.5489756249997,3116.0533228571417,inf,195.696774391741,False
5,03-Jul-20,27,0.7,1.0,1,0,Interpolated,Interpolated,2656.731968,442.78866125,9298.5618865,0.85,2020-07-01,1227.9013297478991,5218.580650586735,173.9526883482143,False,1544.0098124999997,7538.908246110388,-1561.2613185633115,3069.869818530483,359330.26640658214,52.85299607424448,False
6,31-Jul-20,31,0.8,1.0,1,0,Interpolated,Interpolated,3099.520629,442.78866125,11512.505195,0.9,2020-07-29,1352.9653539285714,5653.462372544642,173.9526883482143,False,1690.6476158181817,8461.86383291396,-1751.0278877240257,3231.462704837662,442480.68132576183,58.4035368858708,False
7,07-Aug-20,32,0.8,1.0,1,0,30 July 2020 to 12 August 2020,Non-overlapping 14-day weighted estimates,2656.731968,0.0,10626.92787,0.9,2020-08-05,1159.684589206349,5218.580650446428,0.0,False,1638.8930971071427,8358.354793855518,-2372.0821143749995,3031.7761938854464,inf,208.01102729606066,False
8,14-Aug-20,33,0.8,0.9,1,0,Interpolated,Interpolated,3985.0979515,442.78866125,12398.082515,0.8500000000000001,2020-08-12,1841.8519943907559,6088.344092187499,193.28076483134922,False,2742.989498941558,9798.855568441559,-1845.9111722240257,5250.008214518793,546429.7257785994,69.31525199985063,False
9,21-Aug-20,34,0.8,1.0,1,0,13 August 2020 to 26 August 2020,Non-overlapping 14-day weighted estimates,5313.463935,885.5773225,14169.23716,0.9,2020-08-19,2319.3691779761903,6958.107533928571,347.9053766964286,True,4036.852470097402,11239.356343563311,-1129.973661448052,7182.357556069714,357997.0357074666,1.656065753031797,False
