,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
17,27-Nov-20,48,1.0,1.1,1,0,19 November 2020 to 02 December 2020,Non-overlapping 14-day weighted estimates,87190.14622,76727.32868,98524.86523,1.05,2020-11-25,32622.16355170068,38706.19705464286,27402.61738571429,True,53630.43247811687,65044.41525214285,42598.61429444805,85096.20611809552,136989.7465642509,51613.804123391084,True,0.3296703296703296,1.458147044804576,1.388711471242453,1.5275826183666985,7744.272035879907,9188.578770702077,6505.188510681735,True,24544.994735963053,38363.01232332624,15498.99548011933,True
18,04-Dec-20,49,0.9,1.1,1,0,Interpolated,Interpolated,122502.15546,109859.58424,136016.628115,1.0,2020-12-02,48125.84678785714,59372.33766924603,39235.5658,True,81953.07576935065,94929.68713129868,69452.04699331168,134056.34596529396,211922.10942513525,84424.18700971136,True,0.4046997389033943,1.393808558269954,1.2544277024429586,1.5331894140969495,13973.595953324828,17239.074484269502,11392.255515130479,True,49272.7809760879,76977.58572919318,31499.334292279516,True
19,11-Dec-20,50,0.9,1.1,1,0,03 December 2020 to 16 December 2020,Non-overlapping 14-day weighted estimates,157814.1647,142991.8398,173508.391,1.0,2020-12-09,61998.42184642857,75737.78972222222,51068.51421428571,True,112050.66130987012,127617.49942616884,96959.40577860388,181293.08449900424,276807.01035318675,118513.41252737508,True,0.6693613581244947,1.1592977168960337,1.0433679452064302,1.275227488585637,35796.971945923746,43729.87978062283,29486.204909812583,True,119176.78962349861,179108.20132782334,79462.67963004907,True
20,18-Dec-20,51,1.1,1.3,1,0,Interpolated,Interpolated,243696.4587,224514.6265,263750.19235,1.2000000000000002,2020-12-16,79781.57874107143,94196.49726785716,67847.82668956045,True,157774.53277694806,176092.95604967533,139931.69212402598,216527.23526263036,307746.4073913796,152182.82852252433,True,0.7681485649971863,1.3292006578826474,1.2184339363924268,1.4399673793728678,55327.18166491431,65323.68497559451,47051.32553224931,True,164714.58922148903,232913.403612805,116485.07148897626,True
21,15-Jan-21,55,0.9,1.2,1,0,Interpolated,Interpolated,273777.05915,255031.1777,293394.84205,1.05,2021-01-13,102433.5935595238,128069.17708531744,83492.34984226192,True,152042.06375454544,170963.4578376623,133596.25229123374,247798.47126923825,369067.0665313881,168526.35760289713,True,0.9601063829787234,1.0674206769224748,0.9149320087906928,1.219909345054257,96742.08734279967,120953.28382976877,78853.27381589946,True,245772.8481845216,363334.42442971736,168640.17749954396,True
22,22-Jan-21,56,0.7,0.9,1,0,14 January 2021 to 27 January 2021,Non-overlapping 14-day weighted estimates,256339.0299,238029.0992,275520.8621,0.8,2021-01-20,125880.77361160712,154629.0552602041,103901.59092063492,True,124127.06271136364,142063.32139285715,106572.9686698052,277307.6476725741,411144.6491429474,188136.65325016924,True,0.962056914628058,0.815353719855383,0.71343450487346,0.9172729348373058,118823.98102581127,145960.65309359864,98076.93672266036,True,262773.24731059815,389539.1111164617,178306.48132361006,True
23,29-Jan-21,57,0.6,0.9,1,0,Interpolated,Interpolated,200537.3363,184843.11,216667.5134,0.75,2021-01-27,105043.36663333332,141865.63377380953,80685.48452380951,True,85468.99007532466,100993.36550064936,69995.56998116882,213663.0520958899,357443.6636662352,130836.53648568544,True,0.975831873905429,0.7620129549716049,0.609610363977284,0.914415545965926,100888.70336885579,136254.58039631014,77494.22143627184,True,206086.75484946693,344470.57772412803,126335.01879056654,True
24,05-Feb-21,58,0.6,0.8,1,0,28 January 2021 to 10 February 2021,Non-overlapping 14-day weighted estimates,144735.6427,131657.1208,157814.1647,0.7,2021-02-03,81229.18722959184,103330.70307738095,64653.050392857134,True,58861.84123071428,71880.91537558442,45936.18514860389,160733.32661705994,262387.07372611697,98141.31425073608,True,0.9705882352941176,0.7212121212121212,0.6181818181818183,0.8242424242424243,76521.26720849957,97341.8128471175,60905.85802579708,True,151286.40675194436,247063.1160448431,92326.7306567883,True
25,12-Feb-21,59,0.6,0.8,1,0,Interpolated,Interpolated,106807.92911,95909.160845,118578.59888,0.7,2021-02-10,59943.22552091837,77640.74926666668,47098.24862924107,True,42004.13602792207,53469.07409415584,31388.452631493517,116361.52556149212,202078.87627936967,67108.70772053207,True,0.9766960124287932,0.7167020148462355,0.6143160127253448,0.8190880169671264,57181.946873238725,74064.23596967898,44928.67254866051,True,111520.03354261736,193562.08317188325,64365.2211655414,True
26,19-Feb-21,60,0.6,0.8,1,0,11 February 2021 to 24 February 2021,Non-overlapping 14-day weighted estimates,68880.21552,60161.20089,79343.03306,0.7,2021-02-17,38657.2638122449,51950.79545595239,29543.446865625,True,24866.176772629868,34776.97877522727,16093.376009025971,71606.3016040569,141739.37805618325,35988.82768218014,True,0.986842105263158,0.7093333333333333,0.608,0.8106666666666666,37646.660135712875,50592.66351103396,28771.102600266735,True,69446.67373959455,137318.2050498831,34951.839742935495,True
27,26-Feb-21,61,0.6,0.8,1,0,Interpolated,Interpolated,47518.629695,40543.41799,56237.64431,0.7,2021-02-24,26668.61870637755,36822.2671077381,19909.71419151785,True,16764.287207337657,24883.161858116884,9596.577780194806,48804.94814473916,106274.1305313361,21952.608493485703,True,0.9452789699570816,0.7405221339387059,0.634733257661748,0.846311010215664,23829.806410783855,32902.622608411824,17790.37152623309,True,42540.454688537735,93215.40036527532,18946.53566515675,True
28,05-Mar-21,62,0.6,0.8,1,0,25 February 2021 to 10 March 2021,Non-overlapping 14-day weighted estimates,26157.04387,20925.63509,33132.25556,0.7,2021-03-03,14679.973600510206,21693.73875952381,10275.981517410712,True,9596.577783116883,16390.615147792207,3753.7056442207777,27427.61427808282,76739.04302897897,9027.360218639356,True,0.920990566037736,0.7600512163892444,0.651472471190781,0.868629961587708,12451.900389013006,18401.14168117255,8716.33026980987,True,22752.79178491284,64069.08186867334,7399.4139856585025,True
29,12-Mar-21,63,0.6,0.8,1,0,Interpolated,Interpolated,25721.093135000003,20489.68436,32696.30483,0.7,2021-03-10,14435.307371683675,21408.29482916667,10061.898569642855,True,13842.851135259742,20263.216448376625,8373.651055519482,34154.3759634457,89626.45861298706,12512.35407733441,True,0.8997613365155132,0.7767902350109445,0.6658202014379524,0.8877602685839366,11704.3593081506,17358.1599895066,8158.335195015011,True,27272.024632303182,71789.19635937338,9934.03386118648,True
