,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met,frac_variant,Rt_variant,Rt_variant_lower,Rt_variant_upper,Netau SIR variant,Netau SIR variant upper,Netau SIR variant lower,Netau SIR variant error criteria met,Netau SEIR variant,Netau SEIR variant upper,Netau SEIR variant lower,Netau SEIR variant error criteria met
2,12-Jun-20,24,0.8,1.0,1,0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,6568.875178,1876.821479,17829.80405,0.9,2020-06-10,2867.366149126984,8755.70734598214,737.3227238928571,True,1722.9586799707797,11685.95581577922,-5511.639700879869,4568.801798985772,227944.77335139576,291.10755499944025,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
3,19-Jun-20,25,0.8,1.0,1,0,Interpolated,Interpolated,3988.2456435,938.4107395,12903.1476685,0.9,2020-06-17,1740.9008761309524,6336.367158638392,368.6613619464285,False,1069.422628422078,8345.15264816883,-3308.8118930649343,2799.696322214172,236265.3801249333,171.073478417121,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
4,26-Jun-20,26,0.7,0.9,1,0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,1407.616109,0.0,7976.491287,0.8,2020-06-24,691.2400535267857,4476.602252908164,0.0,False,466.158581444805,6411.965590129869,-2714.688210771428,1224.8846030587392,inf,403.2925162540212,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
5,03-Jul-20,27,0.8,1.0,1,0,Interpolated,Interpolated,2580.629534,234.6026849,10557.1208235,0.9,2020-07-01,1126.4652727777775,5184.300404397321,92.16534049642858,False,1910.3361487402592,8573.661760090907,-1480.7390242597403,3411.504543726181,766085.3563712613,57.785687379632535,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
6,10-Jul-20,28,0.7,0.9,1,0,02 July 2020 to 15 July 2020,Non-overlapping 14-day weighted estimates,3753.642959,469.2053698,13137.75036,0.8,2020-07-08,1843.306810223214,7373.227242857143,204.81186776984129,False,2198.257625785714,9729.917851287662,-1905.765966940909,4634.5016711006765,625485.7282548816,68.56761434709351,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
7,17-Jul-20,29,0.7,1.0,1,0,Interpolated,Interpolated,3284.437589,469.2053698,12199.33962,0.85,2020-07-15,1518.017373067227,6846.568154081632,184.3306809928572,False,1590.4233964675327,8966.69742802987,-2458.7580104766234,3344.0994583476645,535861.7326371631,127.47035661221128,False,0.0,1.6744999999999999,1.379,1.97,0.0,0.0,0.0,False,,,,False
8,24-Jul-20,30,0.7,1.0,1,0,16 July 2020 to 29 July 2020,Non-overlapping 14-day weighted estimates,2815.232219,469.2053698,11260.92888,0.85,2020-07-22,1301.157748277311,6319.909065306122,184.3306809928572,False,1183.6771829493505,7399.124941786363,-2307.94199866948,2625.33442877499,416485.0571423122,117.9504204636692,False,0.0,1.6744999999999999,1.379,1.97,0.0,0.0,0.0,False,,,,False
9,31-Jul-20,31,0.7,0.9,1,0,Interpolated,Interpolated,1642.2187944,234.6026849,6334.2724945,0.8,2020-07-29,806.446729392857,3554.9488489540818,102.40593388492064,False,594.1236824649351,5063.761849387013,-2285.0910877168826,1495.5132816490277,310787.51088572433,289.7410546965441,False,0.0,1.576,1.379,1.773,0.0,0.0,0.0,False,,,,False
10,21-Aug-20,34,0.8,1.0,1,0,13 August 2020 to 26 August 2020,Non-overlapping 14-day weighted estimates,1407.616109,0.0,7976.491287,0.9,2020-08-19,614.4356031349206,3917.0269712946415,0.0,False,1672.686675323377,7115.773645365584,-904.8960708214285,2942.352716645468,inf,40.3292516757001,False,0.0,1.773,1.576,1.97,0.0,0.0,0.0,False,,,,False
11,11-Sep-20,37,0.9,1.1,1,0,Interpolated,Interpolated,5865.067123000001,2111.424164,13137.75036,1.0,2020-09-09,2304.133512607143,5734.7323,754.0800585714285,True,4305.111607850649,9981.27787090909,45.70182163636374,6928.1748171679765,110498.35367801898,126.4945995427869,False,0.0,1.97,1.773,2.1670000000000003,0.0,0.0,0.0,False,,,,False
