,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
0,29-May-20,22,,,1,0,21 May 2020 to 03 June 2020,Non-overlapping 14-day weighted estimates,5846.579552,1594.521696,15413.70973,,2020-05-27,,,,False,,,,,,,False
1,05-Jun-20,23,,,1,0,Interpolated,Interpolated,8504.115711,1860.2753120000002,24980.839905,,2020-06-03,,,,False,5777.55263777922,20687.365900597397,-1832.66454712987,,,,False
2,12-Jun-20,24,0.7,1.0,1,0,04 June 2020 to 17 June 2020,Non-overlapping 14-day weighted estimates,11161.65187,2126.028928,34547.97008,0.85,2020-06-10,5158.746662605042,19389.166881632653,835.2256502857143,False,5974.279340415584,23741.80681057792,-3908.648962811688,12159.134862460991,896916.9477898262,36.13513532538913,False
3,19-Jun-20,25,0.7,0.9,1,0,Interpolated,Interpolated,7972.608479,1328.76808,24715.086284999998,0.8,2020-06-17,3915.120235223214,13870.711690561224,580.0178126984127,False,2981.962652142857,16214.421918740258,-6564.459449766233,7391.54098024311,707555.4485684048,484.14794143926724,False
4,26-Jun-20,26,0.7,0.9,1,0,18 June 2020 to 01 July 2020,Non-overlapping 14-day weighted estimates,4783.565088,531.507232,14882.20249,0.8,2020-06-24,2349.0721414285713,8352.256499489797,232.0071250793651,False,1584.1676592272727,10110.717113795454,-4949.229679149349,4162.580399316069,659570.7989734153,572.4292126060988,False
5,03-Jul-20,27,0.8,1.0,1,0,Interpolated,Interpolated,3189.043392,265.753616,10630.1446365,0.9,2020-07-01,1392.0427504761903,5220.1603125669635,104.40320628571429,False,1170.0061795324673,7278.887999746753,-2987.1396694675323,2600.8501553502947,592665.6270427594,273.7006253637599,False
6,17-Jul-20,29,0.7,0.9,1,0,Interpolated,Interpolated,2126.028928,265.753616,7441.1012470000005,0.8,2020-07-15,1044.0320628571428,4176.128250867348,116.00356253968255,False,1045.7577356883119,5824.145804435065,-2019.0372117175323,2323.718067545885,371610.6197917427,180.32638207871764,False
7,24-Jul-20,30,0.8,1.0,1,0,16 July 2020 to 29 July 2020,Non-overlapping 14-day weighted estimates,2657.53616,531.507232,8504.115711,0.9,2020-07-22,1160.0356253968255,4176.1282509375,208.80641257142858,False,3101.0340779318176,8055.440774064934,-51.77018482792196,5446.810908461189,253356.98980152293,10.631927547776314,False
8,11-Sep-20,37,1.0,1.2,1,0,Interpolated,Interpolated,9832.8837935,5846.579551500001,16210.97057,1.1,2020-09-09,3511.744211964285,6368.595581071429,1914.058781741072,True,7413.490484376623,12486.96860177922,3189.043391727273,10803.30595563228,55339.37016371933,1648.7719465889713,False
9,18-Sep-20,38,1.2,1.4,1,0,10 September 2020 to 23 September 2020,Non-overlapping 14-day weighted estimates,12224.66634,8504.115711,17539.73865,1.2999999999999998,2020-09-16,3694.267300549451,5742.17634375,2386.3590005357146,True,12932.19219821104,18735.62992312013,7884.599165814935,15644.695060457763,50657.985400491605,4297.07861866109,True
10,25-Sep-20,39,1.2,1.5,1,0,Interpolated,Interpolated,39065.78155,31358.926685500002,48632.91172,1.35,2020-09-23,11368.349128306878,15921.488955952382,8213.052227154762,True,32811.943208181816,41788.8932732922,24963.583174753247,38485.134685974626,85356.88591150985,17083.51062236739,True
11,02-Oct-20,40,1.2,1.6,1,0,24 September 2020 to 07 October 2020,Non-overlapping 14-day weighted estimates,65906.89676,54213.73766,79726.08479,1.4,2020-09-30,18494.282254081634,26100.801568154762,13311.408800446427,True,45060.76896204545,57211.2313670357,34069.9587037987,52428.647669641636,113236.8244031378,24003.537534740575,True
12,09-Oct-20,41,1.3,1.5,1,0,Interpolated,Interpolated,81586.360105,69627.447385,95405.548145,1.4,2020-10-07,22894.131662117346,28831.346966895602,18235.760029404762,True,51221.42097136363,64226.09143441557,39117.55173311688,60664.70660128049,110598.38272795104,32462.977581688127,True
13,16-Oct-20,42,1.3,1.4,1,0,08 October 2020 to 21 October 2020,Non-overlapping 14-day weighted estimates,97265.82345,85041.15711,111085.0115,1.35,2020-10-14,28304.869257936505,33569.64633241758,23863.590005357142,True,60343.32756175324,73746.62845061687,47695.871373506496,74319.61936915334,121398.90640294501,44507.71884851546,True
14,23-Oct-20,43,1.1,1.3,1,0,Interpolated,Interpolated,115602.822975,101517.881305,131016.5327,1.2000000000000002,2020-10-21,37846.16228348214,46791.618821428565,30678.480614148353,True,70914.79934123375,85586.46974590907,56854.01708844156,98520.06945075038,165054.87951437,57852.408604772136,True
15,30-Oct-20,44,1.1,1.3,1,0,22 October 2020 to 04 November 2020,Non-overlapping 14-day weighted estimates,133939.8225,117994.6055,150948.0539,1.2000000000000002,2020-10-28,43849.34665178571,53910.01925,35657.710453296706,True,74709.55390178572,90421.80501905843,59577.128817662335,106408.8796920336,176337.99125129788,63126.46296337764,True
16,06-Nov-20,45,1.1,1.2,1,0,Interpolated,Interpolated,123309.67785000001,108693.22894,139254.8948,1.15,2020-11-04,42124.42411024846,49733.890999999996,35584.092807738096,True,62704.04800324675,78007.31467402597,48239.458316883116,95858.28037901373,155098.59434492895,57898.826468245454,True
17,13-Nov-20,46,1.0,1.2,1,0,05 November 2020 to 18 November 2020,Non-overlapping 14-day weighted estimates,112679.5332,99391.85238,127561.7357,1.1,2020-11-11,40242.690428571426,50113.539025000005,32538.99929107143,True,57646.10092899351,71970.91110506492,44191.02985431817,91951.1062465695,157366.32259963645,52910.068251745055,True
