,Rt_date,Epiweek,Rt_lower,Rt_upper,Rt_estimate_certainty_criteria_met,Rt_estimate_based_on_fewer_days_or_lower_quality_data,I_date,I_method,I,I_lower,I_upper,Rt,date,Netau SIR,Netau SIR upper,Netau SIR lower,Netau SIR error criteria met,E,E_upper,E_lower,Netau SEIR,Netau SEIR upper,Netau SEIR lower,Netau SEIR error criteria met
23,29-Jan-21,57,0.8,1.1,1,0,Interpolated,Interpolated,62947.91076,52274.134585,75263.80634,0.9500000000000001,2021-01-27,26031.09091578947,36959.90489910714,18669.33378035714,True,29408.865816623373,40935.69103207792,18543.153608376622,56036.01743202123,126842.94422762378,23797.666553260395,True
24,05-Feb-21,58,0.7,0.9,1,0,28 January 2021 to 10 February 2021,Non-overlapping 14-day weighted estimates,51453.07488,42147.73155,61853.16448,0.8,2021-02-03,25267.13498571428,34713.51067755102,18397.819327380952,True,22845.719728051947,32858.38288850649,13371.54377561688,52686.19915185279,119445.08191849866,21752.931807761644,True
25,12-Feb-21,59,0.7,0.9,1,0,Interpolated,Interpolated,38589.80616,30379.209104999998,48168.836055,0.8,2021-02-10,18950.351239285712,27033.530439030612,13260.765879166665,True,15536.155726753244,24631.791164025974,7304.232446493504,37280.637013835134,97910.75345954049,12868.47580938921,True
26,19-Feb-21,60,0.6,0.9,1,0,11 February 2021 to 24 February 2021,Non-overlapping 14-day weighted estimates,25726.53744,18610.68666,34484.50763,0.75,2021-02-17,13475.805325714286,22579.14190059524,8123.712430952381,True,10337.888110811686,18633.79006918831,3054.9818930844144,26481.95787044833,99268.00718521363,5941.721677490189,False
27,26-Feb-21,61,0.6,0.8,1,0,Interpolated,Interpolated,21347.552345,15052.761269999999,29558.149400000002,0.7,2021-02-24,11980.769173214287,19353.550202380957,7391.98098080357,True,9767.411563051946,17412.86362616883,3284.2388242207785,25452.30564180848,95968.14116992454,5586.2967394202615,False
28,05-Mar-21,62,0.6,0.8,1,0,25 February 2021 to 10 March 2021,Non-overlapping 14-day weighted estimates,16968.56725,11494.83588,24631.79117,0.7,2021-03-03,9523.17549744898,16127.958504166669,5644.785476785714,True,7320.22711614935,14197.935039935066,1636.7878559999997,19512.07047666317,85883.41106919588,3437.838995148611,False
29,12-Mar-21,63,0.5,0.8,1,0,Interpolated,Interpolated,12315.895584,7936.910488,18610.68666,0.65,2021-03-10,7443.673155164835,14622.682375714285,3897.589971785714,True,4723.759085064934,10385.872119155843,-10.663113311688512,14248.753616183445,83235.01987820902,1657.7441895291574,False
30,19-Mar-21,64,0.6,0.9,1,0,11 March 2021 to 24 March 2021,Non-overlapping 14-day weighted estimates,7663.223918,4378.985096,12589.58215,0.75,2021-03-17,4014.069671333333,8243.178788690477,1911.4617482539684,True,2948.3507603376625,7688.104514162337,-895.7014973376622,7697.001020703951,61481.82525923912,420.6864249408752,False
31,26-Mar-21,65,0.7,0.9,1,0,Interpolated,Interpolated,6568.4776440000005,3284.2388220000003,11768.522445,0.8,2021-03-24,3225.5917001785715,6604.78300484694,1433.5963111904762,True,2057.9808202792206,5950.0170863376625,-906.3646097532468,5563.4605369913015,53648.51771128901,209.72391607393635,False
32,30-Apr-21,70,0.8,1.2,1,0,22 April 2021 to 05 May 2021,Non-overlapping 14-day weighted estimates,547.373137,0.0,2189.492548,1.0,2021-04-28,215.03944667857144,1075.197233392857,0.0,False,-757.0810271493507,1428.8571498311687,-2521.8262382142857,31.563177343907366,inf,950.9118388270716,False
