,lineage,s
320,320,-1.0686
321,321,-1.4402
322,322,-2.1299
323,323,-3.3793
324,324,-2.2046
325,325,-3.9949
326,326,-1.8579
327,327,-2.0314
328,328,-0.83886
329,329,-2.9282
330,330,-0.30909
331,331,-2.0539
332,332,-2.9282
333,333,-4.9024
334,334,-0.99774
335,335,-1.0313
336,336,-1.7025
337,337,-1.7989
338,338,-6.5105
339,339,-2.5422
340,340,-2.2807
341,341,-2.2478
342,342,-2.4334
343,343,-0.13849
344,344,-2.9282
345,345,-1.1777
346,346,-0.52708
347,347,-2.1299
348,348,-3.3793
349,349,-0.88743
350,350,-3.6408
351,351,-2.2903
352,352,-0.69637
353,353,-1.8295
354,354,-1.6191
355,355,-1.5351
356,356,-2.9282
357,357,-1.4695
358,358,-3.3813
359,359,-2.9282
360,360,-2.7525
361,361,-0.81439
362,362,-0.91815
363,363,-0.58491
364,364,-4.3772
365,365,-2.7038
366,366,-0.1155
367,367,-0.54613
368,368,-2.4545
369,369,-0.30126
370,370,-3.3793
371,371,-0.0042756
372,372,-6.5105
373,373,-0.7579
374,374,-2.7525
375,375,-3.6408
376,376,-0.23376
377,377,-1.1563
378,378,-0.72801
379,379,-0.85197
380,380,-3.6408
381,381,-1.9566
382,382,-3.7431
383,383,-1.4212
384,384,-2.1336
385,385,-2.3043
386,386,-0.71366
387,387,-1.3472
388,388,-6.5105
389,389,-3.6408
390,390,-2.6445
391,391,-2.1299
392,392,-2.4313
393,393,-1.3393
394,394,-0.48744
395,395,-2.9282
396,396,-2.9181
397,397,-1.5345
398,398,-0.36989
399,399,-4.0995
400,400,-1.2826
401,401,-3.3793
402,402,-3.3793
403,403,-0.0042756
404,404,-1.2826
405,405,-0.0092162
406,406,-0.086767
407,407,-1.3452
408,408,-2.5045
409,409,-6.5105
410,410,-3.3793
411,411,-1.7025
412,412,-4.9024
413,413,-2.1336
414,414,-2.6445
415,415,-3.6408
416,416,-3.7431
417,417,-0.62341
418,418,-0.44442
419,419,-3.6408
420,420,-5.4402
421,421,-4.9024
422,422,-5.7599
423,423,-2.18
424,424,-3.814
425,425,-0.23613
426,426,-1.9148
427,427,-0.80365
428,428,-1.659
429,429,-0.1155
430,430,-2.9487
431,431,-3.3793
432,432,-0.53026
433,433,-4.9983
434,434,-1.7914
435,435,-2.0692
436,436,-0.52377
437,437,-0.18397
438,438,-2.9551
439,439,-3.2146
440,440,-2.5422
441,441,-2.9282
442,442,-0.39527
443,443,-0.70578
444,444,-0.95525
445,445,-2.1299
446,446,-0.55082
447,447,-0.06033
448,448,-1.6191
449,449,-2.2807
450,450,-0.1255
451,451,-1.3393
452,452,-3.3793
453,453,-3.3793
454,454,-2.6445
455,455,-2.7678
456,456,-2.6324
457,457,-1.9808
458,458,-1.6949
459,459,-2.1299
460,460,-0.78727
461,461,-1.9538
462,462,-2.9565
463,463,-2.8011
464,464,-0.0042756
465,465,-2.8011
466,466,-0.53792
467,467,-0.68574
468,468,-0.55082
469,469,-3.7431
470,470,-2.9487
471,471,-2.5045
472,472,-2.4458
473,473,-3.7431
474,474,-1.6949
475,475,-3.3793
476,476,-2.1336
477,477,-1.3411
478,478,-0.0042756
479,479,-3.7431
480,480,-0.70784
481,481,-0.68081
482,482,-3.7431
483,483,-2.6445
484,484,-0.81985
485,485,-2.0692
486,486,-0.75927
487,487,-3.7431
488,488,-1.6949
489,489,-2.7678
490,490,-0.13295
491,491,-1.0759
492,492,-3.8511
493,493,-5.4119
494,494,-1.6663
495,495,-2.9282
496,496,-0.30695
497,497,-3.375
498,498,-0.37579
499,499,-2.7493
500,500,-1.4972
501,501,-3.6408
502,502,-3.8511
503,503,-3.3793
504,504,-3.6408
505,505,-3.8038
506,506,-3.3793
507,507,-1.3472
508,508,-4.901
509,509,-1.155
510,510,-1.2847
511,511,-1.8501
512,512,-1.3655
513,513,-2.2807
514,514,-6.5105
515,515,-0.066703
516,516,-2.9282
517,517,-1.035
518,518,-0.45167
519,519,-2.7038
520,520,-3.3793
521,521,-1.8295
522,522,-4.9983
523,523,-2.5422
524,524,-5.7599
525,525,-0.65396
526,526,-2.1299
527,527,-2.7678
528,528,-5.8705
529,529,-2.9487
530,530,-0.3214
531,531,-0.82188
532,532,-1.8295
533,533,-4.3772
534,534,-0.92076
535,535,-0.48744
536,536,-5.9511
537,537,-0.46921
538,538,-5.3529
539,539,-2.5422
540,540,-2.9487
541,541,-1.1781
542,542,-0.038347
543,543,-0.1155
544,544,-0.034303
545,545,-4.901
546,546,-0.61603
547,547,-2.6445
548,548,-1.1821
549,549,-0.23393
550,550,-3.6408
551,551,-1.1389
552,552,-0.13216
553,553,-3.3793
554,554,-1.1946
555,555,-1.6155
556,556,-3.3793
557,557,-3.7431
558,558,-2.141
559,559,-0.89906
560,560,-0.42359
561,561,-3.3793
562,562,-1.3347
563,563,-1.8579
564,564,-6.5105
565,565,-2.3223
566,566,-0.91572
567,567,-0.57946
