,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper
0,2206.9994982097446,1902.4509223997559,2557.2502850479677
1,2036.5703431356385,1736.5850248974282,2372.5115511352856
2,2143.561613512315,1816.8735473507268,2472.384755358625
3,2091.838561522406,1808.3872652628195,2370.27860595588
4,2152.4032134902195,1854.8229082193325,2430.9784423623346
5,2190.431040131474,1864.6163098074107,2532.782391138694
6,2189.3990105303337,1864.7833000300743,2493.851808193253
7,2241.7232281324614,1915.0409466567362,2612.8429382947857
8,2081.1070493707375,1773.4837987229207,2408.5346145329077
9,2154.3191571392604,1854.8229082193325,2431.1893475008333
10,2206.9994982097446,1863.8312143068122,2537.9744861668223
11,2142.4795956452535,1819.2669869112653,2470.3436060077993
12,2182.537672863898,1865.72022340818,2530.447614974333
13,2167.8354693692654,1854.8229082193325,2467.9195256647604
14,2042.4618431554943,1730.1237929280278,2362.2619316471805
15,2085.1059665599546,1808.3872652628195,2435.564790715631
16,2123.5771783394985,1808.3872652628195,2406.6313149037614
17,2223.35601656377,1902.4509223997559,2557.7543535008695
18,2223.35601656377,1902.4509223997559,2558.3045194607744
19,2105.8488875954304,1808.3872652628195,2444.8563260139736
20,2206.9994982097446,1902.4509223997559,2489.429033613694
21,2168.5329982597245,1854.8229082193325,2467.9663439340447
22,2095.238990669729,1808.3872652628195,2368.7433603043887
23,2086.341533191844,1808.3872652628195,2402.5755095526183
24,2178.6568650883373,1854.8229082193325,2494.380624285907
25,2180.7886038417178,1865.909739770142,2529.5344632821875
26,2185.366973561324,1865.3708531554505,2532.2242030122175
27,2047.346491353091,1763.1141424192667,2372.4247471819585
28,2271.8008408667533,1951.3019254297985,2655.8077117281136
29,2184.6918854948676,1867.7616056860159,2495.0016470900414
30,2179.790762664055,1863.6603057932655,2472.3254905011845
31,2206.9994982097446,1902.4509223997559,2491.447816703872
32,2078.8082351395624,1775.2664360894682,2371.821703096055
33,2094.052182996902,1808.3872652628195,2433.419017536883
34,2128.4894918242476,1808.3872652628195,2407.299635883277
35,2096.3826983983136,1808.3872652628195,2370.800625446424
36,2149.4939076865294,1854.8229082193325,2430.6996095777845
37,2259.0316603357705,1951.3019254297985,2557.6145365669004
38,2206.9994982097446,1902.4509223997559,2494.0823234117925
39,2125.9479403543914,1813.7130663092578,2404.1195858703186
40,2037.7409369694244,1763.1141424192667,2374.4729593535103
41,2098.532065289066,1808.3872652628195,2441.975548626226
42,2165.931336727006,1854.8229082193325,2507.1063734281292
43,2045.9476992419857,1763.1141424192667,2310.8937008161292
44,2206.9994982097446,1902.4509223997559,2562.1597390117477
45,2206.9994982097446,1864.1235505826025,2531.0276744776975
46,2158.925067702018,1854.8229082193325,2431.7857264791774
47,2239.9567877909576,1913.5594375912472,2595.7642416733283
48,2168.328171214398,1854.8229082193325,2467.952157888986
49,2270.504983943673,1951.3019254297985,2655.855780739264
50,2096.950233551532,1808.3872652628195,2370.872852387384
51,2206.9994982097446,1902.4509223997559,2491.649559423794
52,2147.6842946717284,1854.8229082193325,2498.2694320376877
53,2136.06423886272,1818.15282251163,2431.2928640979367
54,2102.9582791744065,1808.3872652628195,2443.5175743269574
55,2132.759832919109,1818.5941568981625,2469.2354924351503
56,2206.9994982097446,1864.0308944808467,2531.135238666211
57,2034.4717914710386,1730.726091098455,2307.0099504490618
58,2149.5179679944417,1854.8229082193325,2428.7480551521517
59,2068.3013163259293,1768.3307544113452,2343.8769632894146
60,2206.9994982097446,1902.4509223997559,2494.161189197756
61,2206.9994982097446,1863.9520368028682,2505.6379637348878
62,2183.621718938855,1867.8996069119569,2494.8427318676645
63,2206.9994982097446,1902.4509223997559,2493.300783961255
64,2144.9478693272713,1824.3328467074641,2463.632886791852
65,2186.0981464873457,1865.2720608750485,2532.7456504253937
66,2124.47279792871,1813.7932694897497,2403.932950207211
67,2016.220283362295,1718.9744359027268,2288.023788825785
68,2167.3984966705575,1854.8229082193325,2523.148385184807
69,2083.379645603883,1783.7396926151355,2422.2532948253
70,2006.8078529754935,1718.9744359027268,2287.442057259966
71,2100.550207816125,1808.3872652628195,2442.601294636847
72,2106.9677364292156,1808.3872652628195,2406.1396681810775
73,2206.9994982097446,1902.4509223997559,2493.7305225301548
74,2011.5648796612325,1718.9744359027268,2339.614198222219
75,2062.9559041624434,1763.1141424192667,2343.3463610773297
76,2139.7536161457306,1817.5629992696915,2470.2792601229594
77,2092.155986931506,1808.3872652628195,2370.3118007206504
78,2190.239570191787,1864.6477954712632,2532.707839959432
79,2188.7358337052074,1864.8870686591947,2493.613301278831
80,2206.9994982097446,1902.4509223997559,2564.2762837485093
81,2179.5241757765557,1854.8229082193325,2494.4287160599065
82,2038.452297696115,1763.1141424192667,2375.318158703653
83,2206.9994982097446,1902.4509223997559,2491.533046174399
84,2141.7192729652716,1817.2171402223453,2442.9091127234583
85,2059.334361440208,1763.1141424192667,2383.5594952867814
86,2273.346561952914,1951.3019254297985,2638.4955571743635
87,2129.4109435136315,1818.9562102020361,2467.3726179188557
88,2206.9994982097446,1874.1925407496628,2558.9529167067267
89,2155.2133202316913,1854.8229082193325,2429.33247791732
90,2074.870177771072,1775.7315870710313,2371.295859085846
91,2244.645363509657,1912.199419814165,2598.5353481412812
92,2090.8370177769953,1808.3872652628195,2368.266940662494
93,2223.35601656377,1902.4509223997559,2528.8561918682967
94,2138.6839637369694,1822.138622781293,2484.4221431311867
95,2037.4733718341959,1763.1141424192667,2342.152128470873
96,2065.394034530975,1763.1141424192667,2343.5598949612954
97,2101.726492970095,1808.3872652628195,2443.0260352175237
98,2206.9994982097446,1863.7221243176898,2535.8387905020845
99,2187.507250230102,1867.3617217186886,2489.6497714796706
