,Filled demes t0,Deme size,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,mean_total_counts
0,1000.0,100.0,2223.35601656377,1902.450922399756,2530.6219280447544,30452.86793461155
1,1000.0,200.0,2630.5309798367566,2265.759104537258,2973.479038808813,69900.5611292859
2,1000.0,10.0,3957.9378712092184,3408.5268179112754,4564.6288272161455,5064.423652839152
3,1000.0,50.0,2150.9605907423306,1854.8229082193325,2467.9592509115155,15022.511026839938
4,2000.0,200.0,4088.477290108087,3597.2651129070173,4583.760441699236,119074.32523800417
5,2000.0,100.0,4727.5147826267785,4147.070676292733,5295.764352534892,67889.09864338645
6,2000.0,10.0,5891.469268680151,5090.040199151097,6643.984263155711,9172.396981232336
7,2000.0,50.0,6325.064808047851,5564.666819539104,7156.997193739226,44863.841176203845
8,5000.0,50.0,15126.99764578336,13371.964095792871,16608.75720150295,98797.03824099498
9,5000.0,100.0,13179.88351171801,11882.686437665297,14863.40094351457,170085.31781573218
10,5000.0,10.0,14400.858268437722,12746.579546692776,15979.193185414597,24444.610496208945
