,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
2344,43.0,47.0,51.0,44,2.2546336615740077,3.030849762163394,2.1824308233290632,1.0,1.0,4.894470741641379,1.0,1.0,1.0,10000000.000000006,3.748452751305366,3.985408651161548,4.696216421937829,1.0,1.0000003131327975,4.9461556564351685,1.0,1.0,2.208060572995851,100000000000.0,326925000000.0,399575000000.00006,9
2345,43.0,47.0,51.0,45,2.708010062547468,3.649275002610887,4.59508471127718,1.0246287096427853,1.0,1.0,1.2610591048595534,1.366321417853118,1.0777256523034204,10000000.000000006,1.0,3.9345882382925477,7.090854804386932,1.0,1.0,1.0,1.883305013703874,1.0,1.0,836.7110564799433,212.40357139464197,2030.836748951924,9
2346,43.0,47.0,51.0,46,1.0,1.4418641401085899,5.144464696964176,2.4798555166407037,1.0,1.0451048582010047,1.0,1.0,1.0,10000000.000000006,1.3015547101378728,1.816198593747111,5.375736752920407,2.452267311035968,1.0,2.2393729078143196,1.0,1.0,4.25003004092315,7476.801903723271,1121.5202855584907,13981.619559962515,9
2347,43.0,47.0,51.0,47,1.5189988464836504,1.0,5.391766076141973,1.0,1.5989934638877783,1.0,1.0,1.0,1.0,10000000.000000006,1.1115922523394748,1.0,5.361690316200776,1.0,1.627517569173569,1.0,1.1411445412992518,1.0,1.0,1353.127346810392,646.8989584943529,3665.7607648013336,9
2348,43.0,47.0,51.0,48,1.0,1.0082334984973933,1.0,1.0,1.0,1.0,1.0,1.0,1.5915571381840063,10000000.000000006,1.0,1.3440781468689886,3.321853224729444,1.0,1.0,1.0,1.0,1.0,1.7034273110300981,100000000000.0,708975000000.0,866525000000.0001,9
2349,43.0,47.0,51.0,49,1.0,3.353598027290034,2.4227061007622894,1.0,1.0,1.1263358907395966,2.112015969479933,1.4118969998271356,1.7096188537512516,471.96202347383706,1.0,4.570949577900383,3.8553093278217516,1.4816735069989693,1.0,1.2246356505978728,2.233468919363756,1.6742722792548952,1.0588763383309818,455.6056259727716,189.80669301940978,884.5369054676502,9
2350,43.0,47.0,51.0,50,1.0,1.0,4.407988746073801,1.0,1.0,1.0616866063294976,1.2204775446221883,1.2368195305989642,1.9866939114768432,1703.5220320760138,1.0,1.0,4.377126006953428,1.0501115500257912,1.0,1.844327524837568,1.2662689572325616,1.2057589637868715,2.1205903490644546,1780.6417528622924,904.3279535777816,10462.227925476327,9
2351,43.0,47.0,51.0,51,3.8131370993513864,1.4777441080133626,1.0,1.113966571660963,1.0,3.4008997902397176,1.5577341913572813,1.0,1.0,10000000.000000006,3.500135153107139,1.7978107762102282,1.0,1.0,1.0043851829764,3.2720692652010626,2.2477597873458564,1.0,1.0,1116.8995886480636,178.20692217620837,1846.8221082805646,9
2352,43.0,47.0,51.0,52,1.0,2.6786359502429726,1.0,2.3449135013832416,1.0,1.0,1.267999288858752,1.0,1.7151045184240643,10000000.000000006,2.7072188352848943,2.6170712713191513,1.0,2.505782427273477,1.0,1.0,1.4686749490520223,1.0,1.983348121917999,23811.480983674333,168817.44730400512,206332.43559378403,9
2353,43.0,47.0,51.0,53,1.0,1.0680389851410352,1.1398888643626504,1.5642097674507294,1.585025341626246,2.718127829684088,1.0445869392154576,1.0,1.1302430409310296,4573.50191878826,1.0,1.581969096506743,1.0102864779803595,1.5106784618037334,2.0847883430057883,2.6862970272205353,1.7573352441345367,1.0,1.9943734833515068,100000000000.0,708975000000.0,855693437500.0001,9
2354,43.0,47.0,51.0,54,1.0,1.9228769712632767,5.509388943599305,1.0,1.8416479026206194,3.3811983489267785,1.0126815910698255,1.0,1.0,774.9614952646785,1.0,1.358476376399114,5.634619532630034,1.0,1.6856407278603935,3.3228928935491817,1.0651921090715093,1.0,1.0,512.3905466359292,72.74184747782493,994.7821595585584,9
2355,43.0,47.0,51.0,55,1.0,1.6960374909387865,1.511704917727072,1.0,1.0,1.7555996056389311,2.789561796643716,1.0,1.0,853.777174126616,1.0,1.4991339508082036,1.422499968720708,1.0,1.0,2.3442144766743227,2.8194126154747776,1.0,1.0,806.4778070702048,205.13372140860625,1904.505237468306,9
2356,43.0,47.0,51.0,56,3.811254535635366,3.108047931239457,6.648968774518941,1.0,1.0,1.0,1.0,2.007700523178278,2.683023295839698,1666.7840066464669,3.8114007886176364,3.1081048588545417,6.649226633755465,1.0,1.0,1.0,1.0,2.007697569996845,2.6830540699910714,616.5889041925653,151.4299948412465,1337.8002974490873,9
2357,43.0,47.0,51.0,57,3.8376662783028594,1.0,1.0,1.0,1.1721583328548293,2.440958712835614,1.2847798215779802,1.0,3.3378789250885617,10000000.000000006,5.05943671567084,1.0,2.252210435069916,1.0,1.1263923913243683,2.4737458327789765,1.5361668262429262,1.0,4.007400768607579,100000000000.0,708975000000.0,861109218750.0001,9
2358,43.0,47.0,51.0,58,1.0,1.0,6.640901056156732,1.0,1.0,1.474437059711042,1.0,1.8048790031387496,1.7082154556129072,3098.562921491637,1.0,1.0,6.53630515787237,1.0,1.0,1.6894068259906996,1.0,1.4653948099060399,1.1399678968061513,864.8342853602419,295.23012929874966,1643.4623326605372,9
2359,43.0,47.0,51.0,59,3.6171182582647976,3.6715200117239717,4.687898297531486,1.0840747692131685,1.0,5.768104452045059,1.2061701966453238,1.0,1.0,10000000.000000006,2.793460976167199,4.895587734799322,4.508464592097051,1.4422778573267214,1.0,5.779388797541976,1.3457409264771052,1.0080989048188873,1.0,2851.8722256446376,441.49175800844864,10684.10054380446,9
2360,43.0,47.0,51.0,60,1.3686124151529828,2.787699505619934,9.179382314541188,1.0,1.0,2.1003097715132455,1.5908774712002127,1.0,1.371477359195837,10000000.000000006,1.722948021050195,2.839866570616605,9.173400750932057,1.0,1.0,2.155684679876776,1.6395320198800207,1.0,1.9456234782850266,1740.1723384237243,431.6238991094009,3378.4627920764874,9
