,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
1419,33.0,37.0,41.0,19,1.0,1.0,1.0,1.0,1.0,1.1335327112826237,1.0,1.1155907464926575,1.0,10000000.000000006,6.410575418852505,1.0,1.0,1.0,1.0,2.7369835077758005,1.0,1.7365957157761205,1.105147668974134,100000000000.0,708975000000.0,866525000000.0001,9
1420,33.0,37.0,41.0,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,5.195979301253796,1.0,1.0,1.0,1.211884425542788,1.3150879929354211,2.7458120467048994,1.0898824049203573,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1421,33.0,37.0,41.0,21,6.535401119137745,1.0,1.6835413239596069,1.0,1.554309620956496,1.0,1.0,1.2419370928921478,1.0,10000000.000000006,11.072490399702279,1.1030913739942867,2.0282447661324667,1.0,1.470579277016525,1.2594280409423482,1.0,1.5428512793727747,1.1609235633803174,100000000000.0,708975000000.0,866525000000.0001,9
1422,33.0,37.0,41.0,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,6.085368542419349,1.0,1.0,1.0,1.0,1.318081297796763,1.8293642508852166,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1423,33.0,37.0,41.0,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.504808508337386,1.0,981.6159959637382,2.1023690122871126,1.0,1.1510328722277339,1.0,1.0,2.3149650653978537,2.13668063868502,1.534474954242502,1.0,458.90016599450007,118.74755937088939,1298.2168029275176,9
1424,33.0,37.0,41.0,24,4.421445732838371,1.0,1.0,1.0,1.0,1.0,1.0,1.346697920990471,1.0,10000000.000000006,6.403883147893961,1.0,1.0,1.0,1.0,2.7641428994393986,1.0,1.4620669204246817,1.908083761169409,100000000000.0,708975000000.0,866525000000.0001,9
1425,33.0,37.0,41.0,25,3.715273877602367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,5.282412626422081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3806.611948604094,932.8462429567992,7390.35815491812,9
1426,33.0,37.0,41.0,26,5.971194272196199,1.0,1.6943433257857679,1.0,1.0,1.0832224962172092,1.0,1.0,1.2879258878874291,9839816.891781522,10.137820526853424,1.140805565245664,1.3870915711124838,1.0,1.0584050498627777,4.464852818397126,1.0,1.0,3.9482903804719114,100000000000.0,119615572646.20517,146196264840.32776,9
1427,33.0,37.0,41.0,27,3.595320641875154,1.0,1.0,1.0,1.0,1.0,1.0,1.0706207391284859,1.0,10000000.000000006,5.023833753973472,1.0,1.0,1.0,1.0,1.0,1.0,1.4331784502425284,1.0447190560727695,100000000000.0,708975000000.0,823198750000.0001,9
1428,33.0,37.0,41.0,28,1.56482807434457,1.0,1.0,1.0,1.878592139255945,1.0,1.373833176562954,1.0,1.0,10000000.000000006,2.3508024863901316,2.982141135800176,1.0,1.0,2.9862264832686773,1.0,4.156768893089837,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1429,33.0,37.0,41.0,29,4.33746606881196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,9.108806346024634,1.0,1.7437723916754202,1.0,1.1056318547835546,1.8536534884381628,1.0,1.0,1.1276499255592134,100000000000.0,708975047340.7598,866482689208.9845,9
1430,33.0,37.0,41.0,30,1.5718131236929023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,3.7962545561396723,1.0,1.0,1.0,1.0,1.0733323636811387,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1431,33.0,37.0,41.0,31,8.347001765997584,1.0,1.0,1.0,1.0,1.0923973961112998,1.0,1.669607653323717,1.0,10000000.000000006,8.399341883090877,1.0,1.0,1.0,1.0,2.216648860565071,1.0,1.7471818344144872,1.0,720.5625337770437,176.19328380202512,2038.452932092852,9
1432,33.0,37.0,41.0,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,3.4026752783343515,1.0,1.0,1.3072348755477787,1.0,1.4756593743275135,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1433,33.0,37.0,41.0,33,6.191217314925936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,9.300693366721882,1.0,1.0,1.0,1.0,1.1411428922481754,1.4981376872771952,1.1501222577608483,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1434,33.0,37.0,41.0,34,1.0,1.0,1.0959109567220353,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.4818072538024318,1.0,1.0,1.0,1.0,1.6861528460558268,1.0,1.0,1.0,353.4779338967379,120.70729635555551,652.2606394713771,9
1435,33.0,37.0,41.0,35,3.905328938192199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1097242520071187,10000000.000000006,5.569504431264884,1.398791755220518,1.0,1.2010893891613914,1.0,2.5948629444528994,1.0,1.0,2.3057689180613608,100000000000.0,708966345520.0195,866525000000.0001,9
1436,33.0,37.0,41.0,36,3.851579148662056,1.0,1.0,1.0,1.0,3.7904817432324847,1.0,1.7338202764470145,1.0,10000000.000000006,6.793534382813526,1.0,1.0,1.0,1.288202493344033,4.865119293371325,1.0,2.177536117438721,1.0,100000000000.0,708975000000.0,866525000000.0001,9
1437,33.0,37.0,41.0,37,14.04287314964469,1.0,1.0,1.0,1.775245793955905,1.0,1.0,1.784908612422091,1.0,10000000.000000006,14.120378108598898,1.0,1.9794778435571423,1.0,1.9860686650161674,1.0,1.0,1.8060530632728906,1.0,100000000000.0,505001250000.0,633050203867.3234,9
1438,33.0,37.0,41.0,38,1.0,1.0,1.0,1.0,1.1855130900460928,1.0,1.0,1.0,1.0,7525146.249295116,5.226543664016795,1.0,1.2150651427525863,1.0,2.01922070491702,2.194001379410019,1.0,1.0,1.0,100000000000.0,691250625000.0,866525000000.0001,9
