,lineage,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0
0,0,15.0,38.0,38.0,10.0,39.0,33.0,32.0,41.0,21.0,31.0,32.0,32.0,78.0,21.0,43.0,39.0,36.0,41.0,59.0,53.0
1,1,30.0,32.0,12.0,23.0,13.0,20.0,5.0,24.0,22.0,22.0,8.0,2.0,2.0,4.0,14.0,9.0,12.0,10.0,2.0,15.0
2,2,10.0,31.0,12.0,14.0,14.0,0.0,11.0,10.0,17.0,3.0,11.0,8.0,13.0,10.0,0.0,4.0,10.0,0.0,0.0,0.0
3,3,21.0,24.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,28.0,4.0,7.0,10.0,15.0,18.0,8.0,4.0,18.0,31.0,13.0,19.0,27.0,8.0,26.0,18.0,29.0,30.0,14.0,2.0
5,5,15.0,11.0,11.0,4.0,13.0,17.0,14.0,4.0,5.0,10.0,19.0,26.0,7.0,22.0,11.0,18.0,11.0,0.0,0.0,0.0
6,6,31.0,23.0,34.0,34.0,25.0,5.0,3.0,3.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,4.0,18.0,20.0,17.0,15.0,19.0,17.0,4.0,1.0,9.0,27.0,22.0,6.0,13.0,49.0,7.0,34.0,30.0,8.0,31.0
8,8,21.0,46.0,19.0,19.0,48.0,29.0,26.0,36.0,45.0,63.0,87.0,66.0,56.0,30.0,30.0,56.0,48.0,62.0,36.0,18.0
9,9,9.0,8.0,33.0,1.0,2.0,10.0,12.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,42.0,14.0,27.0,33.0,27.0,29.0,6.0,34.0,18.0,24.0,42.0,54.0,34.0,38.0,16.0,64.0,66.0,75.0,58.0,48.0
11,11,11.0,13.0,9.0,3.0,8.0,6.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,24.0,31.0,22.0,18.0,42.0,22.0,52.0,23.0,48.0,40.0,50.0,51.0,47.0,20.0,27.0,46.0,59.0,29.0,5.0,12.0
13,13,18.0,7.0,22.0,21.0,19.0,17.0,53.0,57.0,82.0,48.0,64.0,44.0,106.0,71.0,64.0,53.0,42.0,38.0,78.0,43.0
14,14,16.0,27.0,6.0,14.0,15.0,13.0,4.0,3.0,10.0,13.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,27.0,27.0,0.0,1.0,8.0,12.0,7.0,10.0,4.0,10.0,9.0,19.0,1.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0
16,16,13.0,10.0,9.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,12.0,58.0,57.0,56.0,33.0,46.0,62.0,55.0,40.0,51.0,31.0,35.0,29.0,51.0,19.0,39.0,35.0,23.0,6.0,25.0
