,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948186528497409,1.0,0.9512195121951219,0.8838174273858921,0.7395833333333334,0.6319018404907976,0.5073170731707317,0.27165354330708663,0.2112676056338028,0.1151685393258427,0.10227272727272728
