,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,6,14,10,5,54,54,20,4,1,5,7,5,41,106,81,90,168,210,289,254,506,113,103,109,122,145,125,63,39,13,60,20,20,14,3,11,2,1
