,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,T,delta_t,Netau_SEIR_numerical,Netau_SIR_numerical,Netau_SEIR,Netau_SIR
0,4.0,,,,9,1,,1.9841845254782229,5.079512385224251,1.9841845254782229
1,5.0,,,,9,1,10.872651619148787,2.7779666795119846,18.368596003303736,2.7779666795119846
2,6.0,,,,9,1,25.734274043252803,7.540768410333627,29.374530684298236,7.540768410333627
3,7.0,,,,9,1,48.04369530543646,13.297014938430216,39.85846135253219,13.297014938430216
4,8.0,,,,9,1,104.69363669800855,29.380798092058615,96.34068855752456,29.380798092058615
5,9.0,,,,9,1,208.0498002963257,59.78571465118178,183.26758804381922,59.78571465118178
6,10.0,,,,9,1,420.09507401474184,117.92027733385666,437.33205716163513,117.92027733385666
7,11.0,,,,9,1,869.347655327179,246.53823673431518,820.145433927942,246.53823673431518
8,12.0,,,,9,1,1714.8378718679035,496.66103587672217,1722.814936537675,496.66103587672217
9,13.0,,,,9,1,3329.9409868288585,964.0481454206945,3251.1131158915,964.0481454206945
10,14.0,,,,9,1,6430.122960059627,1891.0558126244403,6339.751617239455,1891.0558126244403
11,15.0,4581.103572720358,3946.0932774111798,5182.818021649487,9,1,11864.862515472709,3572.215582019504,11782.527419858838,3572.215582019504
12,16.0,9348.999233018836,8292.50134506313,10511.706320453179,9,1,20558.64795065393,6462.966021789552,20458.748039761653,6462.966021789552
13,17.0,16376.928167817356,14396.30602906102,18305.117607420194,9,1,32038.31563354194,10681.000264333597,32570.442791490284,10681.000264333597
14,18.0,26650.30333159214,23449.475624820152,29723.832858158974,9,1,43327.51057212258,15664.537723361253,43853.8044769396,15664.537723361253
15,19.0,39602.98429117548,33405.046375281905,41931.044733185554,9,1,48250.315390583564,19196.327407111723,48497.27907123489,19196.327407111723
16,20.0,39602.98429117548,33735.722842412026,42864.34505602394,9,1,43781.43377617249,19207.877663760017,43604.22419698801,19207.877663760017
17,21.0,30779.19736895668,27022.1500576481,34507.827685954355,9,1,33309.917699773214,16027.972523070563,32917.828508812156,16027.972523070563
18,22.0,22629.711439520568,20584.770302862165,25949.606113354836,9,1,22131.88289704804,11518.194728979042,22024.480066224747,11518.194728979042
19,23.0,14400.858268437722,12831.829146059761,16233.176879447077,9,1,13701.747212953875,7551.876424425444,13800.043122437723,7551.876424425444
20,24.0,8435.118989885417,7430.692181541392,9501.66871215307,9,1,7959.8813519303985,4593.417583613662,8059.332493782529,4593.417583613662
21,25.0,4921.852765622118,4255.950187666283,5564.9259023218765,9,1,4572.790821672183,2690.8115143409264,4663.8768521514,2690.8115143409264
22,26.0,2437.7546027855296,2079.1551390977875,2865.584306861995,9,1,2691.0397663870035,1586.9654350046508,2716.930699889789,1586.9654350046508
23,27.0,1453.3717568964748,1150.7947328336159,1808.279521474774,9,1,1497.9486409199937,907.2925739592407,1510.7299733315417,907.2925739592407
24,28.0,933.2322521478129,692.5043697564183,1228.0505433184267,9,1,797.2337230763334,494.8687546726763,824.2048535278503,494.8687546726763
25,29.0,611.9345492690841,393.6833229992727,889.6694508225316,9,1,448.31851097074326,275.81216306706506,455.0569625426283,275.81216306706506
26,30.0,443.6707723693798,219.44908682161974,746.7042470085253,9,1,245.42735061681884,150.15333642784623,273.1707536474271,150.15333642784623
27,31.0,293.3316447481027,133.3161266491024,554.2286606961703,9,1,155.8286490470698,90.609771982321,153.38950913180605,90.609771982321
28,32.0,,,,9,1,85.73985077154076,52.17529727333649,89.9454574054185,52.17529727333649
29,33.0,,,,9,1,40.99630490050538,27.08336041669375,38.42861758086672,27.08336041669375
30,34.0,,,,9,1,19.31110069742589,12.74511078432647,20.922393777785935,12.74511078432647
31,35.0,,,,9,1,15.124634474210852,8.563121308219348,14.523498335627838,8.563121308219348
32,36.0,,,,9,1,6.285158920811985,4.181989476107123,6.4104872694975406,4.181989476107123
33,37.0,,,,9,1,3.774980631349136,2.3897082720612133,2.8045881804051738,2.3897082720612133
34,38.0,,,,9,1,,0.9957117800255055,1.4338249632367281,0.9957117800255055
