,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,T,delta_t,Netau_SEIR_numerical,Netau_SIR_numerical,Netau_SEIR,Netau_SIR
0,4.0,,,,9,1,,3.1746952407651565,5.079512385224251,1.9841845254782229
1,5.0,,,,9,1,25.792690744034555,7.143342890173675,18.368596003303736,2.7779666795119846
2,6.0,,,,9,1,46.961602316214474,14.883095546711107,29.374530684298236,7.540768410333627
3,7.0,,,,9,1,83.59745332793695,23.021697505341866,39.85846135253219,13.297014938430216
4,8.0,,,,9,1,187.5209102585039,53.20306681534938,96.34068855752456,29.380798092058615
5,9.0,,,,9,1,379.63770919932387,104.67465654874684,183.26758804381922,59.78571465118178
6,10.0,,,,9,1,797.125213736665,227.0909894017948,437.33205716163513,117.92027733385666
7,11.0,,,,9,1,1591.403812249482,449.6634398595183,820.145433927942,246.53823673431518
8,12.0,,,,9,1,3181.274828553337,925.0162436436947,1722.814936537675,496.66103587672217
9,13.0,,,,9,1,6096.450768201976,1770.375544885349,3251.1131158915,964.0481454206945
10,14.0,,,,9,1,11727.005331563214,3462.488143860693,6339.751617239455,1891.0558126244403
11,15.0,5931.329074613177,5248.174602173603,6653.344187289542,9,1,21338.279496912284,6487.659673934184,11782.527419858838,3572.215582019504
12,16.0,14400.858268437722,12753.562930531441,16179.662069718433,9,1,36205.18406066928,11498.877920446548,20458.748039761653,6462.966021789552
13,17.0,24475.994050356752,22487.91017796592,28260.371692765635,9,1,54933.76975497271,18651.67306343777,32570.442791490284,10681.000264333597
14,18.0,39602.98429117548,34574.29318172464,43796.91920276801,9,1,70786.2736801214,26209.72290089937,43853.8044769396,15664.537723361253
15,19.0,52800.87458706807,46346.45509221894,58753.668043151614,9,1,74713.60318975111,30511.795217677573,48497.27907123489,19196.327407111723
16,20.0,52800.87458706807,47294.99539762267,60011.92972429634,9,1,64168.222866383716,28940.36288644132,43604.22419698801,19207.877663760017
17,21.0,42614.53295182549,37828.901796387116,47286.69260589435,9,1,46500.820096016716,22969.676768696376,32917.828508812156,16027.972523070563
18,22.0,31142.533269842315,27833.230544928145,35379.72073608391,9,1,29983.004292142617,15927.405633287986,22024.480066224747,11518.194728979042
19,23.0,17237.580519659175,15165.780556040716,19282.99396452953,9,1,18241.993932141544,10208.634595889498,13800.043122437723,7551.876424425444
20,24.0,10311.898566248788,9097.676509581615,11590.604988964273,9,1,10414.521409998366,6084.396403023854,8059.332493782529,4593.417583613662
21,25.0,5603.691158655693,4942.178853237954,6342.3905807960655,9,1,5992.136092894319,3542.5433709747435,4663.8768521514,2690.8115143409264
22,26.0,2835.108711023214,2428.1549995076275,3273.932834280712,9,1,3499.6057855782315,2076.457346065189,2716.930699889789,1586.9654350046508
23,27.0,1645.8487897539844,1358.7234214802045,1969.5570202938943,9,1,1917.0670649786532,1170.7579109539895,1510.7299733315417,907.2925739592407
24,28.0,1052.9698365681543,800.6778734017387,1337.8678645888826,9,1,1028.0236271903098,638.6495357083593,824.2048535278503,494.8687546726763
25,29.0,650.1575039661943,435.97452515642806,921.2639783532832,9,1,579.5346453504853,354.27425133307486,455.0569625426283,275.81216306706506
26,30.0,439.14710088590857,233.15421774746005,723.3861726386598,9,1,338.50310033322563,202.52777605718782,273.1707536474271,150.15333642784623
27,31.0,392.93583450713925,177.56567875502355,738.6312654267006,9,1,199.05060492053545,117.89227475501986,153.38950913180605,90.609771982321
28,32.0,,,,9,1,111.34448782327033,68.50497046575478,89.9454574054185,52.17529727333649
29,33.0,,,,9,1,46.099915926033404,32.26106167282638,38.42861758086672,27.08336041669375
30,34.0,,,,9,1,26.158138244492196,16.32967319241829,20.922393777785935,12.74511078432647
31,35.0,,,,9,1,19.697198385018783,11.151971936285662,14.523498335627838,8.563121308219348
32,36.0,,,,9,1,7.3011118568000635,5.177701256132629,6.4104872694975406,4.181989476107123
33,37.0,,,,9,1,3.805727484087716,2.5888506280663144,2.8045881804051738,2.3897082720612133
34,38.0,,,,9,1,,1.1948541360306066,1.4338249632367281,0.9957117800255055
