,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,Netau_MSD,c0,c1,c2,c3,c4,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
78,17.0,19.0,21.0,78,,,,,,,,,,,,,,,5,1
79,17.0,19.0,21.0,79,,,,,,,,,,,,,,,5,1
80,17.0,19.0,21.0,80,,,,,,,,,,,,,,,5,1
81,17.0,19.0,21.0,81,,,,,,,,,,,,,,,5,1
82,17.0,19.0,21.0,82,,,,,,,,,,,,,,,5,1
83,17.0,19.0,21.0,83,,,,,,,,,,,,,,,5,1
84,17.0,19.0,21.0,84,,,,,,,,,,,,,,,5,1
85,17.0,19.0,21.0,85,,,,,,,,,,,,,,,5,1
86,17.0,19.0,21.0,86,,,,,,,,,,,,,,,5,1
87,17.0,19.0,21.0,87,,,,,,,,,,,,,,,5,1
88,17.0,19.0,21.0,88,,,,,,,,,,,,,,,5,1
89,17.0,19.0,21.0,89,,,,,,,,,,,,,,,5,1
90,17.0,19.0,21.0,90,,,,,,,,,,,,,,,5,1
91,17.0,19.0,21.0,91,,,,,,,,,,,,,,,5,1
92,17.0,19.0,21.0,92,,,,,,,,,,,,,,,5,1
93,17.0,19.0,21.0,93,,,,,,,,,,,,,,,5,1
94,17.0,19.0,21.0,94,,,,,,,,,,,,,,,5,1
95,17.0,19.0,21.0,95,,,,,,,,,,,,,,,5,1
96,17.0,19.0,21.0,96,,,,,,,,,,,,,,,5,1
97,17.0,19.0,21.0,97,,,,,,,,,,,,,,,5,1
98,17.0,19.0,21.0,98,,,,,,,,,,,,,,,5,1
99,17.0,19.0,21.0,99,,,,,,,,,,,,,,,5,1
100,18.0,20.0,22.0,0,,,,,,,,,,,,,,,5,1
101,18.0,20.0,22.0,1,,,,,,,,,,,,,,,5,1
102,18.0,20.0,22.0,2,,,,,,,,,,,,,,,5,1
103,18.0,20.0,22.0,3,,,,,,,,,,,,,,,5,1
104,18.0,20.0,22.0,4,,,,,,,,,,,,,,,5,1
105,18.0,20.0,22.0,5,,,,,,,,,,,,,,,5,1
106,18.0,20.0,22.0,6,,,,,,,,,,,,,,,5,1
107,18.0,20.0,22.0,7,,,,,,,,,,,,,,,5,1
108,18.0,20.0,22.0,8,,,,,,,,,,,,,,,5,1
109,18.0,20.0,22.0,9,,,,,,,,,,,,,,,5,1
110,18.0,20.0,22.0,10,,,,,,,,,,,,,,,5,1
111,18.0,20.0,22.0,11,,,,,,,,,,,,,,,5,1
112,18.0,20.0,22.0,12,,,,,,,,,,,,,,,5,1
113,18.0,20.0,22.0,13,,,,,,,,,,,,,,,5,1
114,18.0,20.0,22.0,14,,,,,,,,,,,,,,,5,1
115,18.0,20.0,22.0,15,,,,,,,,,,,,,,,5,1
116,18.0,20.0,22.0,16,,,,,,,,,,,,,,,5,1
117,18.0,20.0,22.0,17,,,,,,,,,,,,,,,5,1
118,18.0,20.0,22.0,18,,,,,,,,,,,,,,,5,1
119,18.0,20.0,22.0,19,,,,,,,,,,,,,,,5,1
120,18.0,20.0,22.0,20,,,,,,,,,,,,,,,5,1
121,18.0,20.0,22.0,21,,,,,,,,,,,,,,,5,1
122,18.0,20.0,22.0,22,,,,,,,,,,,,,,,5,1
123,18.0,20.0,22.0,23,,,,,,,,,,,,,,,5,1
124,18.0,20.0,22.0,24,,,,,,,,,,,,,,,5,1
125,18.0,20.0,22.0,25,,,,,,,,,,,,,,,5,1
126,18.0,20.0,22.0,26,,,,,,,,,,,,,,,5,1
127,18.0,20.0,22.0,27,,,,,,,,,,,,,,,5,1
128,18.0,20.0,22.0,28,,,,,,,,,,,,,,,5,1
129,18.0,20.0,22.0,29,,,,,,,,,,,,,,,5,1
130,18.0,20.0,22.0,30,,,,,,,,,,,,,,,5,1
131,18.0,20.0,22.0,31,,,,,,,,,,,,,,,5,1
132,18.0,20.0,22.0,32,,,,,,,,,,,,,,,5,1
133,18.0,20.0,22.0,33,,,,,,,,,,,,,,,5,1
134,18.0,20.0,22.0,34,,,,,,,,,,,,,,,5,1
135,18.0,20.0,22.0,35,,,,,,,,,,,,,,,5,1
136,18.0,20.0,22.0,36,,,,,,,,,,,,,,,5,1
137,18.0,20.0,22.0,37,,,,,,,,,,,,,,,5,1
138,18.0,20.0,22.0,38,,,,,,,,,,,,,,,5,1
139,18.0,20.0,22.0,39,,,,,,,,,,,,,,,5,1
140,18.0,20.0,22.0,40,,,,,,,,,,,,,,,5,1
141,18.0,20.0,22.0,41,,,,,,,,,,,,,,,5,1
142,18.0,20.0,22.0,42,,,,,,,,,,,,,,,5,1
143,18.0,20.0,22.0,43,,,,,,,,,,,,,,,5,1
144,18.0,20.0,22.0,44,,,,,,,,,,,,,,,5,1
145,18.0,20.0,22.0,45,,,,,,,,,,,,,,,5,1
146,18.0,20.0,22.0,46,,,,,,,,,,,,,,,5,1
147,18.0,20.0,22.0,47,,,,,,,,,,,,,,,5,1
148,18.0,20.0,22.0,48,,,,,,,,,,,,,,,5,1
149,18.0,20.0,22.0,49,,,,,,,,,,,,,,,5,1
150,18.0,20.0,22.0,50,,,,,,,,,,,,,,,5,1
151,18.0,20.0,22.0,51,,,,,,,,,,,,,,,5,1
152,18.0,20.0,22.0,52,,,,,,,,,,,,,,,5,1
153,18.0,20.0,22.0,53,,,,,,,,,,,,,,,5,1
154,18.0,20.0,22.0,54,,,,,,,,,,,,,,,5,1
155,18.0,20.0,22.0,55,,,,,,,,,,,,,,,5,1
156,18.0,20.0,22.0,56,,,,,,,,,,,,,,,5,1
157,18.0,20.0,22.0,57,,,,,,,,,,,,,,,5,1
158,18.0,20.0,22.0,58,,,,,,,,,,,,,,,5,1
159,18.0,20.0,22.0,59,,,,,,,,,,,,,,,5,1
160,18.0,20.0,22.0,60,,,,,,,,,,,,,,,5,1
161,18.0,20.0,22.0,61,,,,,,,,,,,,,,,5,1
162,18.0,20.0,22.0,62,,,,,,,,,,,,,,,5,1
