,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
2841,45.0,49.0,53.0,41,9.604576309316498,1.0,1.0,1.686335297607724,1.166052429565343,1.0,1.0,1.0,3.2532664281750123,544.5990150357752,9.555374383771452,0.8105102663718085,3.1077529476475676,2.3143785669727404,1.4633228888623246,0.10646733657591329,0.8925487541960708,0.11956245210713023,3.1744245917184695,709.6517941876824,427.5652059980787,1272.0618596062677,9,1
2842,45.0,49.0,53.0,42,13.254737615965603,1.0,1.0,1.2429344550089347,1.0,1.0,1.0,1.569501816928805,1.380181721370593,829.8106751805622,13.237465236037039,0.0,1.0421821457221025,2.154201487117005,0.5038250774081359,1.3013430891497975,0.8776999250669791,1.762999344364002,1.449369428218325,1439.5371929552293,191.22796147070392,2735.5820567408828,9,1
2843,45.0,49.0,53.0,43,6.577675358704208,2.927351617514076,1.0,1.0,1.0,1.187608100283471,1.0,1.0,2.386267164801923,820.4573543859448,6.673735162667546,0.0,4.573150716558225,1.5508288037226428,1.030377142008477,1.3489025163571124,0.3327397535551154,0.3610421893234882,1.9257669640127064,896.173676844844,573.5511531807001,5566.9495266430795,9,1
2844,45.0,49.0,53.0,44,2.869689902788099,1.0,1.0226651347420674,1.0,2.4757049920098995,1.0,1.0,1.0,1.0,355.3166998678157,5.053078972957098,0.0,0.0,4.824275727857465,2.562460433859367,0.0,0.422591567438316,0.0,0.49434750370277875,505.64025905616074,402.5943907807506,869.1200025626397,9,1
2845,45.0,49.0,53.0,45,3.949073201236078,1.0,1.0,1.0,1.0,1.0,1.1460974522376612,1.0,2.866135526731712,1004.1622009269425,5.10212136134034,0.0,1.811143091003637,2.525033712221548,0.5910766637008854,0.6963848498623888,1.2709024182064863,0.0,3.7308676898115856,1328.7212492259812,817.1635682739785,2507.3863654981596,9,1
2846,45.0,49.0,53.0,46,10.126052759337597,1.0,2.964341182127477,1.749942978525005,1.0,1.0,1.1670574853749527,1.0,1.2250365262546208,1181.7586115415245,9.92498897932445,0.0,3.6724761708886806,1.8299401286932897,0.7722460308571628,0.777931301995968,0.8832001795981191,0.22745934797333775,1.4657870424905246,1586.942723520307,916.4594228329773,3202.503862073453,9,1
2847,45.0,49.0,53.0,47,11.313419964795212,2.9509780251744093,1.2969680280161493,1.5410076406531819,1.0,1.0,1.0,1.0,2.088684323149701,711.954504457992,5.920177870559113,0.0,5.8559737761026875,1.2787929606155586,0.632146512891959,0.0,0.49927331993794816,0.4595494213556363,2.6582481378879304,806.0473652283034,515.8703137461142,1551.5756086133133,9,1
2848,45.0,49.0,53.0,48,1.2536126968872536,1.2110621167605686,1.971596058194177,1.0,1.0,1.0,1.0,1.0,1.9105366890446747,790.4834742258262,4.579697975104807,0.0,1.265076465416194,2.9166880009948204,1.0442102677768792,0.0572813058199532,0.15476875906841475,0.711364655294082,1.6621827932314224,678.0978418985089,322.1272827718258,1068.5378458211017,9,1
2849,45.0,49.0,53.0,49,11.177134879743603,1.0,1.0,1.0,1.0,2.1733274057280423,1.4192215688489496,1.0,1.0,573.9491090330193,10.82771488775892,0.0,1.1477009736896504,3.064639644093133,0.9890540563212061,1.5084249693451697,1.0444661032651543,1.128004228770811,0.850194811809655,615.4121671206249,378.4784827791844,1127.2739446122566,9,1
2850,45.0,49.0,53.0,50,1.0,1.0,1.0950263352806824,1.0,1.5605102140644966,1.0,1.0,1.0,1.0,560.8764655808833,0.0,0.0,0.09378427740831244,2.137453214498695,2.7853273012691147,0.0,1.081916586059856,0.42230453386997463,1.6759862063082984,685.6823930961293,482.3449666294146,1280.947137757952,9,1
2851,45.0,49.0,53.0,51,7.868716863876698,1.0,1.0,1.0897723632494576,1.4751704139966215,1.0,1.0,1.0,1.0,1126.2113657711047,7.802194403614839,0.42152399306562227,0.15231444476951636,2.220513641073024,1.79278972750487,0.0,1.0586903613452157,1.1256921915960534,0.7698981003559653,1722.0439669750551,1080.582589276847,3300.0136699903333,9,1
2852,45.0,49.0,53.0,52,14.48599913226426,1.0,1.0,3.2047023025521946,1.2043738764917866,1.0,1.0,1.0,1.0,567.413997749064,14.079413818068135,0.0,1.749284664032762,4.381517400705314,2.078572450179861,0.0,1.091262545388696,0.07308620093263007,0.7017803927867902,669.9467405145195,78.83637349802785,1382.0819656746955,9,1
2853,45.0,49.0,53.0,53,2.3031486388112437,1.0,3.3188934274857917,1.0,1.0,1.0,2.1135811669859885,1.0,1.5986512177206773,471.3008951595766,2.60426508985987,0.0,3.3084434142263692,2.6666532025192997,1.4543281535328734,0.0,1.613640268608146,0.7218296502930321,2.348775447939191,708.3194664460741,435.6164718643356,1105.795659347929,9,1
2854,45.0,49.0,53.0,54,12.508689540657025,1.0,1.0,1.0,1.0,1.0,1.0,1.4475692274727043,1.0,328.64492055978013,12.426959718267259,0.0,1.9216799987549793,0.7317943803402102,0.6453225927117222,0.7955863738178214,0.6976662404097254,1.0638961068323465,1.4544538468449437,450.31812855870504,301.43176408878844,731.5937596276809,9,1
2855,45.0,49.0,53.0,55,1.0,1.0,1.0,1.0,1.0,1.0,1.5737301689132637,1.0,1.0,427.7368681415009,2.1594997510353657,0.0,0.8730418600840752,1.6901419662687207,0.5285203839840253,0.0,1.3377836434066,0.0,0.05160080866876648,547.0291854305527,338.76909663715395,826.2244658406848,9,1
2856,45.0,49.0,53.0,56,1.0,1.0,1.0,1.9581289755860203,1.0,1.0,1.0,1.0,1.2869816335850202,697.0857058511351,0.0,0.0,4.380649081614575,1.4390007694729716,0.22329786803748589,0.47436783121487813,0.32113802271083536,1.3098603793478383,1.278030960907765,874.034224626668,343.4293583248998,1940.951457646625,9,1
2857,45.0,49.0,53.0,57,1.0,1.0,3.3466985135202454,1.0,1.0,1.1435259764405021,3.3770349466907295,1.0,1.0,466.23816936772806,3.4473556652557393,0.0,2.295170625638873,2.7346330274953656,0.7233392512860117,0.6903815262571953,2.4442395055400294,0.1998497142276285,1.8546624142219374,638.2857608350412,408.50288693442633,1036.9688668335439,9,1
