,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T,delta_t
1578,32.0,36.0,40.0,78,9.319009626393289,4.203023183134106,4.718648025067373,1.8177585820390494,2.616448349610015,1.0,2.586055249206099,1.0,14.241693471555054,256.2602859853618,8.456444822782615,3.956801834668819,3.9188203210170935,1.4025143875592965,4.612947733801554,1.0,1.5042121483495476,1.0,14.422376902134808,261.9639053415612,121.81321598382596,400.83836028865807,9,1
1579,32.0,36.0,40.0,79,8.148962109071261,3.622897184584456,16.916128487863936,6.378096727409692,3.1949002670140105,1.0,1.0,1.0,19.564216896539595,262.9992040024406,3.537689588038543,1.0,15.348618287893654,3.7907610868847286,1.1086020387293805,1.0,1.0,1.0,18.840683040121313,231.6822515791536,133.7965002869612,440.27053513230834,9,1
1580,32.0,36.0,40.0,80,13.669501092239866,9.337606201915435,11.742042419869653,1.054049718115729,1.0,1.0,1.0,1.0,14.04318608261636,221.2155463367934,12.890499451398762,11.94097953469482,6.011024169767004,1.0,1.0,1.0,1.0,1.0,13.264267030386003,239.4735578821478,188.6314794394764,374.6430772200713,9,1
1581,32.0,36.0,40.0,81,10.118948438084447,4.363637509109472,8.489900811188447,1.0,2.363209855226496,1.0,1.0,1.0,20.19796865722134,254.52554660455493,8.720075812380532,6.14315928194384,7.9103968692849245,1.0,4.86421060386616,1.0,1.0,1.0,19.982998930007533,311.9576527777313,191.85395645830482,487.01388947108137,9,1
1582,32.0,36.0,40.0,82,11.817303375291374,5.897180540982751,11.13668485709638,1.9067015810645,2.6719967196827965,1.0,1.0,1.0,14.305374253605315,255.90602775332783,11.049984417499013,5.746750049648586,10.245458104530684,1.1357026598105149,4.937800782004679,1.0,1.0,1.0,14.257553713047486,267.7227411832762,142.30758019739616,464.710617094518,9,1
1583,32.0,36.0,40.0,83,10.247833042974474,1.0,15.803705353850544,2.366119323674783,2.2078086110257815,1.0,1.1526392168083806,1.0,11.963622638928493,226.86787076857735,5.220945035270156,1.0,14.532439018713353,1.4959950641761652,5.605949420664243,1.0,1.0,1.0,12.82806999623256,229.32358154131882,123.83473403231216,407.4903641234204,9,1
1584,32.0,36.0,40.0,84,8.204350868019635,4.882046700723309,8.022964267881108,2.91867051801227,2.510423392358303,1.0,1.0,1.0,15.411502894189878,229.39852001839608,3.1783671674744065,4.084290420290094,7.870423222042986,1.0,3.2318874357377894,1.0,1.0,1.0,15.294447512843547,206.33898350014843,114.4387746950823,349.6740337905293,9,1
1585,32.0,36.0,40.0,85,11.181504513512234,6.675161948654558,15.502807666737931,5.115442658742294,1.0,1.0,2.107702975720065,1.0,17.578534367993377,326.96109395795565,11.181502331042612,6.675161547281837,15.502804274503411,5.11543078320885,1.0,1.0,2.1077033629403745,1.0,17.578533289261145,323.78636647409394,142.46600124860132,668.6645366893624,9,1
1586,32.0,36.0,40.0,86,7.520469627269893,3.2163775002720363,15.54140414815024,5.8515479353407285,1.0,1.0,1.0,1.0,17.781487513667418,198.91961482191073,1.8853069114422694,1.0,13.307461075671933,3.5687508608024605,1.0,1.0,1.0,1.0,16.451774121782872,189.41638381032467,109.3879616504625,359.9518396190433,9,1
1587,32.0,36.0,40.0,87,11.213339549926731,5.530319715035854,16.049050256583403,2.6380233468810723,2.6350735670781407,1.0,1.0,1.0,13.696777694636083,279.7777046127749,10.611180892839538,11.097199094249763,10.450422641638415,1.0,2.38746921717755,1.0,1.0,1.0,12.308614249395402,292.72774933804016,149.29115216240046,532.1953109492981,9,1
1588,32.0,36.0,40.0,88,7.171809178688407,3.096253446391444,10.94295671418909,2.437772044441046,2.2572127667969983,1.0,1.0,1.0,6.4189518703530775,188.20994297692707,2.9615598352784165,1.4303127063391448,7.930794943597575,1.0,1.0,1.0,1.0,1.0,7.220310796048154,181.8615693157187,107.29832589627404,353.0756877783376,9,1
1589,32.0,36.0,40.0,89,9.282265687030575,2.5118313409695583,7.156880219466114,3.55310815829213,1.233388192872354,1.0,1.2367528641233838,1.0,15.866613249575547,266.2928594058281,5.573039703874768,2.840606802650971,6.758724154297663,1.4475959360061623,1.0,1.0,2.4786149585067934,1.0,15.749216026455134,262.40917235282006,128.58049445288182,423.106755250936,9,1
1590,32.0,36.0,40.0,90,12.30024029767687,4.737493164421524,14.380518943730578,2.5386772813256,3.7537514311010343,1.0,1.0,1.0,16.013447530687305,291.53652611448825,10.770911954892291,5.752714241605691,13.636130942709308,1.1372578011296157,4.345252141835118,1.0,1.0,1.0,15.886902162426987,304.8074405323432,160.78592488081105,529.081889565062,9,1
1591,32.0,36.0,40.0,91,10.528122828910023,4.580707783307362,6.762394571110962,3.577531061641865,4.5815274166299425,1.0,1.8675046873377066,1.0,23.15879601635893,449.3274714169361,9.356669379048302,5.675957719610522,5.898500263086709,3.2357885158120347,4.437367608076594,1.0,2.288724961707348,1.0,22.86215001915416,494.3219944472423,257.8079324886387,919.0375371122769,9,1
1592,32.0,36.0,40.0,92,8.602847083095108,1.4942890314479638,10.43048916397135,1.0,2.81881139713879,1.0,3.296393589793505,1.0,16.50519307655922,193.8317626449766,8.602807231737891,1.4943082129106948,10.430472256431965,1.0,2.8188090126247416,1.0,3.2963730024461992,1.0,16.50519231005999,189.000788893162,92.61038655764939,304.743579698248,9,1
1593,32.0,36.0,40.0,93,10.186684090779663,7.820569587353428,5.9049278750975684,2.059898244633215,1.9827006823770534,1.0,1.0,1.0,15.489759388764186,211.7569889672871,8.84439363146012,9.210640112090955,4.537975073585442,1.0,3.55839237124884,1.0,1.0,1.0,15.530980489789835,241.9680601201592,163.51456985812302,371.15211888431094,9,1
1594,32.0,36.0,40.0,94,11.175734378323527,6.97202392481677,11.292956079815626,3.1759908456787134,1.0,1.0,1.2174174912732123,1.0,15.226003772509317,208.3951848767217,10.349190049511561,6.6799326437363495,11.117084760950748,1.5297629218368585,1.263001016252486,1.0,1.33373342029628,1.0,15.270339186731023,207.91227162588174,101.87701309668202,335.2363251472016,9,1
