,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
52,19.0,22.0,25.0,12,5.57277494036214,5.896267417531717,1.1972930215365742,3.470215973267578,1.0,1.0,1.0,181.3712399641045,4.3131990523124175,3.249803157048109,1.0,5.440162954439126,2.2431097892557053,1.0,1.0,195.22421990421162,29.40343070843352,409.8197353544275,7
53,19.0,22.0,25.0,13,1.8711389785499033,5.208650691261538,1.0,2.9269867948897565,1.6141089595904858,1.0,1.0,122.30796315081817,1.6059517853144645,3.9124415787197386,1.0,3.728517409533384,2.116066816157089,1.0,1.0,159.33198420821753,92.01422088024565,302.78183793926985,7
54,19.0,22.0,25.0,14,1.0,6.284400293193456,1.5826346442948849,4.330467802723731,1.0,1.0,1.0,131.88924867433064,1.0,4.649781112217367,1.5491927464337665,5.455478102725034,1.4916681666187395,1.0,1.0,168.61094528460634,99.48045771791773,342.85308742193934,7
55,19.0,22.0,25.0,15,1.0,4.680866010223692,1.0,3.455415271809208,3.5593550590614287,1.0,1.0,142.30708731829267,1.0,3.4348288771401867,1.0,4.073145992916071,4.162045622860158,1.0,1.0,169.8688685448221,100.22263244144503,329.7924229910799,7
56,19.0,22.0,25.0,16,1.0,3.789691208034474,1.0,4.008157843934791,1.492593760237777,1.0,1.0,106.97098672830309,1.0,2.1216232510185344,1.0,4.396846162516208,2.718742479404729,1.0,1.0,123.26690670471328,72.72747495578083,239.31690476902241,7
57,19.0,22.0,25.0,17,2.5718912324923595,5.044766044024723,1.0,2.528635215703935,1.0,1.0,1.0,132.7964510292951,2.127054571413757,3.921913190542626,1.0,3.547328327837143,1.0,1.0,1.0,170.73329896333726,98.59848015132725,324.447990241547,7
58,19.0,22.0,25.0,18,1.0,7.935615834772538,1.1471525600692738,4.149167238575897,1.0,1.0,1.0,185.30766768171054,1.0,4.925706774776879,1.0,7.422113516787738,1.0,1.0,1.0,205.1103415316665,121.01510150368321,398.2120861445987,7
59,19.0,22.0,25.0,19,1.9010766313109002,3.5868620607459856,1.0,4.257841379646897,1.0,1.0,1.0,167.17218486340613,1.8320382630465057,3.517498607545136,1.0,4.309487778137244,1.0,1.0,1.0,217.81676355673386,128.51189049847298,422.88100719582997,7
60,20.0,23.0,26.0,0,3.963091950123203,1.0,3.5979513220072854,1.8478847578753124,1.0,1.0,1.0,448.39645609057845,4.373522584295876,1.0,7.871015930276401,2.694914836824239,1.0,1.0,1.0,388.7320155343137,151.9155923768688,728.7920930348533,7
61,20.0,23.0,26.0,1,11.184622402334094,1.0,3.6498329046599958,2.3958216077374934,1.0,1.0,1.0,236.61070687067055,9.026101554446909,1.0,6.589855356449047,2.273997951030513,1.0,1.0,1.0,289.2660432141225,190.00938900624942,746.1377425616233,7
62,20.0,23.0,26.0,2,4.943046053833162,1.0,2.3686935228741515,2.7700291325875477,1.0,1.0,1.0,424.120019928108,5.051429952817275,1.0,2.616359956322937,2.7449607846470894,1.0,1.0000878248748417,1.0,631.230077960183,296.30152869776407,1048.4731594918642,7
63,20.0,23.0,26.0,3,4.907169875058695,1.0,2.857270532658475,1.0,1.0,1.0,1.0,142.76967703019216,4.906123220017979,1.0,2.859448912672748,1.0,1.00000058386143,1.0,1.0,166.29159235859333,66.34713456988183,331.9057201777688,7
64,20.0,23.0,26.0,4,11.148576915488821,1.4987698905212372,3.701462266964164,1.0,1.0,1.0,1.0,702.9738911993976,11.314127036469035,2.151738110203512,8.3831789995871,1.0,1.0,1.0,1.0,935.1221976868234,305.0798348284812,1745.1653046586002,7
65,20.0,23.0,26.0,5,7.064743879891837,1.0,3.9434771408750566,1.0,1.0,1.0,1.0,370.9275729347269,10.408879624323216,1.7423802064849727,9.467145716892263,1.0247195919745749,1.0,1.0,1.0,533.9535799681271,294.09840120019817,2221.38380384176,7
66,20.0,23.0,26.0,6,7.894350076427157,2.4443808770433946,2.5498288214081506,2.635320224136867,1.0,1.0,1.0,209.57673700766085,13.832112998312843,6.837402136353478,3.1084072496179993,3.9576401980182903,1.0,1.0,2.2161248969357548,2823.762857263903,1171.8322719388023,7988.3527190237555,7
67,20.0,23.0,26.0,7,21.94947404870803,1.6696711418449282,3.195220347539895,1.0,1.0,1.0,1.0,803.3344475443594,21.94225884879705,2.8384315516378327,3.6590762461690782,1.0,1.0546563258079595,1.263043587910172,1.0,3367.260289085668,976.367085078301,19400.823940223447,7
68,20.0,23.0,26.0,8,5.218486332755682,1.0,4.925056054163788,1.0,7.5764736302599776,1.0,1.0,466.13362479460676,10.575973800400815,2.5698020902575136,5.215591290169894,1.0,9.205424031375767,1.0,1.0000389344398184,6925.07280873096,35868.41461282201,43839.17341567135,7
69,20.0,23.0,26.0,9,7.022781123524134,1.537035820159128,3.715732502805908,1.0,1.0,1.0,1.0,223.48855330747594,6.570353841854398,1.722715278048958,6.205455453874977,1.0,1.0,1.0,2.1760209219862987,317.55733207448606,102.76749972606552,643.9372265133557,7
70,20.0,23.0,26.0,10,18.001205056433914,1.3998093005952632,5.573627118748637,1.672009457838665,1.0,1.0,1.0,196.6031664795347,21.359208993600177,5.065628063816783,8.021450807111037,2.1943955321855544,1.0,1.0,4.881649811700802,1828.9562306561736,467.96633780061995,3701.2915513984235,7
71,20.0,23.0,26.0,11,14.312969428331574,1.738205671444107,3.9309002228564336,3.626738362339326,1.0,1.0,1.0,1394.7893457929192,19.77662306991202,3.0374234694542923,6.910099027679518,3.973934680953296,1.0,1.797793079378187,1.0,100000000000.0,708970672760.0098,861109218750.0001,7
72,20.0,23.0,26.0,12,10.058986364859315,2.081568490495555,2.4998683633107275,1.0,1.0,1.0,1.0,414.1422344546805,10.418735953895698,2.9879330992671114,3.0022672456625807,1.0,1.0,1.264422115593118,1.0,772.4244982444428,207.52420181163274,1499.6258527882496,7
73,20.0,23.0,26.0,13,12.826271608118208,2.3930957580509187,3.1401482925990765,3.1996711420383073,1.0,2.1783077820442447,1.0,3354.358291599702,12.900516477768292,2.983481869957649,2.9951063308261126,2.690540001973518,1.0,2.7082492203463944,1.0,100000000000.0,708975000000.0,866525000000.0001,7
74,20.0,23.0,26.0,14,7.8964849792590135,2.1328064036735626,5.647971126298156,1.8432362079703617,1.0,1.0,1.0,606.9122147326905,8.364348115492529,2.502287788582078,7.905565176041072,2.6718211786045822,1.0,1.0,1.0,1082.5891329892786,652.2599526260404,9563.937890997844,7
75,20.0,23.0,26.0,15,5.072505960050581,1.0,4.6958794369892605,1.0,1.0,1.0,1.0,502.4530583791671,8.213481166156864,1.9609375344310218,5.6627990186570445,1.3193004020831938,1.0,2.1163674106386483,2.451779819165651,273922.4277661602,1942041.5322551343,2373606.31720072,7
76,20.0,23.0,26.0,16,12.416872681563314,1.0,4.153236728833217,2.8750690190208874,1.0,1.0,1.0,171.95488758429053,17.28859643006746,4.332954507932183,5.382525891546117,4.255234049503591,1.0,1.0,1.1147317878885286,916.5605925713637,437.83394460524374,2318.89829920555,7
77,20.0,23.0,26.0,17,9.335297722779769,1.0,4.604451161459931,2.915229611094784,1.0,1.0,1.0,215.6453237080576,8.4765001837807,1.0,5.119146390746962,2.964057411666873,3.2096437592037588,1.0,1.0,298.2889323458351,166.81464014995288,2471.672754854762,7
78,20.0,23.0,26.0,18,7.574685693345712,2.041808293355909,3.550681366735605,1.6252039244730083,1.0,1.0004694143306756,1.0,1267.9855988742042,11.658736611202139,4.2957807443054286,4.4741539682762435,1.2195790836012763,1.0,2.535327949999792,1.0,100000000000.0,104230770862.436,127393161093.00691,7
79,20.0,23.0,26.0,19,3.7976394969256924,1.0,4.485938463028307,1.540852364636532,1.0,3.3386471009966847,1.0,755.2280834176794,9.161383174072657,3.3535264746573845,5.317025185078588,1.4729755225236194,1.0,4.691293319800298,1.0,100000000000.0,518354648437.5,633050000000.0,7
80,21.0,24.0,27.0,0,3.943651759986233,1.0,1.3334233056853535,1.0,1.0,3.706883725230681,2.3564766582570504,10000000.000000006,3.9436514395499582,1.0,1.3334238315631466,1.0000070392653588,1.0000004421649256,3.706884262329737,2.356479204526873,25177.962145405127,178505.45712038604,218173.33648047183,7
81,21.0,24.0,27.0,1,7.928424926820385,3.224497177687401,1.759658956825826,1.3877679689294018,1.0,2.153035348003739,1.0,10000000.000000006,8.046630239642214,3.4365811022232253,1.9847194264378247,1.4686838444691417,1.0,2.1164811189273856,1.0,100000000000.0,708975000000.0,866525000000.0001,7
82,21.0,24.0,27.0,2,2.0172487155834475,1.2995593123602072,2.925696341283284,1.813464288130798,1.72206918736841,1.943000195744222,1.0002150477261675,1193.7697213344577,1.9573284504341408,1.3386534660610632,2.792968034683808,1.0,1.0,1.9708040061838568,1.0,639.4231891365228,204.82311982475835,1710.5109275746054,7
83,21.0,24.0,27.0,3,3.2217083510249624,2.7447838671233065,1.0,6.072307846515292,1.0,1.0,1.0,10000000.000000006,3.2217086164874047,2.7447839863769627,1.0,6.072307973884397,1.0,1.0,1.0,973763.378496807,6903738.912697737,8437903.115519457,7
84,21.0,24.0,27.0,4,2.6887053891889905,1.1778351020624294,1.0,6.5483958690273765,1.0,1.0,1.4039863528042407,10000000.000000006,2.8823832796736566,1.4087413254813712,1.0,6.504582236082626,1.0,1.394646465686249,1.0,3789.424363663296,1691.3949900120208,9584.57161006812,7
85,21.0,24.0,27.0,5,3.8087338851175216,1.0,1.6549804718037389,2.631540881924992,1.0,1.0,1.0,10000000.000000006,3.87017599813259,1.0,2.518384175612361,2.696126398098198,1.162993446342947,1.7251601369320344,1.740792436696549,100000000000.0,708975000000.0,844861875000.0001,7
86,21.0,24.0,27.0,6,2.915830377174288,2.9788179141316564,2.5159281866325456,1.0,2.842737005879687,1.0,1.0,10000000.000000006,2.823420781474065,2.900899320228265,2.589082022540273,1.0,3.0212967573004463,1.0,1.291324116161027,100000000000.0,708975000000.0,866525000000.0001,7
87,21.0,24.0,27.0,7,2.5911473617336154,1.800941300168238,1.4116748701747397,1.0,1.2619685900258784,1.0,2.335658155752199,10000000.000000006,2.4610414111588863,2.387974636061157,2.2379152466048513,1.4216876640283909,1.0,1.0,2.9463589127012835,100000000000.0,602628750000.0,823198750000.0001,7
88,21.0,24.0,27.0,8,3.4873667015548606,3.2484323298020463,1.0,7.843546904831628,1.0,1.0,1.9228274099831264,10000000.000000006,3.5749482967297297,3.397530168388043,1.0,7.8377700099559515,1.6723039324055855,1.0,3.179237035463841,100000000000.0,517949604835.51025,633050020821.0767,7
89,21.0,24.0,27.0,9,2.54560927611893,2.8987026228140618,1.5246694224622654,1.0,1.6203349712760398,1.1547373305410402,1.0,1587.9221753463858,2.5455986684401744,2.898703645268325,1.5246648855073597,1.0,1.6203531149489314,1.154734138030175,1.0,1340.8838368134632,350.6958663293172,3764.83063614781,7
90,21.0,24.0,27.0,10,4.633008144639407,1.472361637288363,2.4114520831475703,1.0,1.7348896708791275,1.0,2.43977709369949,10000000.000000006,4.6727736728085345,1.2494656955681849,2.5778718770484654,1.1973579484406252,2.033089159370812,1.0,2.754385998255577,100000000000.0,708975000000.0,866525000000.0001,7
91,21.0,24.0,27.0,11,4.210262368725397,3.3802768255220865,1.0,1.0,1.0,1.0,1.0,10000000.000000006,4.268542149708202,3.4659523914926726,1.0,2.2601123568372192,1.2089664016486446,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
92,21.0,24.0,27.0,12,2.607006792678361,2.525921594975045,2.322157518533669,1.0,4.796697643894135,6.26950966995996,1.0,10000000.000000006,2.60700378598898,2.525924051457786,2.322155329485789,1.0,4.79669562030377,6.269513271652781,1.0,20683.23378188678,3500.239563088531,43636.31988650371,7
93,21.0,24.0,27.0,13,3.231154286820442,2.5294080242538404,1.3440226364373293,1.0,1.9263635120686549,1.0,7.199156104459925,10000000.000000006,3.2054186963588345,2.274121528836345,2.5187076131989534,1.0,5.133251723333674,1.0,5.608868857928936,100000000000.0,704543906250.0,866440423362.279,7
94,21.0,24.0,27.0,14,6.076231471514045,1.0,1.0,1.0,1.2865340831071626,1.0,1.0459960399428239,837.5963525460734,6.035202377978444,1.0,1.400429033897243,1.0,1.2106286063748857,1.0,1.0,862.5278489544786,235.70732620506502,1603.6014559301111,7
95,21.0,24.0,27.0,15,4.86517113896998,3.2571698089275594,2.838626520131717,1.0,1.3552171838072096,1.0,1.1019344967646456,917.2307870558926,5.1646992779567915,4.5529142051058695,4.485968559588667,1.598197386068518,1.727255845863668,1.0,2.3665484466669886,4256.416090436521,13915.288303659596,17007.57459336173,7
96,21.0,24.0,27.0,16,3.0439906658318536,1.0,1.0,2.4557944281048076,1.0,6.243074989030263,1.265455334056894,10000000.000000006,3.082567673378713,1.0,1.910868317653705,2.477047663267732,1.0,6.221991186318911,1.347258273116293,9065.591289287899,1359.8386933931838,27589.61615706617,7
97,21.0,24.0,27.0,17,5.658994235014883,1.0,1.0,1.0,1.8822133136752173,1.0,5.071106642830017,10000000.000000006,5.605299059853393,1.221433229210135,1.0,1.2627188427810316,2.2912125261396827,1.0,5.151888102851397,100000000000.0,708975000000.0,866525000000.0001,7
98,21.0,24.0,27.0,18,4.20127164544152,1.1654967097398035,1.0,2.18973092894604,1.0,1.0,1.0,10000000.000000006,4.428134592271648,1.1554464408360214,1.0,3.99331758569376,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
99,21.0,24.0,27.0,19,2.6861576734243733,1.170058446890538,1.0,1.0,1.0,1.0,4.371486902641352,10000000.000000006,2.837513016395552,1.0457649105102351,1.0,4.670344854836971,1.0,1.0310352684554251,4.816918790618979,100000000000.0,67692283975.69851,82735048402.22772,7
100,22.0,25.0,28.0,0,1.0,1.235131853707884,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.0,2.2422807982549653,4.150648708760493,1.0,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
101,22.0,25.0,28.0,1,12.061054020999748,1.0,2.981611657022334,1.0,1.0,1.0,1.5220254281762369,10000000.000000006,12.095052073333553,1.0,5.486695465799238,1.0,1.0,1.0,1.8108159580472503,100000000000.0,708975018388.1044,858401328125.0001,7
102,22.0,25.0,28.0,2,4.388822126208996,1.0,1.0,1.0,1.0,1.0,2.531423033414753,10000000.000000006,4.371263787346101,1.0,1.0,1.0,1.0,1.0,2.970811034247771,100000000000.0,517950007979.17,633050000000.0,7
103,22.0,25.0,28.0,3,1.0,4.859318764236053,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.0,4.892318200666924,1.5085661741597312,1.0,1.0,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
104,22.0,25.0,28.0,4,4.056375205816779,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,4.076583531457921,1.0,1.6339392471965912,2.0189580889422487,1.4001262173010192,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
105,22.0,25.0,28.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.0,1.0,1.0,1.0,1.0,1.0,2.638260611313008,100000000000.0,708975000000.0,866525000000.0001,7
106,22.0,25.0,28.0,6,1.0,1.0,1.0,1.0,1.0,3.9235324679356434,1.0,10000000.000000006,2.065263810682819,5.368686043981299,1.0,1.0,1.0,1.0,2.7175656129074786,100000000000.0,708975000000.0,866525000000.0001,7
107,22.0,25.0,28.0,7,1.0,4.179356178025831,1.0,1.0,1.0,1.0,3.5559571896311386,3528.423694177603,1.0,2.8011614950293504,1.35592478383082,1.0,1.0,1.0,2.994315846051307,1133.8484581389969,602.5191655357775,1968.123493523962,7
108,22.0,25.0,28.0,8,3.105244932596306,1.5184486687580359,1.6025769385790525,1.0,4.9453678701448025,1.0,1.389139729705513,10000000.000000006,3.4025554770176245,1.9034616221770506,1.0,5.077334309856831,11.01871306392566,1.0,1.1637327752787345,100000000000.0,709044235839.8438,866525000000.0001,7
109,22.0,25.0,28.0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10000000.000000006,1.0,1.0,1.0,1.0,1.4265352682866224,1.0,1.0,100000000000.0,708975000000.0,866525000000.0001,7
110,22.0,25.0,28.0,10,1.0,1.0,1.0,1.0,1.0,14.345552765426794,1.209426532124639,10000000.000000006,1.0,1.0,1.0,1.3716025513054113,1.0,14.2571925202287,1.0,100000000000.0,708975000000.0,866525000000.0001,7
