,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
889,25.0,29.0,33.0,89,1.0,1.0,3.128687722939716,4.60671014691797,2.7479436906528694,5.0048224094332445,2.162618666300756,1.0,1.0,320.40417014651206,1.0,1.0,1.3180811161414672,4.716769331546045,1.907758337950068,2.7141768609387054,3.216342768280288,1.0,1.0,233.7372845282126,129.13984970183748,424.9473686769865,9
890,25.0,29.0,33.0,90,2.0853307512902273,2.2830994787559136,4.2878850807636475,4.033675660384664,5.520759891172111,5.364718129310619,2.344388989098368,1.0,3.119161942351675,651.675280658607,2.0854417739678284,2.2832285913564063,4.28786932897429,4.033671154598797,5.520781123749577,5.3647177041173455,2.3445667250566076,1.0,3.119147511781819,526.748703864555,350.28788806992907,1055.8413557932645,9
891,25.0,29.0,33.0,91,1.40677453880463,1.0,1.0,2.975910265826911,1.0,3.0511794205751483,1.5377913488938364,1.0,1.0143211457286505,236.88317309927842,1.1704721461399334,1.0,1.0,3.0510194954159275,1.0,4.96505019607881,1.993447327639177,1.0,1.920166371544941,250.559252244927,147.82995882450692,486.4490098071382,9
892,25.0,29.0,33.0,92,3.422384529582651,2.3879520110449795,2.0855221385657376,3.4429431781437834,3.440741722236645,4.153091859244359,3.5994084635927863,1.4914880141806333,1.0,269.3248583080622,3.3934000320317725,1.0902518250323348,1.3420327957338094,4.419086506955453,3.119693017929894,3.3846357469839767,4.464170128279336,1.0,1.0,224.92306552196854,129.89307033893678,427.42591521786903,9
893,25.0,29.0,33.0,93,1.3925799461398294,1.6454711121650956,2.5365880095392104,5.510496617394038,5.186068696555707,4.124132216173489,4.103068971440501,1.0,1.926932303585474,462.65687087767975,1.3925504940329771,1.6455973824251213,2.536604654458682,5.510609184884933,5.186185983664483,4.124124047618436,4.103054810956728,1.0,1.9270023620528425,372.3599713713575,215.037883466959,707.6032917502497,9
894,25.0,29.0,33.0,94,1.8290680429309991,2.886617133989649,3.3040928075267217,4.532286429236698,3.804484519666677,3.1834466553001097,5.313413511730311,1.0,1.0,447.34476991018073,1.5090383998430388,1.7096601583716813,3.428067886531929,4.612522521050909,3.519167558865689,2.188668480406285,4.894414928944747,1.0,1.4020970304046085,354.75889363980934,180.9270357563028,644.9713774645979,9
895,25.0,29.0,33.0,95,1.0,3.7540369133189713,3.107910781364469,4.233133974342213,3.993941140745357,3.381899013018331,2.685504709461649,1.0696490789632855,2.5577703279175092,421.76534652867497,1.0,2.865543737136841,2.3675322202606344,5.403721056374492,4.36410887914598,3.500022547252365,3.8686263951132047,1.0,2.4346716616865542,410.7375743166,242.33516884679398,797.4276923591086,9
896,25.0,29.0,33.0,96,1.0,3.0454913078019197,4.77677852182595,4.676126798660399,8.466594558903974,3.5285610731881145,2.354818081538683,3.086161550177896,1.0,798.6672987132455,1.0,3.098038771925229,4.36941696129239,5.120049692963554,8.583392392464678,3.9951203686639016,2.015517124066519,2.3395038129573664,1.0,618.5343201380782,364.9352488814661,1293.7661234928732,9
897,25.0,29.0,33.0,97,1.0,5.423268248519566,2.8144026206623995,2.7073763158287982,7.054663830613462,3.0081459402952113,2.6296305614964224,1.3864490311343243,1.0,370.27316489099434,1.0,3.7748495484668427,1.0,2.40744002276506,2.8946224590923992,1.1577639439283751,1.8639169827928717,1.0,1.0,199.66023496271598,117.79953862800244,387.6309604425722,9
898,25.0,29.0,33.0,98,1.0,2.64309879660625,5.2063589885086765,6.022531899655549,6.004337489459785,3.513693022135464,5.6270178007731575,1.0,1.0,903.8147323532153,1.0000266281227517,2.6429067093205476,5.20632420111637,6.022618910306969,6.0043496785088575,3.5137952542695605,5.627025911923448,1.0,1.00001159336324,676.4186892894074,348.3556249840448,1146.2984240927972,9
899,25.0,29.0,33.0,99,1.0,5.517774610632798,1.0,2.5753969099696072,5.274822451891249,5.130439287822918,2.273270275941128,1.0,6.471579405879876,385.2119994507404,1.0,1.9662775449391117,1.0,3.273188034647008,1.480300004153966,3.3142076594377103,2.519899547059751,1.0,1.3978176500925263,207.16841962160734,122.22936757674833,402.2077480089582,9
900,26.0,30.0,34.0,0,2.647949280730791,5.883822010623417,1.593018981265581,7.472052047825036,2.9369553541710407,3.984080265033477,1.0,8.198956969823126,10.819520645830998,939.5344060353002,1.0,3.632110638144861,2.2719174716096155,8.073763884252648,5.156172725145437,5.123109190403447,1.0,7.542115548363503,11.311156571745244,562.8451325056266,74.73036254772006,1316.6092253045817,9
901,26.0,30.0,34.0,1,1.0,4.588752278955576,1.2325979369781974,8.097517005393577,3.4658755338659786,1.5257164418627365,1.0,1.7912913623169484,14.601568608309135,368.60420449263705,1.0,1.1133993991846072,2.2359472436292283,6.40675049393271,3.9976707080826723,1.5440748686008747,1.0,1.0,13.802381858142112,239.90152189892842,117.55174573047495,400.1489407586155,9
902,26.0,30.0,34.0,2,1.0,4.028999102284775,6.575717682769972,1.0,2.6290790620058426,2.7104508149873117,1.3960698118110084,3.4366646757768673,12.23439323679307,255.24158168176834,1.0,3.660550072667287,6.651917666912456,1.0,1.0020704580259356,3.231520020732134,1.480108771283471,2.6386580788173326,12.181890858797948,212.77358430570814,113.12347361127387,369.3303872024402,9
903,26.0,30.0,34.0,3,4.4197231904310765,5.6119135594026,4.56049018224652,6.529581071061473,1.8863434000001347,4.249959744640414,1.0,2.6961498026068074,10.9082963757393,449.3111779119012,2.723589562498663,2.609232514042664,5.255397942338689,5.468878586325497,1.5817446901122199,4.70723998408086,1.0,1.8275697055581923,13.373740713275957,280.206668528138,71.46834690959523,544.0080748390305,9
904,26.0,30.0,34.0,4,1.0,5.434763067316356,3.243262977647162,8.757162953683187,2.2332586741891998,1.4631005347620973,1.0,4.082417600417647,8.305141165725162,299.0152606248248,1.0,5.3725949247423435,2.7842514731923362,8.591712716652827,1.666058195897733,1.487279820920641,1.0,3.63138621307427,8.249645525139837,287.5043196653622,143.3098454947344,510.87306032845134,9
