,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1,31,260,167,113,53,262,2005,1688,873,976,149,704,441,308,497,860,810,1202,1581,1828,1477,2280,1672,1805,1942,2317,1119,2264,2297,1067,538,207,685,493,238,192,197,220,119,25
