,lineage,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,A,0,0,1,0,0,0,1,5,1,0,0,0,0,1,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,1,1,0,12,14,13,4,6,23,12,3
1,A.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,A.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,A.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,B,0,0,6,0,0,0,3,4,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,B.1,1,1,27,15,10,0,16,62,59,19,16,3,44,12,7,3,9,12,16,23,16,20,40,32,28,32,47,19,33,95,55,23,5,38,25,11,15,17,15,5,1
6,B.1.1.1,0,2,46,30,13,14,16,170,154,84,98,7,110,73,43,84,105,37,74,97,79,55,87,36,103,98,89,49,72,88,43,24,9,38,16,14,11,4,6,2,0
7,B.1.1.10,0,0,4,2,0,0,0,4,2,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,1,0,0
8,B.1.1.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,B.1.1.102,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,1,1,0,1,3,2,1,0,2,0,1,0,0,0,0,0
10,B.1.1.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,4,1,0,2,0,1,0,3,1,1,0,2,0,0,2
11,B.1.1.104,0,0,1,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,B.1.1.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,4,0,2,0,1,0,0,0
13,B.1.1.106,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,B.1.1.107,0,0,0,0,0,0,1,5,2,6,5,0,8,5,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,B.1.1.109,0,0,0,0,0,0,2,10,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,B.1.1.114,0,2,8,6,1,0,0,5,3,1,0,1,2,2,1,2,1,3,10,8,1,0,0,1,1,3,7,3,0,3,1,0,1,1,1,0,1,0,0,0,0
