,Subdivision category,3166-2 code,Subdivision name
63,unitary authority,GB-ERY,East Riding of Yorkshire
64,two-tier county,GB-ESX,East Sussex
65,council area,GB-EDH,City of Edinburgh
66,council area,GB-ELS,Na h-Eileanan Siar
67,London borough,GB-ENF,Enfield
68,two-tier county,GB-ESS,Essex
69,council area,GB-FAL,Falkirk
70,district,GB-FMO,Fermanagh and Omagh
71,council area,GB-FIF,Fife
72,unitary authority,GB-FLN,Flintshire
73,metropolitan district,GB-GAT,Gateshead
74,council area,GB-GLG,Glasgow City
75,two-tier county,GB-GLS,Gloucestershire
76,London borough,GB-GRE,Greenwich
77,unitary authority,GB-GWN,Gwynedd
78,London borough,GB-HCK,Hackney
79,unitary authority,GB-HAL,Halton
80,London borough,GB-HMF,Hammersmith and Fulham
81,two-tier county,GB-HAM,Hampshire
82,London borough,GB-HRY,Haringey
83,London borough,GB-HRW,Harrow
84,unitary authority,GB-HPL,Hartlepool
85,London borough,GB-HAV,Havering
86,unitary authority,GB-HEF,"Herefordshire, County of"
87,two-tier county,GB-HRT,Hertfordshire
88,council area,GB-HLD,Highland
89,London borough,GB-HIL,Hillingdon
90,London borough,GB-HNS,Hounslow
91,council area,GB-IVC,Inverclyde
92,unitary authority,GB-AGY,Isle of Anglesey
93,unitary authority,GB-IOW,Isle of Wight
94,unitary authority,GB-IOS,Isles of Scilly
95,London borough,GB-ISL,Islington
96,London borough,GB-KEC,Kensington and Chelsea
97,two-tier county,GB-KEN,Kent
98,unitary authority,GB-KHL,"Kingston upon Hull, City of"
99,London borough,GB-KTT,Kingston upon Thames
100,metropolitan district,GB-KIR,Kirklees
101,metropolitan district,GB-KWL,Knowsley
102,London borough,GB-LBH,Lambeth
103,two-tier county,GB-LAN,Lancashire
104,metropolitan district,GB-LDS,Leeds
105,unitary authority,GB-LCE,Leicester
106,two-tier county,GB-LEC,Leicestershire
107,London borough,GB-LEW,Lewisham
108,two-tier county,GB-LIN,Lincolnshire
109,district,GB-LBC,Lisburn and Castlereagh
110,metropolitan district,GB-LIV,Liverpool
111,city corporation,GB-LND,City of London
112,unitary authority,GB-LUT,Luton
113,metropolitan district,GB-MAN,Manchester
114,unitary authority,GB-MDW,Medway
115,unitary authority,GB-MTY,Merthyr Tydfil
116,London borough,GB-MRT,Merton
117,district,GB-MEA,Mid and East Antrim
118,district,GB-MUL,Mid Ulster
119,unitary authority,GB-MDB,Middlesbrough
120,council area,GB-MLN,Midlothian
121,unitary authority,GB-MIK,Milton Keynes
122,unitary authority,GB-MON,Monmouthshire
123,council area,GB-MRY,Moray
124,unitary authority,GB-NTL,Neath Port Talbot
125,metropolitan district,GB-NET,Newcastle upon Tyne
126,London borough,GB-NWM,Newham
127,unitary authority,GB-NWP,Newport
128,district,GB-NMD,"Newry, Mourne and Down"
129,two-tier county,GB-NFK,Norfolk
130,council area,GB-NAY,North Ayrshire
131,unitary authority,GB-NEL,North East Lincolnshire
132,council area,GB-NLK,North Lanarkshire
133,unitary authority,GB-NLN,North Lincolnshire
134,unitary authority,GB-NSM,North Somerset
135,metropolitan district,GB-NTY,North Tyneside
136,two-tier county,GB-NYK,North Yorkshire
137,two-tier county,GB-NTH,Northamptonshire
138,unitary authority,GB-NBL,Northumberland
139,unitary authority,GB-NGM,Nottingham
140,two-tier county,GB-NTT,Nottinghamshire
141,metropolitan district,GB-OLD,Oldham
142,council area,GB-ORK,Orkney Islands
143,two-tier county,GB-OXF,Oxfordshire
144,unitary authority,GB-PEM,Pembrokeshire
145,council area,GB-PKN,Perth and Kinross
146,unitary authority,GB-PTE,Peterborough
147,unitary authority,GB-PLY,Plymouth
148,unitary authority,GB-POR,Portsmouth
149,unitary authority,GB-POW,Powys
150,unitary authority,GB-RDG,Reading
151,London borough,GB-RDB,Redbridge
152,unitary authority,GB-RCC,Redcar and Cleveland
153,council area,GB-RFW,Renfrewshire
154,unitary authority,GB-RCT,Rhondda Cynon Taf
155,London borough,GB-RIC,Richmond upon Thames
156,metropolitan district,GB-RCH,Rochdale
157,metropolitan district,GB-ROT,Rotherham
158,unitary authority,GB-RUT,Rutland
159,metropolitan district,GB-SLF,Salford
160,metropolitan district,GB-SAW,Sandwell
