,epiweek_start,epiweek_middle,epiweek_end,superlineage_combo,c0_MSD,c1_MSD,c2_MSD,c3_MSD,c4_MSD,c5_MSD,c6_MSD,c7_MSD,c8_MSD,Netau_MSD,c0,c1,c2,c3,c4,c5,c6,c7,c8,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper,T
4145,60.0,64.0,68.0,45,1.950673200919884,2.3914659318865246,1.0,1.2429544138037165,1.4420275897216743,2.703111417825631,2.1529689358830715,1.607475088876807,2.214473356067844,733.4621496447519,1.6615152272230613,2.272543623422256,1.0,2.438045062602181,1.3578807155473611,2.3812332930268885,2.3450154638654275,1.0343252355576715,2.7514566620373744,720.6685370939467,362.13593988970825,1191.6439047652793,9
4146,60.0,64.0,68.0,46,1.5070556898131962,3.5830177316270277,1.0,2.4857844640821725,1.0,1.0,2.070479216977645,1.8161707104012137,3.9204826750005273,705.3442296382475,1.5070526345440878,3.5830144846900143,1.0,2.4857827746852634,1.0,1.0,2.0704776072971813,1.8161714965811497,3.9204810272284503,701.0806877069155,378.5835713617343,1245.766452771519,9
4147,60.0,64.0,68.0,47,1.0,3.04119202827174,1.4438516558543357,1.0450626158405396,1.4357674481160698,1.6677894449117396,1.0505100355666068,1.0,2.8578596685848456,1003.7450978366015,1.0,2.074993501460585,1.2709497326267072,1.0803237696501011,1.3372538634014086,1.1155850665839435,1.8682637637133128,1.075575948211829,2.9897090012435337,897.5949622926566,529.5810277526674,1742.6384246562134,9
4148,60.0,64.0,68.0,48,1.0,4.716562701221999,1.4311218198330795,1.972387821006764,2.0883396631986653,1.8980376514284822,1.0,1.2227478753989705,4.468043842022757,1249.822501396581,1.0,4.237695178948511,2.158521276926485,2.1704760637498186,1.7845042069606298,1.4012948579236315,1.0,1.0,4.5826280779473745,1001.445798924258,503.2265139594396,1655.916306618669,9
4149,60.0,64.0,68.0,49,3.453728472800241,2.3625318070785535,1.0,1.0,1.2909992250293185,1.0,3.718518528102795,1.2695032108082376,2.4526350124393583,1044.1774896605089,3.1821517715990733,1.0,1.0,1.0,1.0,1.0,3.3533765697846323,1.6206063961960637,2.517414401623446,823.8298263013558,437.45514602035325,1360.2752123004855,9
4150,60.0,64.0,68.0,50,2.5654318015858695,1.0,1.0,1.0102885598633362,1.0,1.0,3.7380554333830327,1.7999200231932144,2.8193210161444027,778.4201056070108,2.4043340458706353,1.0,1.0,1.0012747918093323,1.0,1.0,3.5365723069233637,1.3023406181168546,2.650196122573135,796.1491070512783,459.77610932211326,1512.9384793932786,9
4151,60.0,64.0,68.0,51,1.0,1.9590607491271703,1.0,1.192059491727857,2.007914889796909,1.0,2.2349593671225,1.0,3.6529410924614134,1260.6400591738025,1.0,1.9590446435890165,1.0,1.1920479575138032,2.0078884261667342,1.0,2.234981737347405,1.0,3.6529352405052165,1172.7430074596198,647.9405116214399,2097.0032787605533,9
4152,60.0,64.0,68.0,52,3.3887476859541534,1.862700813964692,1.5897089015200556,1.0,1.350837546111817,1.0,1.0,1.908168579508516,5.663321482193964,951.277542828839,3.173955814198429,1.594567149493856,1.6542207101374782,1.0,1.658789978438173,1.0,1.3478876987897086,2.119717189843975,5.551097965692343,1049.2801640582234,579.7272906421683,1882.3253223798743,9
4153,60.0,64.0,68.0,53,1.0,2.5299817278160046,1.7637182492460264,1.5292278810412,1.0,1.0,1.5002027945020253,1.5904599145209632,2.8976705984670827,1195.4513116446471,1.0,2.0674697143417364,2.1143202665115766,1.823369586541038,1.0,1.0,1.4086927405864147,1.4334271136297783,3.017107194685491,1310.6757480101435,773.2986913259846,2544.6153517991806,9
4154,60.0,64.0,68.0,54,1.2959301133121077,3.574037022628225,1.0,1.247152591090757,1.8736787209443007,2.290809960279307,1.0,2.4232187851885563,4.075667142677791,1311.4991916834065,1.295928099528503,3.5740329112645512,1.000000830888841,1.2471537427860464,1.8736769718274828,2.290807777135924,1.0000021783473994,2.4232205402182334,4.075668082002809,1300.9756466693777,653.7402624513624,2151.196590117731,9
4155,60.0,64.0,68.0,55,1.7078522700241776,3.067575395659517,1.0,1.6007706812680746,1.2536312446494478,1.0,1.0,1.646787666979439,2.6838116183510508,713.2877483546276,1.707849481682452,3.0675525278990845,1.0000000864216043,1.6007714691038493,1.253621045862206,1.0,1.0,1.646759533777149,2.6838235393582965,686.4630096748997,370.24969888267833,1191.5560382679591,9
4156,60.0,64.0,68.0,56,1.0,1.528074914100838,1.0,1.0,2.0428581021459196,1.5768058303084687,1.0,1.0,3.483256605099788,745.9629364647209,1.0,1.2919167555821793,1.0,1.0,1.7676191605304024,1.4826463674589305,1.0,1.8658487468430867,3.5074002775704867,703.6448317449798,379.9682091422891,1250.3227394853102,9
4157,60.0,64.0,68.0,57,1.0,1.7091912398489748,1.0,1.8084240977668684,2.056792954469669,2.2233535487187788,2.0771317691641182,1.1873704557504619,2.955749025438614,1265.9913071435478,1.0,1.0077866250040195,1.0,1.4977440788245429,1.7452940467615934,2.1259671461129024,2.124723783800408,1.0,2.8545316897312354,1016.6953177794308,574.4328545453783,1890.2277692305188,9
4158,60.0,64.0,68.0,58,2.4902591679432686,2.223100111913821,1.0,1.5489942030069215,1.0,3.271543127791679,1.0,1.12042849258792,2.486119110988545,1037.7181112415738,2.422960183839087,1.9884704582413504,1.559224295408709,1.3378491387515647,1.0,3.127836337797683,1.0,1.6055152419027865,2.6148114620933316,1016.4401976990938,498.0556968725559,1638.9012247515732,9
4159,60.0,64.0,68.0,59,1.3509786796752543,1.537999113678418,1.0,2.221048016019706,1.0,1.0936843623770482,1.8845570079915426,1.7643966105166617,4.992396622742483,1162.7376267771288,1.3509731506732738,1.5380154400308095,1.0,2.2210406967383536,1.0,1.0936979691726227,1.8845587132583557,1.7643877255788338,4.992387819610869,1106.6892387461419,611.4458044072433,2012.022518775972,9
4160,60.0,64.0,68.0,60,1.0,3.4826899900898636,1.0,1.522950278416093,1.0,1.063429616597686,1.9823696758480307,1.5669146947949326,2.952731780070469,798.8783248927602,1.0000011232346455,3.4826507110497853,1.0,1.5228908510463368,1.0,1.0634220922377153,1.9823457568113731,1.5669193363251286,2.952749537105342,733.2171642920825,395.9372687177246,1302.8704996267008,9
