,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1,7,28,10,5,12,45,14,9,17,5,25,37,54,27,52,107,119,158,112,90,166,227,168,76,180,92,130,111,37,54,8,35,18,16,7,10,8,5,0
