,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956709956709957,1.0,0.9778325123152709,0.9876543209876543,0.923469387755102,0.7906976744186046,0.7596153846153846,0.6032608695652174,0.5136612021857924,0.3705357142857143,0.20971867007672634,0.17702448210922786,0.11144578313253012,0.10204081632653061
