,Epiweek,Netau_HMM_assigned_median,Netau_HMM_assigned_95%_ci_lower,Netau_HMM_assigned_95%_ci_upper,Netau_MSD_assigned_median,Netau_MSD_assigned_95%_ci_lower,Netau_MSD_assigned_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T,delta_t,frac_assigned,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper
19,65.0,1838.3910117497855,1136.4232729331848,3011.248358324475,1789.2499761281315,1479.1218483116756,2154.68596277587,1.0,1.0,2.597214727482956,1.0,1.0,2.714855739046933,9,1,0.9219622641509434,1993.9981095026735,1232.6136514705877,3266.12972722653,1940.6976247296777,1604.3192935600607,2337.065242860206
20,66.0,1741.3926561692317,1080.3523256397202,2956.731763083026,1634.347257074046,1415.778304788246,1917.855346309656,1.595300723389144,1.0,3.594101326557599,1.7972575017952457,1.0,3.9804181526148232,9,1,0.830253807106599,2097.4220669194096,1301.231402243977,3561.238428267034,1968.4911325726769,1705.2355468530475,2309.962724523124
21,67.0,1711.2737243403371,1012.7722888570748,3015.8517528293214,1712.8513478648665,1305.8249297627358,2036.8716405624264,1.0000046829603413,1.0,2.1328525666594897,1.0,1.0,1.9912386620563136,9,1,0.8263783125190375,2070.8115138257745,1225.5552614514474,3649.4807609799714,2072.720595296851,1580.1781217880803,2464.8173962279566
22,68.0,1429.519314267876,816.1371127992404,2392.915308640114,1308.9667297708252,1092.5413309108642,1666.0712206003589,1.0,1.0,2.303781687245881,1.0,1.0,2.185767573850091,9,1,0.855489417989418,1670.9959050429288,954.0002431793208,2797.1302254842303,1530.079393439109,1277.095084914748,1947.5065214903304
23,69.0,1192.4590256529295,742.3138005452586,2037.5826261838447,1032.7107607582614,869.8292872753133,1195.7153278829903,1.0,1.0,2.0239877240693995,1.0,1.0,2.1679928587954502,9,1,0.9554455445544554,1248.0659232222372,776.929470000737,2132.5994325862002,1080.8682573739316,910.3912747648357,1251.474073742819
24,70.0,911.4435075762768,540.076917098186,1659.612992266828,681.677965820346,590.3748333178336,832.8342283557101,1.0,1.0,3.688819502452062,1.3890601959800897,1.0,4.251190995407616,9,1,0.9720149253731343,937.6846834182043,555.6261565539879,1707.3945563436082,701.304010901546,607.3721893634527,856.8121811874485
25,71.0,,,,,,,9.01806444824242,3.3347939996403477,16.9556323144012,9.313495456013875,2.999162916032952,17.163107534248766,9,1,0.9545861965939647,,,,,,
26,72.0,,,,,,,1.0,1.0,5.596446051292838,1.8759419446344092,1.0,6.315010792337356,9,1,0.9408999328408327,,,,,,
27,73.0,,,,,,,1.7146159057119683,1.0,3.834760894643797,2.3994953548825046,1.0,4.882108569294167,9,1,0.9729043183742591,,,,,,
28,74.0,,,,,,,1.6119769190500124,1.0,3.168345569165738,1.9020295221966097,1.0,3.611065986307661,9,1,0.5509964830011723,,,,,,
